"","Gene","Pathway"
"1","sab:SAB0001 dnaA (GenBank) chromosomal replicator initiator protein","Two-component system"
"2","sab:SAB0002 dnaN (GenBank) DNA polymerase III beta chain","DNA replication"
"3","sab:SAB0002 dnaN (GenBank) DNA polymerase III beta chain","Mismatch repair"
"4","sab:SAB0002 dnaN (GenBank) DNA polymerase III beta chain","Homologous recombination"
"5","sab:SAB0004 recF (GenBank) DNA replication and repair protein","Homologous recombination"
"6","sab:SAB0008 hutH (GenBank) histidine ammonia lyase","Histidine metabolism"
"7","sab:SAB0008 hutH (GenBank) histidine ammonia lyase","Metabolic pathways"
"8","sab:SAB0009 serS (GenBank) seryl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"9","sab:SAB0012  (GenBank) probable homoserine-o-acetyltransferase","Cysteine and methionine metabolism"
"10","sab:SAB0012  (GenBank) probable homoserine-o-acetyltransferase","Sulfur metabolism"
"11","sab:SAB0012  (GenBank) probable homoserine-o-acetyltransferase","Metabolic pathways"
"12","sab:SAB0012  (GenBank) probable homoserine-o-acetyltransferase","Biosynthesis of secondary metabolites"
"13","sab:SAB0012  (GenBank) probable homoserine-o-acetyltransferase","Biosynthesis of amino acids"
"14","sab:SAB0015 rplI (GenBank) 50S ribosomal protein L9","Ribosome"
"15","sab:SAB0016 dnaC (GenBank) replicative DNA helicase","DNA replication"
"16","sab:SAB0017 purA (GenBank) adenylosuccinate synthetase","Purine metabolism"
"17","sab:SAB0017 purA (GenBank) adenylosuccinate synthetase","Alanine, aspartate and glutamate metabolism"
"18","sab:SAB0017 purA (GenBank) adenylosuccinate synthetase","Metabolic pathways"
"19","sab:SAB0017 purA (GenBank) adenylosuccinate synthetase","Nucleotide metabolism"
"20","sab:SAB0017 purA (GenBank) adenylosuccinate synthetase","Biosynthesis of cofactors"
"21","sab:tRNA-Glu-1 tRNA-Glu_(TTC) (GenBank) tRNA-Glu","Aminoacyl-tRNA biosynthesis"
"22","sab:tRNA-Asp-1 tRNA-Asp_(GTC) (GenBank) tRNA-Asp","Aminoacyl-tRNA biosynthesis"
"23","sab:SAB0018 yycF (GenBank) two-component response regulator","Two-component system"
"24","sab:SAB0019 yycG (GenBank) two-component sensor histidine kinase","Two-component system"
"25","sab:SAB0026  (GenBank) probable enterotoxin protein","Staphylococcus aureus infection"
"26","sab:SAB0032  (GenBank) probable sulfide-quinone reductase","Sulfur metabolism"
"27","sab:SAB0032  (GenBank) probable sulfide-quinone reductase","Microbial metabolism in diverse environments"
"28","sab:SAB0038 plc (GenBank) 1-phosphatidylinositol phosphodiesterase","Inositol phosphate metabolism"
"29","sab:SAB0038 plc (GenBank) 1-phosphatidylinositol phosphodiesterase","Metabolic pathways"
"30","sab:SAB0055  (GenBank) probable cysteine synthase A protein","Biosynthesis of various other secondary metabolites"
"31","sab:SAB0055  (GenBank) probable cysteine synthase A protein","Biosynthesis of various antibiotics"
"32","sab:SAB0055  (GenBank) probable cysteine synthase A protein","Metabolic pathways"
"33","sab:SAB0055  (GenBank) probable cysteine synthase A protein","Biosynthesis of secondary metabolites"
"34","sab:SAB0056  (GenBank) probable ornithine cyclodeaminase protein","Biosynthesis of various other secondary metabolites"
"35","sab:SAB0056  (GenBank) probable ornithine cyclodeaminase protein","Biosynthesis of various antibiotics"
"36","sab:SAB0056  (GenBank) probable ornithine cyclodeaminase protein","Metabolic pathways"
"37","sab:SAB0056  (GenBank) probable ornithine cyclodeaminase protein","Biosynthesis of secondary metabolites"
"38","sab:SAB0057  (GenBank) probable siderophore biosynthesis protein","Biosynthesis of various other secondary metabolites"
"39","sab:SAB0057  (GenBank) probable siderophore biosynthesis protein","Metabolic pathways"
"40","sab:SAB0057  (GenBank) probable siderophore biosynthesis protein","Biosynthesis of secondary metabolites"
"41","sab:SAB0059  (GenBank) probable siderophore biosynthesis protein","Biosynthesis of various other secondary metabolites"
"42","sab:SAB0059  (GenBank) probable siderophore biosynthesis protein","Metabolic pathways"
"43","sab:SAB0059  (GenBank) probable siderophore biosynthesis protein","Biosynthesis of secondary metabolites"
"44","sab:SAB0060  (GenBank) probable siderophore biosynthesis protein","Biosynthesis of various other secondary metabolites"
"45","sab:SAB0060  (GenBank) probable siderophore biosynthesis protein","Metabolic pathways"
"46","sab:SAB0060  (GenBank) probable siderophore biosynthesis protein","Biosynthesis of secondary metabolites"
"47","sab:SAB0062  (GenBank) probable diaminopimelate decarboxylase protein","Biosynthesis of various other secondary metabolites"
"48","sab:SAB0062  (GenBank) probable diaminopimelate decarboxylase protein","Metabolic pathways"
"49","sab:SAB0062  (GenBank) probable diaminopimelate decarboxylase protein","Biosynthesis of secondary metabolites"
"50","sab:SAB0063  (GenBank) hypothetical protein","Biosynthesis of various other secondary metabolites"
"51","sab:SAB0063  (GenBank) hypothetical protein","Metabolic pathways"
"52","sab:SAB0063  (GenBank) hypothetical protein","Biosynthesis of secondary metabolites"
"53","sab:SAB0066  (GenBank) acetoin (diacetyl) reductase","Butanoate metabolism"
"54","sab:SAB0066  (GenBank) acetoin (diacetyl) reductase","Biosynthesis of secondary metabolites"
"55","sab:SAB0067  (GenBank) probable UDP-glucose 4-epimerase","Galactose metabolism"
"56","sab:SAB0067  (GenBank) probable UDP-glucose 4-epimerase","Amino sugar and nucleotide sugar metabolism"
"57","sab:SAB0067  (GenBank) probable UDP-glucose 4-epimerase","O-Antigen nucleotide sugar biosynthesis"
"58","sab:SAB0067  (GenBank) probable UDP-glucose 4-epimerase","Metabolic pathways"
"59","sab:SAB0067  (GenBank) probable UDP-glucose 4-epimerase","Biosynthesis of nucleotide sugars"
"60","sab:SAB0075 deoD1 (GenBank) purine nucleoside phosphorylase","Purine metabolism"
"61","sab:SAB0075 deoD1 (GenBank) purine nucleoside phosphorylase","Nicotinate and nicotinamide metabolism"
"62","sab:SAB0075 deoD1 (GenBank) purine nucleoside phosphorylase","Metabolic pathways"
"63","sab:SAB0075 deoD1 (GenBank) purine nucleoside phosphorylase","Biosynthesis of secondary metabolites"
"64","sab:SAB0075 deoD1 (GenBank) purine nucleoside phosphorylase","Nucleotide metabolism"
"65","sab:SAB0077 deoC1 (GenBank) deoxyribose-phosphate aldolase 1","Pentose phosphate pathway"
"66","sab:SAB0077 deoC1 (GenBank) deoxyribose-phosphate aldolase 1","Metabolic pathways"
"67","sab:SAB0078 drm (GenBank) phosphopentomutase","Pentose phosphate pathway"
"68","sab:SAB0078 drm (GenBank) phosphopentomutase","Purine metabolism"
"69","sab:SAB0078 drm (GenBank) phosphopentomutase","Metabolic pathways"
"70","sab:SAB0081c  (GenBank) phosphonate ABC transporter permease","ABC transporters"
"71","sab:SAB0083c  (GenBank) transport system protein","ABC transporters"
"72","sab:SAB0084c  (GenBank) probable transport protein","ABC transporters"
"73","sab:SAB0086 cpdB (GenBank) 2',3'-cyclic-nucleotide 2'-phosphodiesterase","Purine metabolism"
