"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","NANE_STRSV","A3CK30","Streptococcus sanguinis (strain SK36)","388919","A3CK30","CP000387","ABN43535.1","nanE","nanE SSA_0071","N-acylglucosamine-6-phosphate 2-epimerase activity [GO:0047465]; N-acylmannosamine-6-phosphate 2-epimerase activity [GO:0009385]; carbohydrate metabolic process [GO:0005975]; N-acetylmannosamine metabolic process [GO:0006051]; N-acetylneuraminate catabolic process [GO:0019262]","GO:0005975; GO:0006051; GO:0009385; GO:0019262; GO:0047465","ssa:SSA_0071","COG3010",NA
"2","PGK_STRSV","A3CKQ4","Streptococcus sanguinis (strain SK36)","388919","A3CKQ4","CP000387","ABN43759.1","pgk","pgk SSA_0302","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","ssa:SSA_0302","COG0126",NA
"3","PLSX_STRSV","A3CJY9","Streptococcus sanguinis (strain SK36)","388919","A3CJY9","CP000387","ABN43494.1","plsX","plsX SSA_0026","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","ssa:SSA_0026","COG0416",NA
"4","RPOA_STRSV","A3CK90","Streptococcus sanguinis (strain SK36)","388919","A3CK90","CP000387","ABN43595.1","rpoA","rpoA SSA_0132","DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]","GO:0003677; GO:0003899; GO:0006351; GO:0046983","ssa:SSA_0132","COG0202",NA
"5","RS3_STRSV","A3CK69","Streptococcus sanguinis (strain SK36)","388919","A3CK69","CP000387","ABN43574.1","rpsC","rpsC SSA_0113","ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843","ssa:SSA_0113","COG0092",NA
"6","TRPD_STRSV","A3CLL8","Streptococcus sanguinis (strain SK36)","388919","A3CLL8","CP000387","ABN44073.1","trpD","trpD SSA_0634","anthranilate phosphoribosyltransferase activity [GO:0004048]; magnesium ion binding [GO:0000287]; tryptophan biosynthetic process [GO:0000162]","GO:0000162; GO:0000287; GO:0004048","ssa:SSA_0634","COG0547",NA
"7","VATB_STRSV","A3CK49","Streptococcus sanguinis (strain SK36)","388919","A3CK49","CP000387","ABN43554.1","atpB","atpB SSA_0092","ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0042777; GO:0046933","ssa:SSA_0092","COG1156",NA
"8","UPP_STRSV","A3CPK9","Streptococcus sanguinis (strain SK36)","388919","A3CPK9","CP000387","ABN45114.1","upp","upp SSA_1732","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","ssa:SSA_1732","COG0035",NA
"9","VATD_STRSV","A3CK50","Streptococcus sanguinis (strain SK36)","388919","A3CK50","CP000387","ABN43555.1","atpD","atpD SSA_0093","ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0042626; GO:0042777; GO:0046933","ssa:SSA_0093","COG1394",NA
"10","UVRB_STRSV","A3CNJ9","Streptococcus sanguinis (strain SK36)","388919","A3CNJ9","CP000387","ABN44754.1","uvrB","uvrB SSA_1356","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; helicase activity [GO:0004386]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0004386; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887","ssa:SSA_1356","COG0556",NA
