"","Gene","Pathway"
"1","bch:Bcen2424_0001","Two-component system"
"2","bch:Bcen2424_0002","DNA replication"
"3","bch:Bcen2424_0002","Mismatch repair"
"4","bch:Bcen2424_0002","Homologous recombination"
"5","bch:Bcen2424_R0001","Ribosome"
"6","bch:Bcen2424_R0002","Ribosome"
"7","bch:Bcen2424_R0003","Ribosome"
"8","bch:Bcen2424_0010","Tryptophan metabolism"
"9","bch:Bcen2424_0010","Glyoxylate and dicarboxylate metabolism"
"10","bch:Bcen2424_0010","Metabolic pathways"
"11","bch:Bcen2424_0010","Biosynthesis of secondary metabolites"
"12","bch:Bcen2424_0010","Carbon metabolism"
"13","bch:Bcen2424_R0004","Aminoacyl-tRNA biosynthesis"
"14","bch:Bcen2424_0030","Two-component system"
"15","bch:Bcen2424_0031","Two-component system"
"16","bch:Bcen2424_0032","Sulfur metabolism"
"17","bch:Bcen2424_0032","ABC transporters"
"18","bch:Bcen2424_0033","Sulfur metabolism"
"19","bch:Bcen2424_0033","ABC transporters"
"20","bch:Bcen2424_0034","Sulfur metabolism"
"21","bch:Bcen2424_0034","ABC transporters"
"22","bch:Bcen2424_0035","Flagellar assembly"
"23","bch:Bcen2424_0036","Flagellar assembly"
"24","bch:Bcen2424_0037","Flagellar assembly"
"25","bch:Bcen2424_0038","Flagellar assembly"
"26","bch:Bcen2424_0039","Bacterial chemotaxis"
"27","bch:Bcen2424_0039","Flagellar assembly"
"28","bch:Bcen2424_0040","Bacterial chemotaxis"
"29","bch:Bcen2424_0040","Flagellar assembly"
"30","bch:Bcen2424_0041","Flagellar assembly"
"31","bch:Bcen2424_0052","Bacterial secretion system"
"32","bch:Bcen2424_0053","Bacterial secretion system"
"33","bch:Bcen2424_0054","Bacterial secretion system"
"34","bch:Bcen2424_0055","Bacterial secretion system"
"35","bch:Bcen2424_0056","Bacterial secretion system"
"36","bch:Bcen2424_0057","Bacterial secretion system"
"37","bch:Bcen2424_0058","Bacterial secretion system"
"38","bch:Bcen2424_0059","Bacterial secretion system"
"39","bch:Bcen2424_0060","Bacterial secretion system"
"40","bch:Bcen2424_0061","Bacterial secretion system"
"41","bch:Bcen2424_0062","Bacterial secretion system"
"42","bch:Bcen2424_0069","Glutathione metabolism"
"43","bch:Bcen2424_0069","Metabolic pathways"
"44","bch:Bcen2424_0071","Purine metabolism"
"45","bch:Bcen2424_0071","Metabolic pathways"
"46","bch:Bcen2424_0077","Folate biosynthesis"
"47","bch:Bcen2424_0077","Metabolic pathways"
"48","bch:Bcen2424_0078","Phenylalanine metabolism"
"49","bch:Bcen2424_0078","Phenylalanine, tyrosine and tryptophan biosynthesis"
"50","bch:Bcen2424_0078","Folate biosynthesis"
"51","bch:Bcen2424_0078","Metabolic pathways"
"52","bch:Bcen2424_0078","Biosynthesis of amino acids"
"53","bch:Bcen2424_0082","Glycine, serine and threonine metabolism"
"54","bch:Bcen2424_0082","Metabolic pathways"
"55","bch:Bcen2424_0083","ABC transporters"
"56","bch:Bcen2424_0083","Quorum sensing"
"57","bch:Bcen2424_0084","ABC transporters"
"58","bch:Bcen2424_0084","Quorum sensing"
"59","bch:Bcen2424_0085","ABC transporters"
"60","bch:Bcen2424_0085","Quorum sensing"
"61","bch:Bcen2424_0086","ABC transporters"
"62","bch:Bcen2424_0086","Quorum sensing"
"63","bch:Bcen2424_0087","ABC transporters"
"64","bch:Bcen2424_0087","Quorum sensing"
"65","bch:Bcen2424_0089","ABC transporters"
"66","bch:Bcen2424_0089","Quorum sensing"
"67","bch:Bcen2424_0090","ABC transporters"
"68","bch:Bcen2424_0090","Quorum sensing"
"69","bch:Bcen2424_0091","ABC transporters"
"70","bch:Bcen2424_0091","Quorum sensing"
"71","bch:Bcen2424_0092","ABC transporters"
"72","bch:Bcen2424_0092","Quorum sensing"
"73","bch:Bcen2424_0100","Oxidative phosphorylation"
"74","bch:Bcen2424_0100","Metabolic pathways"
"75","bch:Bcen2424_0101","Oxidative phosphorylation"
"76","bch:Bcen2424_0101","Metabolic pathways"
"77","bch:Bcen2424_0102","Oxidative phosphorylation"
"78","bch:Bcen2424_0102","Metabolic pathways"
"79","bch:Bcen2424_0103","Oxidative phosphorylation"
"80","bch:Bcen2424_0103","Metabolic pathways"
"81","bch:Bcen2424_0104","Oxidative phosphorylation"
"82","bch:Bcen2424_0104","Metabolic pathways"
"83","bch:Bcen2424_0105","Oxidative phosphorylation"
"84","bch:Bcen2424_0105","Metabolic pathways"
"85","bch:Bcen2424_0106","Oxidative phosphorylation"
"86","bch:Bcen2424_0106","Metabolic pathways"
"87","bch:Bcen2424_0107","Oxidative phosphorylation"
"88","bch:Bcen2424_0107","Metabolic pathways"
"89","bch:Bcen2424_0110","Phenylalanine, tyrosine and tryptophan biosynthesis"
"90","bch:Bcen2424_0110","Metabolic pathways"
"91","bch:Bcen2424_0110","Biosynthesis of secondary metabolites"
"92","bch:Bcen2424_0110","Biosynthesis of amino acids"
"93","bch:Bcen2424_0111","Porphyrin metabolism"
"94","bch:Bcen2424_0111","Metabolic pathways"
"95","bch:Bcen2424_0111","Biosynthesis of secondary metabolites"
"96","bch:Bcen2424_0111","Biosynthesis of cofactors"
"97","bch:Bcen2424_0112","Homologous recombination"
"98","bch:Bcen2424_0113","Alanine, aspartate and glutamate metabolism"
"99","bch:Bcen2424_0113","Arginine and proline metabolism"
"100","bch:Bcen2424_0113","Metabolic pathways"
"101","bch:Bcen2424_0113","Biosynthesis of secondary metabolites"
"102","bch:Bcen2424_0114","ABC transporters"
"103","bch:Bcen2424_0114","Quorum sensing"
"104","bch:Bcen2424_0120","ABC transporters"
"105","bch:Bcen2424_0129","Glycerophospholipid metabolism"
"106","bch:Bcen2424_0129","Metabolic pathways"
"107","bch:Bcen2424_0130","Glycerophospholipid metabolism"
"108","bch:Bcen2424_0130","Metabolic pathways"
"109","bch:Bcen2424_0134","Glycolysis / Gluconeogenesis"
"110","bch:Bcen2424_0134","Pyruvate metabolism"
"111","bch:Bcen2424_0134","Metabolic pathways"
"112","bch:Bcen2424_0134","Biosynthesis of secondary metabolites"
"113","bch:Bcen2424_0134","Microbial metabolism in diverse environments"
"114","bch:Bcen2424_0138","Valine, leucine and isoleucine biosynthesis"
"115","bch:Bcen2424_0138","Butanoate metabolism"
"116","bch:Bcen2424_0138","C5-Branched dibasic acid metabolism"
"117","bch:Bcen2424_0138","Pantothenate and CoA biosynthesis"
"118","bch:Bcen2424_0138","Metabolic pathways"
"119","bch:Bcen2424_0138","Biosynthesis of secondary metabolites"
"120","bch:Bcen2424_0138","2-Oxocarboxylic acid metabolism"
"121","bch:Bcen2424_0138","Biosynthesis of amino acids"
"122","bch:Bcen2424_0142","Glycine, serine and threonine metabolism"
"123","bch:Bcen2424_0142","Cysteine and methionine metabolism"
"124","bch:Bcen2424_0142","Metabolic pathways"
"125","bch:Bcen2424_0142","Biosynthesis of secondary metabolites"
"126","bch:Bcen2424_0142","Carbon metabolism"
"127","bch:Bcen2424_0142","Biosynthesis of amino acids"
