"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","HSISS4_00001","dnaA","(GenBank) Chromosomal replication initiator protein DnaA","Two-component system"
"2","HSISS4_00002","dnaN","(GenBank) DNA polymerase III beta subunit","DNA replication, Mismatch repair, Homologous recombination"
"3","HSISS4_00006","trcF","(GenBank) Transcription-repair coupling factor","Nucleotide excision repair"
"4","HSISS4_00010","","(GenBank) hypothetical protein","beta-Lactam resistance, Two-component system"
"5","HSISS4_00012","hpt","(GenBank) Hypoxanthine-guanine phosphoribosyltransferase","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism"
"6","HSISS4_r00001","","(GenBank) 16S ribosomal RNA","Ribosome"
"7","HSISS4_r00003","","(GenBank) 23S ribosomal RNA","Ribosome"
"8","HSISS4_r00004","","(GenBank) 5S ribosomal RNA","Ribosome"
"9","HSISS4_r00007","","(GenBank) tRNA-Lys","Aminoacyl-tRNA biosynthesis"
"10","HSISS4_r00009","","(GenBank) tRNA-Thr","Aminoacyl-tRNA biosynthesis"
"11","HSISS4_r00010","","(GenBank) tRNA-Gly","Aminoacyl-tRNA biosynthesis"
"12","HSISS4_r00012","","(GenBank) tRNA-Arg","Aminoacyl-tRNA biosynthesis"
"13","HSISS4_r00014","","(GenBank) tRNA-Met","Aminoacyl-tRNA biosynthesis"
"14","HSISS4_r00016","","(GenBank) tRNA-Ser","Aminoacyl-tRNA biosynthesis"
"15","HSISS4_r00020","","(GenBank) tRNA-Ile","Aminoacyl-tRNA biosynthesis"
"16","HSISS4_00017","prsA1","(GenBank) Ribose-phosphate pyrophosphokinase","Pentose phosphate pathway, Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"17","HSISS4_00018","araT","(GenBank) Aromatic amino acid aminotransferase gamma/N-acetyl-L,L-diaminopimelate aminotransferase","Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"18","HSISS4_00019","recO","(GenBank) DNA recombination and repair protein RecO","Homologous recombination"
"19","HSISS4_00020","plsX","(GenBank) Phosphate:acyl-ACP acyltransferase PlsX","Glycerolipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"20","HSISS4_00021","acpP1","(GenBank) Acyl carrier protein","Metabolic pathways, Biosynthesis of secondary metabolites"
"21","HSISS4_00022","purC","(GenBank) Phosphoribosylaminoimidazole-succinocarboxamide synthase","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"22","HSISS4_00023","purL","(GenBank) Phosphoribosylformylglycinamidine synthase, synthetase subunit/glutamine amidotransferase subunit","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"23","HSISS4_00024","purF","(GenBank) Amidophosphoribosyltransferase","Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"24","HSISS4_00025","purM","(GenBank) Phosphoribosylformylglycinamidine cyclo-ligase","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"25","HSISS4_00026","purN","(GenBank) Phosphoribosylglycinamide formyltransferase","Purine metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites"
"26","HSISS4_00027","purH","(GenBank) IMP cyclohydrolase/Phosphoribosylaminoimidazolecarboxamide formyltransferase","Purine metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites"
"27","HSISS4_00030","purD","(GenBank) Phosphoribosylamine--glycine ligase","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"28","HSISS4_00031","purE","(GenBank) Phosphoribosylaminoimidazole carboxylase catalytic subunit","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"29","HSISS4_00032","purK","(GenBank) Phosphoribosylaminoimidazole carboxylase ATPase subunit","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"30","HSISS4_00035","purB1","(GenBank) Adenylosuccinate lyase","Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism, Biosynthesis of cofactors"
"31","HSISS4_00036","argS","(GenBank) Arginyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"32","HSISS4_00039","mutS1","(GenBank) DNA mismatch repair protein MutS","Mismatch repair"
"33","HSISS4_00043","mutL","(GenBank) DNA mismatch repair protein MutL","Mismatch repair"
"34","HSISS4_00045","ruvA","(GenBank) Holliday junction DNA helicase RuvA","Homologous recombination"
"35","HSISS4_00046","tag1","(GenBank) DNA-3-methyladenine glycosylase","Base excision repair"
"36","HSISS4_00047","cinA","(GenBank) Molybdopterin binding motif, CinA N-terminal domain / C-terminal domain of CinA type S","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"37","HSISS4_00048","recA","(GenBank) RecA protein","Homologous recombination"
