"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","LEPA_PORG3","B2RKK1","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RKK1","AP009380","BAG33896.1","lepA","lepA PGN_1377","plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translation [GO:0045727]","GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727","pgn:PGN_1377","COG0481",NA
"2","PDXJ_PORG3","B2RIJ5","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RIJ5","AP009380","BAG33190.1","pdxJ","pdxJ PGN_0671","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","pgn:PGN_0671","COG0854",NA
"3","PDXH_PORG3","B2RHS7","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RHS7","AP009380","BAG32922.1","pdxH","pdxH PGN_0403","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181","pgn:PGN_0403","COG0259",NA
"4","NHAA_PORG3","B2RLS8","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RLS8","AP009380","BAG34323.1","nhaA","nhaA PGN_1804","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; sodium ion transmembrane transporter activity [GO:0015081]; regulation of pH [GO:0006885]","GO:0005886; GO:0006885; GO:0015081; GO:0015297; GO:0016021","pgn:PGN_1804","COG3004",NA
"5","RS13_PORG3","B2RLW8","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RLW8","AP009380","BAG34363.1","rpsM","rpsM PGN_1844","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]","GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843","pgn:PGN_1844","COG0099",NA
"6","UVRC_PORG3","B2RM62","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RM62","AP009380","BAG34457.1","uvrC","uvrC PGN_1938","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432","pgn:PGN_1938","COG0322",NA
"7","UPP_PORG3","B2RIV3","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RIV3","AB016085","BAG33298.1","upp","upp PGN_0779","GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]","GO:0004845; GO:0005525; GO:0009116; GO:0044206","pgn:PGN_0779","COG0035",NA
"8","UPP_PORG3","B2RIV3","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RIV3","AB016085","BAA36601.1","upp","upp PGN_0779","GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]","GO:0004845; GO:0005525; GO:0009116; GO:0044206","pgn:PGN_0779","COG0035",NA
"9","UPP_PORG3","B2RIV3","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RIV3","AP009380","BAA36601.1","upp","upp PGN_0779","GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]","GO:0004845; GO:0005525; GO:0009116; GO:0044206","pgn:PGN_0779","COG0035",NA
"10","UPP_PORG3","B2RIV3","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RIV3","AP009380","BAG33298.1","upp","upp PGN_0779","GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]","GO:0004845; GO:0005525; GO:0009116; GO:0044206","pgn:PGN_0779","COG0035",NA
"11","MFA2_PORG3","B2RHG2","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RHG2","AB360435","BAH90730.1","mfa2","mfa2 PGN_0288","cell outer membrane [GO:0009279]; pilus assembly [GO:0009297]","GO:0009279; GO:0009297","pgn:PGN_0288","ENOG5033NRG",NA
"12","MFA2_PORG3","B2RHG2","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RHG2","AP009380","BAH90730.1","mfa2","mfa2 PGN_0288","cell outer membrane [GO:0009279]; pilus assembly [GO:0009297]","GO:0009279; GO:0009297","pgn:PGN_0288","ENOG5033NRG",NA
"13","MFA2_PORG3","B2RHG2","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RHG2","AP009380","BAG32807.1","mfa2","mfa2 PGN_0288","cell outer membrane [GO:0009279]; pilus assembly [GO:0009297]","GO:0009279; GO:0009297","pgn:PGN_0288","ENOG5033NRG",NA
"14","MFA2_PORG3","B2RHG2","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RHG2","AB360435","BAG32807.1","mfa2","mfa2 PGN_0288","cell outer membrane [GO:0009279]; pilus assembly [GO:0009297]","GO:0009279; GO:0009297","pgn:PGN_0288","ENOG5033NRG",NA
"15","PANC_PORG3","B2RKW6","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RKW6","AP009380","BAG34011.1","panC","panC PGN_1492","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940]","GO:0004592; GO:0005524; GO:0005737; GO:0015940","pgn:PGN_1492","COG0414",NA
"16","QUEC_PORG3","B2RJS2","Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)","431947","B2RJS2","AP009380","BAG33617.1","queC","queC PGN_1098","ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]","GO:0005524; GO:0008270; GO:0008616; GO:0016879","pgn:PGN_1098","COG0603",NA
