"","Gene","Pathway"
"1","paem:U769_00005","Two-component system"
"2","paem:U769_00010","DNA replication"
"3","paem:U769_00010","Mismatch repair"
"4","paem:U769_00010","Homologous recombination"
"5","paem:U769_00015","Homologous recombination"
"6","paem:U769_00025","Glycerolipid metabolism"
"7","paem:U769_00025","Glycerophospholipid metabolism"
"8","paem:U769_00025","Metabolic pathways"
"9","paem:U769_00025","Biosynthesis of secondary metabolites"
"10","paem:U769_00030","Lipopolysaccharide biosynthesis"
"11","paem:U769_00030","Metabolic pathways"
"12","paem:U769_00030","Biosynthesis of nucleotide sugars"
"13","paem:U769_00040","Aminoacyl-tRNA biosynthesis"
"14","paem:U769_00045","Aminoacyl-tRNA biosynthesis"
"15","paem:U769_00050","Base excision repair"
"16","paem:U769_00055","Lipopolysaccharide biosynthesis"
"17","paem:U769_00055","Metabolic pathways"
"18","paem:U769_00090","One carbon pool by folate"
"19","paem:U769_00090","Aminoacyl-tRNA biosynthesis"
"20","paem:U769_00090","Metabolic pathways"
"21","paem:U769_00120","Porphyrin metabolism"
"22","paem:U769_00120","Metabolic pathways"
"23","paem:U769_00120","Biosynthesis of secondary metabolites"
"24","paem:U769_00120","Biosynthesis of cofactors"
"25","paem:U769_00125","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","paem:U769_00125","Biosynthesis of various plant secondary metabolites"
"27","paem:U769_00125","Metabolic pathways"
"28","paem:U769_00125","Biosynthesis of secondary metabolites"
"29","paem:U769_00125","Biosynthesis of amino acids"
"30","paem:U769_00150","ABC transporters"
"31","paem:U769_00175","Two-component system"
"32","paem:U769_00180","Glycine, serine and threonine metabolism"
"33","paem:U769_00180","Phenylalanine, tyrosine and tryptophan biosynthesis"
"34","paem:U769_00180","Metabolic pathways"
"35","paem:U769_00180","Biosynthesis of secondary metabolites"
"36","paem:U769_00180","Biosynthesis of amino acids"
"37","paem:U769_00185","Glycine, serine and threonine metabolism"
"38","paem:U769_00185","Phenylalanine, tyrosine and tryptophan biosynthesis"
"39","paem:U769_00185","Metabolic pathways"
"40","paem:U769_00185","Biosynthesis of secondary metabolites"
"41","paem:U769_00185","Biosynthesis of amino acids"
"42","paem:U769_00285","Alanine, aspartate and glutamate metabolism"
"43","paem:U769_00285","Metabolic pathways"
"44","paem:U769_00285","Biosynthesis of secondary metabolites"
"45","paem:U769_00285","Biosynthesis of amino acids"
"46","paem:U769_00350","Glyoxylate and dicarboxylate metabolism"
"47","paem:U769_00350","Metabolic pathways"
"48","paem:U769_00350","Biosynthesis of secondary metabolites"
"49","paem:U769_00395","Biofilm formation - Pseudomonas aeruginosa"
"50","paem:U769_00395","Bacterial secretion system"
"51","paem:U769_00400","Biofilm formation - Pseudomonas aeruginosa"
"52","paem:U769_00400","Bacterial secretion system"
"53","paem:U769_00405","Biofilm formation - Pseudomonas aeruginosa"
"54","paem:U769_00410","Biofilm formation - Pseudomonas aeruginosa"
"55","paem:U769_00410","Bacterial secretion system"
"56","paem:U769_00415","Bacterial secretion system"
"57","paem:U769_00420","Biofilm formation - Pseudomonas aeruginosa"
"58","paem:U769_00425","Bacterial secretion system"
"59","paem:U769_00430","Biofilm formation - Pseudomonas aeruginosa"
"60","paem:U769_00430","Bacterial secretion system"
"61","paem:U769_00435","Biofilm formation - Pseudomonas aeruginosa"
"62","paem:U769_00440","Biofilm formation - Pseudomonas aeruginosa"
"63","paem:U769_00445","Biofilm formation - Pseudomonas aeruginosa"
"64","paem:U769_00450","Biofilm formation - Pseudomonas aeruginosa"
"65","paem:U769_00450","Bacterial secretion system"
"66","paem:U769_00470","Biofilm formation - Pseudomonas aeruginosa"
"67","paem:U769_00475","Biofilm formation - Pseudomonas aeruginosa"
"68","paem:U769_00475","Bacterial secretion system"
"69","paem:U769_00480","Bacterial secretion system"
"70","paem:U769_00505","Bacterial secretion system"
"71","paem:U769_00520","Fatty acid biosynthesis"
"72","paem:U769_00520","Biotin metabolism"
"73","paem:U769_00520","Metabolic pathways"
"74","paem:U769_00520","Fatty acid metabolism"
"75","paem:U769_00520","Biosynthesis of cofactors"
"76","paem:U769_00540","Nitrogen metabolism"
"77","paem:U769_00540","Metabolic pathways"
"78","paem:U769_00555","Oxidative phosphorylation"
"79","paem:U769_00555","Metabolic pathways"
"80","paem:U769_00560","Oxidative phosphorylation"
"81","paem:U769_00560","Metabolic pathways"
"82","paem:U769_00565","Oxidative phosphorylation"
"83","paem:U769_00565","Metabolic pathways"
"84","paem:U769_00570","Oxidative phosphorylation"
"85","paem:U769_00570","Metabolic pathways"
"86","paem:U769_00590","Oxidative phosphorylation"
"87","paem:U769_00590","Porphyrin metabolism"
"88","paem:U769_00590","Metabolic pathways"
"89","paem:U769_00590","Biosynthesis of secondary metabolites"
"90","paem:U769_00590","Biosynthesis of cofactors"
"91","paem:U769_00590","Two-component system"
"92","paem:U769_00595","Oxidative phosphorylation"
"93","paem:U769_00595","Porphyrin metabolism"
"94","paem:U769_00595","Metabolic pathways"
"95","paem:U769_00595","Biosynthesis of secondary metabolites"
"96","paem:U769_00595","Biosynthesis of cofactors"
"97","paem:U769_00625","Two-component system"
"98","paem:U769_00680","Valine, leucine and isoleucine degradation"
"99","paem:U769_00680","beta-Alanine metabolism"
"100","paem:U769_00680","Inositol phosphate metabolism"
"101","paem:U769_00680","Propanoate metabolism"
"102","paem:U769_00680","Metabolic pathways"
