"","Gene","Pathway"
"1","spy:SPy_0002 dnaA (GenBank) Chromosomal initiator protein","Two-component system"
"2","spy:SPy_0003 dnaN (GenBank) beta subunit of DNA polymerase III","DNA replication"
"3","spy:SPy_0003 dnaN (GenBank) beta subunit of DNA polymerase III","Mismatch repair"
"4","spy:SPy_0003 dnaN (GenBank) beta subunit of DNA polymerase III","Homologous recombination"
"5","spy:SPy_0008 trcF (GenBank) putative transcription-repair coupling factor","Nucleotide excision repair"
"6","spy:SPy_0012  (GenBank) hypothetical protein","beta-Lactam resistance"
"7","spy:SPy_0012  (GenBank) hypothetical protein","Two-component system"
"8","spy:SPy_r01  (GenBank) 16S ribosomal RNA","Ribosome"
"9","spy:SPy_t01  (GenBank) tRNA-Ala","Aminoacyl-tRNA biosynthesis"
"10","spy:SPy_r02  (GenBank) 23S ribosomal RNA","Ribosome"
"11","spy:SPy_t02  (GenBank) tRNA-Val","Aminoacyl-tRNA biosynthesis"
"12","spy:SPy_t03  (GenBank) tRNA-Asp","Aminoacyl-tRNA biosynthesis"
"13","spy:SPy_t04  (GenBank) tRNA-Lys","Aminoacyl-tRNA biosynthesis"
"14","spy:SPy_t05  (GenBank) tRNA-Leu","Aminoacyl-tRNA biosynthesis"
"15","spy:SPy_t06  (GenBank) tRNA-Thr","Aminoacyl-tRNA biosynthesis"
"16","spy:SPy_t07  (GenBank) tRNA-Gly","Aminoacyl-tRNA biosynthesis"
"17","spy:SPy_t08  (GenBank) tRNA-Leu","Aminoacyl-tRNA biosynthesis"
"18","spy:SPy_t09  (GenBank) tRNA-Arg","Aminoacyl-tRNA biosynthesis"
"19","spy:SPy_t10  (GenBank) tRNA-Pro","Aminoacyl-tRNA biosynthesis"
"20","spy:SPy_r03  (GenBank) 16S ribosomal RNA","Ribosome"
"21","spy:SPy_t11  (GenBank) tRNA-Ala","Aminoacyl-tRNA biosynthesis"
"22","spy:SPy_r04  (GenBank) 23S ribosomal RNA","Ribosome"
"23","spy:SPy_t12  (GenBank) tRNA-Val","Aminoacyl-tRNA biosynthesis"
"24","spy:SPy_t13  (GenBank) tRNA-Gly","Aminoacyl-tRNA biosynthesis"
"25","spy:SPy_t14  (GenBank) tRNA-Ile","Aminoacyl-tRNA biosynthesis"
"26","spy:SPy_t15  (GenBank) tRNA-Glu","Aminoacyl-tRNA biosynthesis"
"27","spy:SPy_t16  (GenBank) tRNA-Ser","Aminoacyl-tRNA biosynthesis"
"28","spy:SPy_t17  (GenBank) tRNA-Met","Aminoacyl-tRNA biosynthesis"
"29","spy:SPy_t18  (GenBank) tRNA-Phe","Aminoacyl-tRNA biosynthesis"
"30","spy:SPy_t19  (GenBank) tRNA-Gly","Aminoacyl-tRNA biosynthesis"
