"","Gene","Pathway"
"1","hix:NTHI723_00018","Lipopolysaccharide biosynthesis"
"2","hix:NTHI723_00018","Metabolic pathways"
"3","hix:NTHI723_00018","Biosynthesis of nucleotide sugars"
"4","hix:NTHI723_00019","Glycine, serine and threonine metabolism"
"5","hix:NTHI723_00019","Glyoxylate and dicarboxylate metabolism"
"6","hix:NTHI723_00019","Methane metabolism"
"7","hix:NTHI723_00019","Metabolic pathways"
"8","hix:NTHI723_00019","Biosynthesis of secondary metabolites"
"9","hix:NTHI723_00019","Microbial metabolism in diverse environments"
"10","hix:NTHI723_00019","Carbon metabolism"
"11","hix:NTHI723_00020","ABC transporters"
"12","hix:NTHI723_00021","Biotin metabolism"
"13","hix:NTHI723_00021","Metabolic pathways"
"14","hix:NTHI723_00021","Biosynthesis of cofactors"
"15","hix:NTHI723_00022","Biotin metabolism"
"16","hix:NTHI723_00022","Metabolic pathways"
"17","hix:NTHI723_00022","Biosynthesis of cofactors"
"18","hix:NTHI723_00023","Biotin metabolism"
"19","hix:NTHI723_00023","Metabolic pathways"
"20","hix:NTHI723_00023","Biosynthesis of cofactors"
"21","hix:NTHI723_00024","Biotin metabolism"
"22","hix:NTHI723_00024","Metabolic pathways"
"23","hix:NTHI723_00024","Biosynthesis of cofactors"
"24","hix:NTHI723_00025","Biotin metabolism"
"25","hix:NTHI723_00025","Metabolic pathways"
"26","hix:NTHI723_00025","Biosynthesis of cofactors"
"27","hix:NTHI723_00026","ABC transporters"
"28","hix:NTHI723_00027","ABC transporters"
"29","hix:NTHI723_00028","Phenylalanine, tyrosine and tryptophan biosynthesis"
"30","hix:NTHI723_00028","Metabolic pathways"
"31","hix:NTHI723_00028","Biosynthesis of secondary metabolites"
"32","hix:NTHI723_00028","Biosynthesis of amino acids"
"33","hix:NTHI723_00028","Quorum sensing"
"34","hix:NTHI723_00031","Ubiquinone and other terpenoid-quinone biosynthesis"
"35","hix:NTHI723_00031","Metabolic pathways"
"36","hix:NTHI723_00031","Biosynthesis of secondary metabolites"
"37","hix:NTHI723_00031","Biosynthesis of cofactors"
"38","hix:NTHI723_00040","Fatty acid biosynthesis"
"39","hix:NTHI723_00040","Biotin metabolism"
"40","hix:NTHI723_00040","Metabolic pathways"
"41","hix:NTHI723_00040","Fatty acid metabolism"
"42","hix:NTHI723_00040","Biosynthesis of cofactors"
"43","hix:NTHI723_00046","Lipopolysaccharide biosynthesis"
"44","hix:NTHI723_00046","Metabolic pathways"
"45","hix:NTHI723_00047","Lipopolysaccharide biosynthesis"
"46","hix:NTHI723_00047","Metabolic pathways"
"47","hix:NTHI723_00047","Biosynthesis of nucleotide sugars"
"48","hix:NTHI723_00052","Nitrogen metabolism"
"49","hix:NTHI723_00052","Metabolic pathways"
"50","hix:NTHI723_00053","Aminoacyl-tRNA biosynthesis"
"51","hix:NTHI723_00054","Riboflavin metabolism"
"52","hix:NTHI723_00054","Metabolic pathways"
"53","hix:NTHI723_00054","Biosynthesis of secondary metabolites"
"54","hix:NTHI723_00054","Biosynthesis of cofactors"
"55","hix:NTHI723_00056","Thiamine metabolism"
"56","hix:NTHI723_00056","Metabolic pathways"
"57","hix:NTHI723_00056","Biosynthesis of cofactors"
"58","hix:NTHI723_00057","Glycerophospholipid metabolism"
"59","hix:NTHI723_00057","Metabolic pathways"
"60","hix:NTHI723_00059","Monobactam biosynthesis"
"61","hix:NTHI723_00059","Lysine biosynthesis"
"62","hix:NTHI723_00059","Metabolic pathways"
"63","hix:NTHI723_00059","Biosynthesis of secondary metabolites"
"64","hix:NTHI723_00059","Microbial metabolism in diverse environments"
"65","hix:NTHI723_00059","Biosynthesis of amino acids"
"66","hix:NTHI723_00062","Aminoacyl-tRNA biosynthesis"
"67","hix:NTHI723_00063","Aminoacyl-tRNA biosynthesis"
"68","hix:NTHI723_00067","Purine metabolism"
"69","hix:NTHI723_00067","Pyrimidine metabolism"
"70","hix:NTHI723_00067","Nicotinate and nicotinamide metabolism"
"71","hix:NTHI723_00067","Metabolic pathways"
"72","hix:NTHI723_00067","Biosynthesis of secondary metabolites"
"73","hix:NTHI723_00068","Nicotinate and nicotinamide metabolism"
"74","hix:NTHI723_00068","Metabolic pathways"
"75","hix:NTHI723_00076","Glycolysis / Gluconeogenesis"
"76","hix:NTHI723_00076","Metabolic pathways"
"77","hix:NTHI723_00076","Biosynthesis of secondary metabolites"
"78","hix:NTHI723_00076","Microbial metabolism in diverse environments"
"79","hix:NTHI723_00078","Ribosome"
"80","hix:NTHI723_00079","Ribosome"
"81","hix:NTHI723_00080","Homologous recombination"
"82","hix:NTHI723_00081","Homologous recombination"
"83","hix:NTHI723_00084","Fatty acid biosynthesis"
"84","hix:NTHI723_00084","Metabolic pathways"
"85","hix:NTHI723_00084","Fatty acid metabolism"
"86","hix:NTHI723_00087","Ribosome"
"87","hix:NTHI723_00088","Peptidoglycan biosynthesis"
"88","hix:NTHI723_00088","Metabolic pathways"
"89","hix:NTHI723_00093","Folate biosynthesis"
"90","hix:NTHI723_00093","Metabolic pathways"
"91","hix:NTHI723_00093","Biosynthesis of cofactors"
"92","hix:NTHI723_00094","Amino sugar and nucleotide sugar metabolism"
"93","hix:NTHI723_00094","Metabolic pathways"
"94","hix:NTHI723_00094","Biosynthesis of nucleotide sugars"
"95","hix:NTHI723_00107","Sulfur relay system"
"96","hix:NTHI723_00108","Folate biosynthesis"
"97","hix:NTHI723_00108","Metabolic pathways"
"98","hix:NTHI723_00108","Biosynthesis of cofactors"
"99","hix:NTHI723_00109","Folate biosynthesis"
"100","hix:NTHI723_00109","Metabolic pathways"
"101","hix:NTHI723_00109","Biosynthesis of cofactors"
"102","hix:NTHI723_00111","Biotin metabolism"
"103","hix:NTHI723_00111","Metabolic pathways"
"104","hix:NTHI723_00111","Biosynthesis of cofactors"
"105","hix:NTHI723_00112","One carbon pool by folate"
"106","hix:NTHI723_00112","Metabolic pathways"
"107","hix:NTHI723_00112","Microbial metabolism in diverse environments"
"108","hix:NTHI723_00112","Carbon metabolism"
"109","hix:NTHI723_00113","Ribosome"
"110","hix:NTHI723_00114","Ribosome"
"111","hix:NTHI723_00117","Thiamine metabolism"
"112","hix:NTHI723_00117","Terpenoid backbone biosynthesis"
"113","hix:NTHI723_00117","Metabolic pathways"
"114","hix:NTHI723_00117","Biosynthesis of secondary metabolites"
"115","hix:NTHI723_00118","Terpenoid backbone biosynthesis"
"116","hix:NTHI723_00118","Metabolic pathways"
"117","hix:NTHI723_00118","Biosynthesis of secondary metabolites"
"118","hix:NTHI723_00119","Mismatch repair"
"119","hix:NTHI723_00120","Thiamine metabolism"
"120","hix:NTHI723_00120","Metabolic pathways"
"121","hix:NTHI723_00120","Biosynthesis of cofactors"
"122","hix:NTHI723_00120","Sulfur relay system"
"123","hix:NTHI723_00127","Glycine, serine and threonine metabolism"
"124","hix:NTHI723_00127","Phenylalanine, tyrosine and tryptophan biosynthesis"
"125","hix:NTHI723_00127","Metabolic pathways"
"126","hix:NTHI723_00127","Biosynthesis of secondary metabolites"
"127","hix:NTHI723_00127","Biosynthesis of amino acids"
"128","hix:NTHI723_00128","Glycine, serine and threonine metabolism"
"129","hix:NTHI723_00128","Phenylalanine, tyrosine and tryptophan biosynthesis"
"130","hix:NTHI723_00128","Metabolic pathways"
"131","hix:NTHI723_00128","Biosynthesis of secondary metabolites"
"132","hix:NTHI723_00128","Biosynthesis of amino acids"
"133","hix:NTHI723_00129","Pyrimidine metabolism"
"134","hix:NTHI723_00129","Glycine, serine and threonine metabolism"
"135","hix:NTHI723_00129","Metabolic pathways"
"136","hix:NTHI723_00130","Purine metabolism"
"137","hix:NTHI723_00130","Metabolic pathways"
"138","hix:NTHI723_00130","Biosynthesis of secondary metabolites"
"139","hix:NTHI723_00131","Purine metabolism"
"140","hix:NTHI723_00131","One carbon pool by folate"
"141","hix:NTHI723_00131","Metabolic pathways"
"142","hix:NTHI723_00131","Biosynthesis of secondary metabolites"
"143","hix:NTHI723_00136","Aminoacyl-tRNA biosynthesis"
"144","hix:NTHI723_00173","Pyrimidine metabolism"
"145","hix:NTHI723_00173","Metabolic pathways"
"146","hix:NTHI723_00173","Biosynthesis of cofactors"
"147","hix:NTHI723_00176","Citrate cycle (TCA cycle)"
"148","hix:NTHI723_00176","Pyruvate metabolism"
"149","hix:NTHI723_00176","Metabolic pathways"
"150","hix:NTHI723_00176","Biosynthesis of secondary metabolites"
"151","hix:NTHI723_00176","Microbial metabolism in diverse environments"
"152","hix:NTHI723_00176","Carbon metabolism"
"153","hix:NTHI723_00179","DNA replication"
"154","hix:NTHI723_00179","Mismatch repair"
"155","hix:NTHI723_00179","Homologous recombination"
"156","hix:NTHI723_00184","Aminoacyl-tRNA biosynthesis"
"157","hix:NTHI723_00186","Phenylalanine, tyrosine and tryptophan biosynthesis"
"158","hix:NTHI723_00186","Metabolic pathways"
"159","hix:NTHI723_00186","Biosynthesis of secondary metabolites"
"160","hix:NTHI723_00186","Biosynthesis of amino acids"
"161","hix:NTHI723_00187","Phenylalanine, tyrosine and tryptophan biosynthesis"
"162","hix:NTHI723_00187","Metabolic pathways"
"163","hix:NTHI723_00187","Biosynthesis of secondary metabolites"
"164","hix:NTHI723_00187","Biosynthesis of amino acids"
"165","hix:NTHI723_00189","Phenylalanine, tyrosine and tryptophan biosynthesis"
"166","hix:NTHI723_00189","Metabolic pathways"
"167","hix:NTHI723_00189","Biosynthesis of secondary metabolites"
"168","hix:NTHI723_00189","Biosynthesis of amino acids"
"169","hix:NTHI723_00189","Quorum sensing"
"170","hix:NTHI723_00190","Phenylalanine, tyrosine and tryptophan biosynthesis"
"171","hix:NTHI723_00190","Metabolic pathways"
"172","hix:NTHI723_00190","Biosynthesis of secondary metabolites"
"173","hix:NTHI723_00190","Biosynthesis of amino acids"
"174","hix:NTHI723_00190","Quorum sensing"
"175","hix:NTHI723_00194","ABC transporters"
"176","hix:NTHI723_00194","Two-component system"
"177","hix:NTHI723_00195","ABC transporters"
"178","hix:NTHI723_00196","ABC transporters"
"179","hix:NTHI723_00197","ABC transporters"
"180","hix:NTHI723_00198","Two-component system"
"181","hix:NTHI723_00199","Two-component system"
"182","hix:NTHI723_00200","Mismatch repair"
"183","hix:NTHI723_00206","Cysteine and methionine metabolism"
"184","hix:NTHI723_00206","Metabolic pathways"
"185","hix:NTHI723_00209","Sulfur relay system"
"186","hix:NTHI723_00213","Aminoacyl-tRNA biosynthesis"
"187","hix:NTHI723_00217","Nicotinate and nicotinamide metabolism"
"188","hix:NTHI723_00217","Metabolic pathways"
"189","hix:NTHI723_00218","Nicotinate and nicotinamide metabolism"
"190","hix:NTHI723_00218","Metabolic pathways"
"191","hix:NTHI723_00219","Starch and sucrose metabolism"
"192","hix:NTHI723_00219","Metabolic pathways"
"193","hix:NTHI723_00219","Biosynthesis of secondary metabolites"
"194","hix:NTHI723_00220","Starch and sucrose metabolism"
"195","hix:NTHI723_00220","Metabolic pathways"
"196","hix:NTHI723_00220","Biosynthesis of secondary metabolites"
"197","hix:NTHI723_00221","Starch and sucrose metabolism"
"198","hix:NTHI723_00221","Amino sugar and nucleotide sugar metabolism"
"199","hix:NTHI723_00221","Metabolic pathways"
"200","hix:NTHI723_00221","Biosynthesis of secondary metabolites"
"201","hix:NTHI723_00221","Biosynthesis of nucleotide sugars"
"202","hix:NTHI723_00222","Starch and sucrose metabolism"
