"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","COG_ID","COG_Category","KEGG_Pathway"
"1",NA,NA,NA,"K0FH37","hydrolase activity [GO:0016787]",NA,NA,NA,NA
"2",NA,NA,NA,"V6BIQ9",NA,NA,NA,NA,NA
"3","AQ45623",NA,NA,"B2FNW7","ATP binding [GO:0005524]; kanamycin kinase activity [GO:0008910]; metal ion binding [GO:0046872]; response to antibiotic [GO:0046677]","COG3231",NA,NA,NA
"4","SMLT_RS00005",NA,NA,NA,NA,NA,"COG0593","","NA"
"5","SMLT_RS00010",NA,NA,NA,NA,NA,"COG0592","","NA"
"6","SMLT_RS00015",NA,NA,NA,NA,NA,"COG1195","","NA"
"7","SMLT_RS00025",NA,NA,NA,NA,NA,"COG1266","","NA"
"8","SMLT_RS00040",NA,NA,NA,NA,NA,"COG0810","","NA"
"9","SMLT_RS00045",NA,NA,NA,NA,NA,"COG0811","","NA"
"10","SMLT_RS00060",NA,NA,NA,NA,NA,"COG1502","Phospholipid biosynthesis","NA"
"11","SMLT_RS00080",NA,NA,NA,NA,NA,"COG1396","","NA"
"12","SMLT_RS00120",NA,NA,NA,NA,NA,"COG2801","","NA"
"13","SMLT_RS00120",NA,NA,NA,NA,NA,"COG2963","","NA"
"14","SMLT_RS00135",NA,NA,NA,NA,NA,"COG1195","","NA"
"15","SMLT_RS00140",NA,NA,NA,NA,NA,"COG2814","","NA"
"16","SMLT_RS00210",NA,NA,NA,NA,NA,"COG1448","Isoleucine, leucine, valine biosynthesis","NA"
"17","SMLT_RS00230",NA,NA,NA,NA,NA,"COG1273","","NA"
"18","SMLT_RS00235",NA,NA,NA,NA,NA,"COG1793","","NA"
"19","SMLT_RS00250",NA,NA,NA,NA,NA,"COG0582","","NA"
"20","SMLT_RS00285",NA,NA,NA,NA,NA,"COG5519","","NA"
"21","SMLT_RS00295",NA,NA,NA,NA,NA,"COG5518","","NA"
"22","SMLT_RS00310",NA,NA,NA,NA,NA,"COG0800","Entner-Doudoroff pathway","NA"
"23","SMLT_RS00315",NA,NA,NA,NA,NA,"COG5553","","NA"
"24","SMLT_RS00350",NA,NA,NA,NA,NA,"COG2013","","NA"
"25","SMLT_RS00360",NA,NA,NA,NA,NA,"COG0671","Phospholipid biosynthesis","NA"
"26","SMLT_RS00375",NA,NA,NA,NA,NA,"COG1119","","NA"
"27","SMLT_RS00380",NA,NA,NA,NA,NA,"COG1398","","NA"
"28","SMLT_RS00390",NA,NA,NA,NA,NA,"COG0266","","NA"
"29","SMLT_RS00400",NA,NA,NA,NA,NA,"COG1435","Pyrimidine salvage","NA"
"30","SMLT_RS00435",NA,NA,NA,NA,NA,"COG0284","23S rRNA modification","NA"
"31","SMLT_RS00445",NA,NA,NA,NA,NA,"COG2937","Phospholipid biosynthesis","NA"
"32","SMLT_RS00450",NA,NA,NA,NA,NA,"COG5481","","NA"
"33","SMLT_RS00455",NA,NA,NA,NA,NA,"COG0037","tRNA modification","NA"
"34","SMLT_RS00460",NA,NA,NA,NA,NA,"COG2974","","NA"
"35","SMLT_RS00465",NA,NA,NA,NA,NA,"COG1451","","NA"
"36","SMLT_RS00470",NA,NA,NA,NA,NA,"COG1803","","NA, NA"
"37","SMLT_RS00475",NA,NA,NA,NA,NA,"COG0642","","NA"
"38","SMLT_RS00475",NA,NA,NA,NA,NA,"COG0784","","NA"
"39","SMLT_RS00480",NA,NA,NA,NA,NA,"COG0493","Glutamine biosynthesis","NA"
"40","SMLT_RS00485",NA,NA,NA,NA,NA,"COG0067","Glutamine biosynthesis","NA"
"41","SMLT_RS00485",NA,NA,NA,NA,NA,"COG0069","Glutamine biosynthesis","NA"
"42","SMLT_RS00485",NA,NA,NA,NA,NA,"COG0070","Glutamine biosynthesis","NA"
"43","SMLT_RS00495",NA,NA,NA,NA,NA,"COG3569","","NA"
"44","SMLT_RS00505",NA,NA,NA,NA,NA,"COG1028","Fatty acid biosynthesis","NA"
"45","SMLT_RS00610",NA,NA,NA,NA,NA,"COG3550","","NA"
"46","SMLT_RS00615",NA,NA,NA,NA,NA,"COG1396","","NA"
"47","SMLT_RS00620",NA,NA,NA,NA,NA,"COG1014","Pyruvate oxidation","NA"
"48","SMLT_RS00630",NA,NA,NA,NA,NA,"COG0464","","NA"
"49","SMLT_RS00635",NA,NA,NA,NA,NA,"COG1192","","NA"
"50","SMLT_RS00640",NA,NA,NA,NA,NA,"COG2062","","NA"
"51","SMLT_RS00650",NA,NA,NA,NA,NA,"COG1502","Phospholipid biosynthesis","NA"
"52","SMLT_RS00655",NA,NA,NA,NA,NA,"COG2050","","NA"
"53","SMLT_RS00670",NA,NA,NA,NA,NA,"COG0457","","NA"
"54","SMLT_RS00690",NA,NA,NA,NA,NA,"COG1968","","NA"
"55","SMLT_RS00705",NA,NA,NA,NA,NA,"COG0004","","NA"
"56","SMLT_RS00715",NA,NA,NA,NA,NA,"COG2821","","NA"
"57","SMLT_RS00730",NA,NA,NA,NA,NA,"COG3852","","NA"
"58","SMLT_RS00735",NA,NA,NA,NA,NA,"COG2204","","NA"
"59","SMLT_RS00740",NA,NA,NA,NA,NA,"COG2032","","NA"
"60","SMLT_RS00745",NA,NA,NA,NA,NA,"COG2032","","NA"
"61","SMLT_RS00750",NA,NA,NA,NA,NA,"COG0810","","NA, NA"
"62","SMLT_RS00770",NA,NA,NA,NA,NA,"COG2959","","NA"
"63","SMLT_RS00790",NA,NA,NA,NA,NA,"COG0607","Urea cycle","NA"
"64","SMLT_RS00795",NA,NA,NA,NA,NA,"COG1952","","NA"
"65","SMLT_RS00820",NA,NA,NA,NA,NA,"COG0798","","NA"
"66","SMLT_RS00830",NA,NA,NA,NA,NA,"COG0640","","NA"
"67","SMLT_RS00835",NA,NA,NA,NA,NA,"COG0431","","NA"
"68","SMLT_RS00865",NA,NA,NA,NA,NA,"COG2207","","NA"
"69","SMLT_RS00875",NA,NA,NA,NA,NA,"COG2837","","NA"
"70","SMLT_RS00915",NA,NA,NA,NA,NA,"COG2197","","NA"
"71","SMLT_RS00920",NA,NA,NA,NA,NA,"COG0642","","NA"
"72","SMLT_RS00920",NA,NA,NA,NA,NA,"COG0784","","NA"
"73","SMLT_RS00925",NA,NA,NA,NA,NA,"COG3474","","NA"
"74","SMLT_RS00930",NA,NA,NA,NA,NA,"COG0644","","NA"
"75","SMLT_RS00935",NA,NA,NA,NA,NA,"COG1960","Fatty acid biosynthesis","NA"
"76","SMLT_RS00940",NA,NA,NA,NA,NA,"COG0219","Pyridoxal phosphate biosynthesis","NA"
"77","SMLT_RS00950",NA,NA,NA,NA,NA,"COG0612","","NA, NA"
"78","SMLT_RS00965",NA,NA,NA,NA,NA,"COG0596","Menaquinone biosynthesis","NA"
"79","SMLT_RS00975",NA,NA,NA,NA,NA,"COG0318","Menaquinone biosynthesis","NA"
"80","SMLT_RS00980",NA,NA,NA,NA,NA,"COG0451","","NA"
"81","SMLT_RS00990",NA,NA,NA,NA,NA,"COG1181","Mureine biosynthesis","NA"
"82","SMLT_RS01000",NA,NA,NA,NA,NA,"COG0661","Ubiquinone biosynthesis","NA"
"83","SMLT_RS01010",NA,NA,NA,NA,NA,"COG1044","Lipid A biosynthesis","NA"
"84","SMLT_RS01020",NA,NA,NA,NA,NA,"COG2120","","NA"
"85","SMLT_RS01030",NA,NA,NA,NA,NA,"COG0564","23S rRNA modification","NA"
"86","SMLT_RS01040",NA,NA,NA,NA,NA,"COG1186","Translation factors","NA"
"87","SMLT_RS01065",NA,NA,NA,NA,NA,"COG0681","","NA"
"88","SMLT_RS01070",NA,NA,NA,NA,NA,"COG2814","","NA"
"89","SMLT_RS01075",NA,NA,NA,NA,NA,"COG0583","","NA"
"90","SMLT_RS01080",NA,NA,NA,NA,NA,"COG0583","","NA"
"91","SMLT_RS01085",NA,NA,NA,NA,NA,"COG2225","TCA cycle, glyoxylate bypass","NA"
"92","SMLT_RS01090",NA,NA,NA,NA,NA,"COG2224","TCA cycle, glyoxylate bypass","NA"
"93","SMLT_RS01095",NA,NA,NA,NA,NA,"COG0664","","NA"
"94","SMLT_RS01095",NA,NA,NA,NA,NA,"COG2199","","NA"
"95","SMLT_RS01100",NA,NA,NA,NA,NA,"COG0457","","NA"
"96","SMLT_RS01100",NA,NA,NA,NA,NA,"COG2114","","NA"
"97","SMLT_RS01110",NA,NA,NA,NA,NA,"COG0778","Pyrimidine degradation","NA"
"98","SMLT_RS01125",NA,NA,NA,NA,NA,"COG1960","Fatty acid biosynthesis","NA"
