"","Gene","Pathway"
"1","sga:GALLO_0001","Two-component system"
"2","sga:GALLO_0002","DNA replication"
"3","sga:GALLO_0002","Mismatch repair"
"4","sga:GALLO_0002","Homologous recombination"
"5","sga:GALLO_0007","Nucleotide excision repair"
"6","sga:GALLO_0012","beta-Lactam resistance"
"7","sga:GALLO_0012","Two-component system"
"8","sga:GALLO_0014","Purine metabolism"
"9","sga:GALLO_0014","Metabolic pathways"
"10","sga:GALLO_0014","Biosynthesis of secondary metabolites"
"11","sga:GALLO_r0001","Ribosome"
"12","sga:GALLO_t0001","Aminoacyl-tRNA biosynthesis"
"13","sga:GALLO_r0002","Ribosome"
"14","sga:GALLO_r0003","Ribosome"
"15","sga:GALLO_t0002","Aminoacyl-tRNA biosynthesis"
"16","sga:GALLO_t0003","Aminoacyl-tRNA biosynthesis"
"17","sga:GALLO_t0004","Aminoacyl-tRNA biosynthesis"
"18","sga:GALLO_t0005","Aminoacyl-tRNA biosynthesis"
"19","sga:GALLO_t0006","Aminoacyl-tRNA biosynthesis"
"20","sga:GALLO_t0007","Aminoacyl-tRNA biosynthesis"
"21","sga:GALLO_t0008","Aminoacyl-tRNA biosynthesis"
"22","sga:GALLO_t0009","Aminoacyl-tRNA biosynthesis"
"23","sga:GALLO_t0010","Aminoacyl-tRNA biosynthesis"
"24","sga:GALLO_t0011","Aminoacyl-tRNA biosynthesis"
"25","sga:GALLO_t0012","Aminoacyl-tRNA biosynthesis"
"26","sga:GALLO_t0013","Aminoacyl-tRNA biosynthesis"
"27","sga:GALLO_t0014","Aminoacyl-tRNA biosynthesis"
"28","sga:GALLO_t0015","Aminoacyl-tRNA biosynthesis"
"29","sga:GALLO_t0016","Aminoacyl-tRNA biosynthesis"
"30","sga:GALLO_t0017","Aminoacyl-tRNA biosynthesis"
"31","sga:GALLO_t0018","Aminoacyl-tRNA biosynthesis"
"32","sga:GALLO_0020","Pentose phosphate pathway"
"33","sga:GALLO_0020","Purine metabolism"
"34","sga:GALLO_0020","Metabolic pathways"
"35","sga:GALLO_0020","Biosynthesis of secondary metabolites"
"36","sga:GALLO_0020","Microbial metabolism in diverse environments"
"37","sga:GALLO_0020","Carbon metabolism"
"38","sga:GALLO_0020","Biosynthesis of amino acids"
"39","sga:GALLO_0021","Lysine biosynthesis"
"40","sga:GALLO_0021","Metabolic pathways"
"41","sga:GALLO_0021","Biosynthesis of secondary metabolites"
"42","sga:GALLO_0021","Biosynthesis of amino acids"
"43","sga:GALLO_0022","Homologous recombination"
"44","sga:GALLO_0023","Glycerolipid metabolism"
"45","sga:GALLO_0023","Metabolic pathways"
"46","sga:GALLO_0023","Biosynthesis of secondary metabolites"
"47","sga:GALLO_0024","Metabolic pathways"
"48","sga:GALLO_0024","Biosynthesis of secondary metabolites"
"49","sga:GALLO_0025","Purine metabolism"
"50","sga:GALLO_0025","Metabolic pathways"
"51","sga:GALLO_0025","Biosynthesis of secondary metabolites"
"52","sga:GALLO_0026","Purine metabolism"
"53","sga:GALLO_0026","Metabolic pathways"
"54","sga:GALLO_0026","Biosynthesis of secondary metabolites"
"55","sga:GALLO_0027","Purine metabolism"
"56","sga:GALLO_0027","Alanine, aspartate and glutamate metabolism"
"57","sga:GALLO_0027","Metabolic pathways"
"58","sga:GALLO_0027","Biosynthesis of secondary metabolites"
"59","sga:GALLO_0028","Purine metabolism"
"60","sga:GALLO_0028","Metabolic pathways"
"61","sga:GALLO_0028","Biosynthesis of secondary metabolites"
"62","sga:GALLO_0029","Purine metabolism"
"63","sga:GALLO_0029","One carbon pool by folate"
"64","sga:GALLO_0029","Metabolic pathways"
"65","sga:GALLO_0029","Biosynthesis of secondary metabolites"
"66","sga:GALLO_0031","Purine metabolism"
"67","sga:GALLO_0031","One carbon pool by folate"
"68","sga:GALLO_0031","Metabolic pathways"
"69","sga:GALLO_0031","Biosynthesis of secondary metabolites"
"70","sga:GALLO_0032","Purine metabolism"
"71","sga:GALLO_0032","Metabolic pathways"
"72","sga:GALLO_0032","Biosynthesis of secondary metabolites"
"73","sga:GALLO_0034","Purine metabolism"
"74","sga:GALLO_0034","Metabolic pathways"
"75","sga:GALLO_0034","Biosynthesis of secondary metabolites"
"76","sga:GALLO_0035","Purine metabolism"
"77","sga:GALLO_0035","Metabolic pathways"
"78","sga:GALLO_0035","Biosynthesis of secondary metabolites"
"79","sga:GALLO_0037","Purine metabolism"
"80","sga:GALLO_0037","Alanine, aspartate and glutamate metabolism"
"81","sga:GALLO_0037","Metabolic pathways"
"82","sga:GALLO_0037","Biosynthesis of secondary metabolites"
"83","sga:GALLO_0037","Biosynthesis of cofactors"
"84","sga:GALLO_0038","Quorum sensing"
"85","sga:GALLO_0039","Two-component system"
"86","sga:GALLO_0042","Glycine, serine and threonine metabolism"
"87","sga:GALLO_0042","Vitamin B6 metabolism"
"88","sga:GALLO_0042","Metabolic pathways"
"89","sga:GALLO_0042","Biosynthesis of secondary metabolites"
"90","sga:GALLO_0042","Microbial metabolism in diverse environments"
"91","sga:GALLO_0042","Biosynthesis of amino acids"
"92","sga:GALLO_0044","Two-component system"
"93","sga:GALLO_0045","Two-component system"
"94","sga:GALLO_0046","Two-component system"
"95","sga:GALLO_0049","Ribosome"
"96","sga:GALLO_0050","Ribosome"
"97","sga:GALLO_0051","Ribosome"
"98","sga:GALLO_0052","Ribosome"
"99","sga:GALLO_0053","Ribosome"
"100","sga:GALLO_0054","Ribosome"
"101","sga:GALLO_0055","Ribosome"
"102","sga:GALLO_0056","Ribosome"
"103","sga:GALLO_0057","Ribosome"
"104","sga:GALLO_0058","Ribosome"
"105","sga:GALLO_0059","Ribosome"
"106","sga:GALLO_0060","Ribosome"
"107","sga:GALLO_0061","Ribosome"
"108","sga:GALLO_0062","Ribosome"
"109","sga:GALLO_0063","Ribosome"
"110","sga:GALLO_0064","Ribosome"
"111","sga:GALLO_0065","Ribosome"
