"","Gene","Pathway"
"1","fpra:CG447_00130","Cysteine and methionine metabolism"
"2","fpra:CG447_00130","Metabolic pathways"
"3","fpra:CG447_00235","Bacterial secretion system"
"4","fpra:CG447_00260","Galactose metabolism"
"5","fpra:CG447_00260","Amino sugar and nucleotide sugar metabolism"
"6","fpra:CG447_00260","Metabolic pathways"
"7","fpra:CG447_00260","Biosynthesis of nucleotide sugars"
"8","fpra:CG447_00300","ABC transporters"
"9","fpra:CG447_00305","ABC transporters"
"10","fpra:CG447_00310","ABC transporters"
"11","fpra:CG447_00340","Bacterial secretion system"
"12","fpra:CG447_00450","ABC transporters"
"13","fpra:CG447_00455","ABC transporters"
"14","fpra:CG447_00460","ABC transporters"
"15","fpra:CG447_00560","Starch and sucrose metabolism"
"16","fpra:CG447_00560","Metabolic pathways"
"17","fpra:CG447_00560","Biosynthesis of secondary metabolites"
"18","fpra:CG447_00585","Ribosome"
"19","fpra:CG447_00590","DNA replication"
"20","fpra:CG447_00590","Mismatch repair"
"21","fpra:CG447_00590","Homologous recombination"
"22","fpra:CG447_00595","Ribosome"
"23","fpra:CG447_00620","Arginine biosynthesis"
"24","fpra:CG447_00620","Alanine, aspartate and glutamate metabolism"
"25","fpra:CG447_00620","Glyoxylate and dicarboxylate metabolism"
"26","fpra:CG447_00620","Nitrogen metabolism"
"27","fpra:CG447_00620","Metabolic pathways"
"28","fpra:CG447_00620","Microbial metabolism in diverse environments"
"29","fpra:CG447_00620","Biosynthesis of amino acids"
"30","fpra:CG447_00620","Two-component system"
"31","fpra:CG447_00625","Arginine biosynthesis"
"32","fpra:CG447_00625","Alanine, aspartate and glutamate metabolism"
"33","fpra:CG447_00625","Glyoxylate and dicarboxylate metabolism"
"34","fpra:CG447_00625","Nitrogen metabolism"
"35","fpra:CG447_00625","Metabolic pathways"
"36","fpra:CG447_00625","Microbial metabolism in diverse environments"
"37","fpra:CG447_00625","Biosynthesis of amino acids"
"38","fpra:CG447_00625","Two-component system"
"39","fpra:CG447_00635","Purine metabolism"
"40","fpra:CG447_00635","Metabolic pathways"
"41","fpra:CG447_00665","Glycolysis / Gluconeogenesis"
"42","fpra:CG447_00665","Pentose phosphate pathway"
"43","fpra:CG447_00665","Fructose and mannose metabolism"
"44","fpra:CG447_00665","Galactose metabolism"
"45","fpra:CG447_00665","Methane metabolism"
"46","fpra:CG447_00665","Metabolic pathways"
"47","fpra:CG447_00665","Biosynthesis of secondary metabolites"
"48","fpra:CG447_00665","Microbial metabolism in diverse environments"
"49","fpra:CG447_00665","Carbon metabolism"
"50","fpra:CG447_00665","Biosynthesis of amino acids"
"51","fpra:CG447_00670","Glycolysis / Gluconeogenesis"
"52","fpra:CG447_00670","Pentose phosphate pathway"
"53","fpra:CG447_00670","Fructose and mannose metabolism"
"54","fpra:CG447_00670","Galactose metabolism"
"55","fpra:CG447_00670","Methane metabolism"
"56","fpra:CG447_00670","Metabolic pathways"
"57","fpra:CG447_00670","Biosynthesis of secondary metabolites"
"58","fpra:CG447_00670","Microbial metabolism in diverse environments"
"59","fpra:CG447_00670","Carbon metabolism"
"60","fpra:CG447_00670","Biosynthesis of amino acids"
"61","fpra:CG447_00735","Pyrimidine metabolism"
"62","fpra:CG447_00735","Alanine, aspartate and glutamate metabolism"
"63","fpra:CG447_00735","Metabolic pathways"
"64","fpra:CG447_00735","Biosynthesis of cofactors"
"65","fpra:CG447_00740","Pyrimidine metabolism"
"66","fpra:CG447_00740","Alanine, aspartate and glutamate metabolism"
"67","fpra:CG447_00740","Metabolic pathways"
"68","fpra:CG447_00740","Biosynthesis of cofactors"
"69","fpra:CG447_00760","Galactose metabolism"
"70","fpra:CG447_00760","Starch and sucrose metabolism"
"71","fpra:CG447_00760","Metabolic pathways"
"72","fpra:CG447_00760","Biosynthesis of secondary metabolites"
"73","fpra:CG447_00770","Aminoacyl-tRNA biosynthesis"
"74","fpra:CG447_00790","Amino sugar and nucleotide sugar metabolism"
"75","fpra:CG447_00790","Metabolic pathways"
"76","fpra:CG447_00800","Amino sugar and nucleotide sugar metabolism"
"77","fpra:CG447_00800","Metabolic pathways"
"78","fpra:CG447_00840","Streptomycin biosynthesis"
"79","fpra:CG447_00840","Polyketide sugar unit biosynthesis"
"80","fpra:CG447_00840","O-Antigen nucleotide sugar biosynthesis"
"81","fpra:CG447_00840","Metabolic pathways"
"82","fpra:CG447_00840","Biosynthesis of secondary metabolites"
"83","fpra:CG447_00840","Biosynthesis of nucleotide sugars"
"84","fpra:CG447_00870","ABC transporters"
"85","fpra:CG447_00875","ABC transporters"
"86","fpra:CG447_00900","Base excision repair"
"87","fpra:CG447_00925","Mismatch repair"
"88","fpra:CG447_00930","Mismatch repair"
"89","fpra:CG447_00935","Metabolic pathways"
"90","fpra:CG447_00935","Biosynthesis of secondary metabolites"
"91","fpra:CG447_00960","Aminoacyl-tRNA biosynthesis"
"92","fpra:CG447_00965","Protein export"
"93","fpra:CG447_00985","Oxidative phosphorylation"
"94","fpra:CG447_00985","RNA degradation"
"95","fpra:CG447_01010","Ribosome"
"96","fpra:CG447_01015","Protein export"
"97","fpra:CG447_01025","DNA replication"
"98","fpra:CG447_01035","Glycine, serine and threonine metabolism"
"99","fpra:CG447_01035","Vitamin B6 metabolism"
"100","fpra:CG447_01035","Metabolic pathways"
"101","fpra:CG447_01035","Biosynthesis of secondary metabolites"
"102","fpra:CG447_01035","Microbial metabolism in diverse environments"
"103","fpra:CG447_01035","Biosynthesis of amino acids"
