"","Gene","Pathway"
"1","bxy:BXY_00110  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit E","Oxidative phosphorylation"
"2","bxy:BXY_00110  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit E","Metabolic pathways"
"3","bxy:BXY_00130  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit A","Oxidative phosphorylation"
"4","bxy:BXY_00130  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit A","Metabolic pathways"
"5","bxy:BXY_00140  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit B","Oxidative phosphorylation"
"6","bxy:BXY_00140  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit B","Metabolic pathways"
"7","bxy:BXY_00160  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit I","Oxidative phosphorylation"
"8","bxy:BXY_00160  (GenBank) Archaeal/vacuolar-type H+-ATPase subunit I","Metabolic pathways"
"9","bxy:BXY_00170  (GenBank) ATP synthase subunit C.","Oxidative phosphorylation"
"10","bxy:BXY_00170  (GenBank) ATP synthase subunit C.","Metabolic pathways"
"11","bxy:BXY_00190  (GenBank) alpha-glucan phosphorylases","Starch and sucrose metabolism"
"12","bxy:BXY_00190  (GenBank) alpha-glucan phosphorylases","Metabolic pathways"
"13","bxy:BXY_00190  (GenBank) alpha-glucan phosphorylases","Biosynthesis of secondary metabolites"
"14","bxy:BXY_00210  (GenBank) spermidine/putrescine ABC transporter ATP-binding subunit","ABC transporters"
"15","bxy:BXY_00230  (GenBank) ABC-type spermidine/putrescine transport system, permease component II","ABC transporters"
"16","bxy:BXY_00240  (GenBank) Spermidine/putrescine-binding periplasmic protein","ABC transporters"
"17","bxy:BXY_00330  (GenBank) Sugar (pentulose and hexulose) kinases","Pentose and glucuronate interconversions"
"18","bxy:BXY_00330  (GenBank) Sugar (pentulose and hexulose) kinases","Fructose and mannose metabolism"
"19","bxy:BXY_00330  (GenBank) Sugar (pentulose and hexulose) kinases","Metabolic pathways"
"20","bxy:BXY_00330  (GenBank) Sugar (pentulose and hexulose) kinases","Microbial metabolism in diverse environments"
"21","bxy:BXY_00350  (GenBank) L-fucose isomerase","Pentose and glucuronate interconversions"
"22","bxy:BXY_00350  (GenBank) L-fucose isomerase","Fructose and mannose metabolism"
"23","bxy:BXY_00350  (GenBank) L-fucose isomerase","Metabolic pathways"
"24","bxy:BXY_00350  (GenBank) L-fucose isomerase","Microbial metabolism in diverse environments"
"25","bxy:BXY_00380  (GenBank) SSU ribosomal protein S16P","Ribosome"
"26","bxy:BXY_00560  (GenBank) Sugar kinases, ribokinase family","Pentose phosphate pathway"
"27","bxy:BXY_00560  (GenBank) Sugar kinases, ribokinase family","Metabolic pathways"
"28","bxy:BXY_00560  (GenBank) Sugar kinases, ribokinase family","Microbial metabolism in diverse environments"
"29","bxy:BXY_00560  (GenBank) Sugar kinases, ribokinase family","Carbon metabolism"
"30","bxy:BXY_00570  (GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Pentose phosphate pathway"
"31","bxy:BXY_00570  (GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Glyoxylate and dicarboxylate metabolism"
"32","bxy:BXY_00570  (GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Metabolic pathways"
"33","bxy:BXY_00570  (GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Microbial metabolism in diverse environments"
"34","bxy:BXY_00570  (GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Carbon metabolism"
"35","bxy:BXY_00700  (GenBank) N-acetyl-beta-hexosaminidase","Other glycan degradation"
"36","bxy:BXY_00700  (GenBank) N-acetyl-beta-hexosaminidase","Amino sugar and nucleotide sugar metabolism"
"37","bxy:BXY_00700  (GenBank) N-acetyl-beta-hexosaminidase","Sphingolipid metabolism"
"38","bxy:BXY_00700  (GenBank) N-acetyl-beta-hexosaminidase","Metabolic pathways"
"39","bxy:BXY_00800  (GenBank) AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)","Purine metabolism"
"40","bxy:BXY_00800  (GenBank) AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)","One carbon pool by folate"
"41","bxy:BXY_00800  (GenBank) AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)","Metabolic pathways"
"42","bxy:BXY_00800  (GenBank) AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)","Biosynthesis of secondary metabolites"
"43","bxy:BXY_00880  (GenBank) asparaginase","Alanine, aspartate and glutamate metabolism"
"44","bxy:BXY_00880  (GenBank) asparaginase","Cyanoamino acid metabolism"
"45","bxy:BXY_00880  (GenBank) asparaginase","Metabolic pathways"
"46","bxy:BXY_00880  (GenBank) asparaginase","Biosynthesis of secondary metabolites"
"47","bxy:BXY_00890  (GenBank) tryptophan synthase, alpha chain","Glycine, serine and threonine metabolism"
"48","bxy:BXY_00890  (GenBank) tryptophan synthase, alpha chain","Phenylalanine, tyrosine and tryptophan biosynthesis"
"49","bxy:BXY_00890  (GenBank) tryptophan synthase, alpha chain","Metabolic pathways"
"50","bxy:BXY_00890  (GenBank) tryptophan synthase, alpha chain","Biosynthesis of secondary metabolites"
"51","bxy:BXY_00890  (GenBank) tryptophan synthase, alpha chain","Biosynthesis of amino acids"
"52","bxy:BXY_00900  (GenBank) phosphoribosylanthranilate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis"
"53","bxy:BXY_00900  (GenBank) phosphoribosylanthranilate isomerase","Metabolic pathways"
"54","bxy:BXY_00900  (GenBank) phosphoribosylanthranilate isomerase","Biosynthesis of secondary metabolites"
"55","bxy:BXY_00900  (GenBank) phosphoribosylanthranilate isomerase","Biosynthesis of amino acids"
"56","bxy:BXY_00910  (GenBank) indole-3-glycerol phosphate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis"
"57","bxy:BXY_00910  (GenBank) indole-3-glycerol phosphate synthase","Metabolic pathways"
"58","bxy:BXY_00910  (GenBank) indole-3-glycerol phosphate synthase","Biosynthesis of secondary metabolites"
"59","bxy:BXY_00910  (GenBank) indole-3-glycerol phosphate synthase","Biosynthesis of amino acids"
"60","bxy:BXY_00920  (GenBank) anthranilate phosphoribosyltransferase","Phenylalanine, tyrosine and tryptophan biosynthesis"
"61","bxy:BXY_00920  (GenBank) anthranilate phosphoribosyltransferase","Metabolic pathways"
"62","bxy:BXY_00920  (GenBank) anthranilate phosphoribosyltransferase","Biosynthesis of secondary metabolites"
"63","bxy:BXY_00920  (GenBank) anthranilate phosphoribosyltransferase","Biosynthesis of amino acids"
"64","bxy:BXY_00930  (GenBank) anthranilate synthase, component II","Phenylalanine, tyrosine and tryptophan biosynthesis"
"65","bxy:BXY_00930  (GenBank) anthranilate synthase, component II","Metabolic pathways"
"66","bxy:BXY_00930  (GenBank) anthranilate synthase, component II","Biosynthesis of secondary metabolites"
"67","bxy:BXY_00930  (GenBank) anthranilate synthase, component II","Biosynthesis of amino acids"
"68","bxy:BXY_00930  (GenBank) anthranilate synthase, component II","Quorum sensing"
"69","bxy:BXY_00940  (GenBank) anthranilate synthase, component I","Phenylalanine, tyrosine and tryptophan biosynthesis"
"70","bxy:BXY_00940  (GenBank) anthranilate synthase, component I","Metabolic pathways"
"71","bxy:BXY_00940  (GenBank) anthranilate synthase, component I","Biosynthesis of secondary metabolites"
"72","bxy:BXY_00940  (GenBank) anthranilate synthase, component I","Biosynthesis of amino acids"
"73","bxy:BXY_00940  (GenBank) anthranilate synthase, component I","Quorum sensing"
"74","bxy:BXY_00950  (GenBank) tryptophan synthase, beta chain","Glycine, serine and threonine metabolism"
"75","bxy:BXY_00950  (GenBank) tryptophan synthase, beta chain","Phenylalanine, tyrosine and tryptophan biosynthesis"
"76","bxy:BXY_00950  (GenBank) tryptophan synthase, beta chain","Metabolic pathways"
"77","bxy:BXY_00950  (GenBank) tryptophan synthase, beta chain","Biosynthesis of secondary metabolites"
"78","bxy:BXY_00950  (GenBank) tryptophan synthase, beta chain","Biosynthesis of amino acids"
"79","bxy:BXY_00970  (GenBank) Uncharacterized oxidoreductases, Fe-dependent alcohol dehydrogenase family","Propanoate metabolism"
"80","bxy:BXY_00970  (GenBank) Uncharacterized oxidoreductases, Fe-dependent alcohol dehydrogenase family","Metabolic pathways"
"81","bxy:BXY_01090  (GenBank) nitrogen regulatory protein P-II","Two-component system"
"82","bxy:BXY_01110  (GenBank) LL-diaminopimelate aminotransferase apoenzyme","Lysine biosynthesis"
"83","bxy:BXY_01110  (GenBank) LL-diaminopimelate aminotransferase apoenzyme","Metabolic pathways"
"84","bxy:BXY_01110  (GenBank) LL-diaminopimelate aminotransferase apoenzyme","Biosynthesis of secondary metabolites"
"85","bxy:BXY_01110  (GenBank) LL-diaminopimelate aminotransferase apoenzyme","Biosynthesis of amino acids"
"86","bxy:BXY_01120  (GenBank) diaminopimelate epimerase","Lysine biosynthesis"
"87","bxy:BXY_01120  (GenBank) diaminopimelate epimerase","D-Amino acid metabolism"
"88","bxy:BXY_01120  (GenBank) diaminopimelate epimerase","Metabolic pathways"
"89","bxy:BXY_01120  (GenBank) diaminopimelate epimerase","Biosynthesis of secondary metabolites"
"90","bxy:BXY_01120  (GenBank) diaminopimelate epimerase","Microbial metabolism in diverse environments"
"91","bxy:BXY_01120  (GenBank) diaminopimelate epimerase","Biosynthesis of amino acids"
"92","bxy:BXY_01140  (GenBank) Glycerophosphoryl diester phosphodiesterase","Glycerophospholipid metabolism"
"93","bxy:BXY_01150  (GenBank) asparagine synthase (glutamine-hydrolyzing)","Alanine, aspartate and glutamate metabolism"
"94","bxy:BXY_01150  (GenBank) asparagine synthase (glutamine-hydrolyzing)","Metabolic pathways"
"95","bxy:BXY_01150  (GenBank) asparagine synthase (glutamine-hydrolyzing)","Biosynthesis of secondary metabolites"
"96","bxy:BXY_01150  (GenBank) asparagine synthase (glutamine-hydrolyzing)","Biosynthesis of amino acids"
"97","bxy:BXY_01160  (GenBank) glutamate synthase (NADH) small subunit","Alanine, aspartate and glutamate metabolism"
"98","bxy:BXY_01160  (GenBank) glutamate synthase (NADH) small subunit","Nitrogen metabolism"
"99","bxy:BXY_01160  (GenBank) glutamate synthase (NADH) small subunit","Metabolic pathways"
"100","bxy:BXY_01160  (GenBank) glutamate synthase (NADH) small subunit","Biosynthesis of secondary metabolites"
"101","bxy:BXY_01160  (GenBank) glutamate synthase (NADH) small subunit","Microbial metabolism in diverse environments"
"102","bxy:BXY_01160  (GenBank) glutamate synthase (NADH) small subunit","Biosynthesis of amino acids"
"103","bxy:BXY_01170  (GenBank) glutamate synthase (NADH) large subunit","Alanine, aspartate and glutamate metabolism"
"104","bxy:BXY_01170  (GenBank) glutamate synthase (NADH) large subunit","Nitrogen metabolism"
"105","bxy:BXY_01170  (GenBank) glutamate synthase (NADH) large subunit","Metabolic pathways"
"106","bxy:BXY_01170  (GenBank) glutamate synthase (NADH) large subunit","Biosynthesis of secondary metabolites"
"107","bxy:BXY_01170  (GenBank) glutamate synthase (NADH) large subunit","Microbial metabolism in diverse environments"
"108","bxy:BXY_01170  (GenBank) glutamate synthase (NADH) large subunit","Biosynthesis of amino acids"
"109","bxy:BXY_01180  (GenBank) glutamine--fructose-6-phosphate transaminase","Alanine, aspartate and glutamate metabolism"
"110","bxy:BXY_01180  (GenBank) glutamine--fructose-6-phosphate transaminase","Amino sugar and nucleotide sugar metabolism"
"111","bxy:BXY_01180  (GenBank) glutamine--fructose-6-phosphate transaminase","Metabolic pathways"
"112","bxy:BXY_01180  (GenBank) glutamine--fructose-6-phosphate transaminase","Biosynthesis of nucleotide sugars"
"113","bxy:BXY_01190  (GenBank) Glutamine phosphoribosylpyrophosphate amidotransferase","Purine metabolism"
"114","bxy:BXY_01190  (GenBank) Glutamine phosphoribosylpyrophosphate amidotransferase","Alanine, aspartate and glutamate metabolism"
"115","bxy:BXY_01190  (GenBank) Glutamine phosphoribosylpyrophosphate amidotransferase","Metabolic pathways"
"116","bxy:BXY_01190  (GenBank) Glutamine phosphoribosylpyrophosphate amidotransferase","Biosynthesis of secondary metabolites"
"117","bxy:BXY_01200  (GenBank) carbamoyl-phosphate synthase small subunit","Pyrimidine metabolism"
"118","bxy:BXY_01200  (GenBank) carbamoyl-phosphate synthase small subunit","Alanine, aspartate and glutamate metabolism"
"119","bxy:BXY_01200  (GenBank) carbamoyl-phosphate synthase small subunit","Metabolic pathways"
"120","bxy:BXY_01200  (GenBank) carbamoyl-phosphate synthase small subunit","Biosynthesis of cofactors"
"121","bxy:BXY_01210  (GenBank) carbamoyl-phosphate synthase large subunit","Pyrimidine metabolism"
"122","bxy:BXY_01210  (GenBank) carbamoyl-phosphate synthase large subunit","Alanine, aspartate and glutamate metabolism"
"123","bxy:BXY_01210  (GenBank) carbamoyl-phosphate synthase large subunit","Metabolic pathways"
"124","bxy:BXY_01210  (GenBank) carbamoyl-phosphate synthase large subunit","Biosynthesis of cofactors"
"125","bxy:BXY_01220  (GenBank) mannose-1-phosphate guanylyltransferase (GDP)","Fructose and mannose metabolism"
"126","bxy:BXY_01220  (GenBank) mannose-1-phosphate guanylyltransferase (GDP)","Amino sugar and nucleotide sugar metabolism"
"127","bxy:BXY_01220  (GenBank) mannose-1-phosphate guanylyltransferase (GDP)","O-Antigen nucleotide sugar biosynthesis"
"128","bxy:BXY_01220  (GenBank) mannose-1-phosphate guanylyltransferase (GDP)","Metabolic pathways"
"129","bxy:BXY_01220  (GenBank) mannose-1-phosphate guanylyltransferase (GDP)","Biosynthesis of secondary metabolites"
"130","bxy:BXY_01220  (GenBank) mannose-1-phosphate guanylyltransferase (GDP)","Biosynthesis of nucleotide sugars"
"131","bxy:BXY_01330  (GenBank) Excinuclease ABC subunit B","Nucleotide excision repair"
"132","bxy:BXY_01340  (GenBank) phenylacetate-CoA ligase","Phenylalanine metabolism"
"133","bxy:BXY_01340  (GenBank) phenylacetate-CoA ligase","Metabolic pathways"
"134","bxy:BXY_01340  (GenBank) phenylacetate-CoA ligase","Microbial metabolism in diverse environments"
"135","bxy:BXY_01410  (GenBank) Excinuclease ABC subunit A","Nucleotide excision repair"
"136","bxy:BXY_01530  (GenBank) protein translocase subunit yidC","Quorum sensing"
"137","bxy:BXY_01530  (GenBank) protein translocase subunit yidC","Protein export"
"138","bxy:BXY_01530  (GenBank) protein translocase subunit yidC","Bacterial secretion system"
"139","bxy:BXY_01590  (GenBank) 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"140","bxy:BXY_01590  (GenBank) 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","Metabolic pathways"
"141","bxy:BXY_01590  (GenBank) 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","Biosynthesis of secondary metabolites"
"142","bxy:BXY_01590  (GenBank) 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","Biosynthesis of cofactors"
"143","bxy:BXY_01940  (GenBank) UDP-galactose 4-epimerase","Galactose metabolism"
"144","bxy:BXY_01940  (GenBank) UDP-galactose 4-epimerase","Amino sugar and nucleotide sugar metabolism"
"145","bxy:BXY_01940  (GenBank) UDP-galactose 4-epimerase","O-Antigen nucleotide sugar biosynthesis"
