"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"P58474","cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; peptidase activity [GO:0008233]; transcription cis-regulatory region binding [GO:0000976]",NA,NA
"2",NA,NA,NA,"P43918","cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]",NA,NA
"3",NA,NA,NA,"P45297","cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]",NA,NA
"4",NA,NA,NA,"P44524","cytoplasm [GO:0005737]; 23S rRNA (guanine(2445)-N(2))-methyltransferase activity [GO:0052915]; RNA binding [GO:0003723]; rRNA (guanine-N2-)-methyltransferase activity [GO:0008990]; rRNA (guanine-N7-)-methyltransferase activity [GO:0070043]",NA,NA
"5",NA,NA,NA,"P46448","formate dehydrogenase complex [GO:0009326]; periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; formate dehydrogenase (cytochrome-c-553) activity [GO:0047111]; formate dehydrogenase (NAD+) activity [GO:0008863]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; anaerobic respiration [GO:0009061]",NA,NA
"6",NA,NA,NA,"P44578","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]",NA,NA
"7",NA,NA,NA,"P46458","periplasmic space [GO:0042597]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; cytochrome c-heme linkage via heme-L-cysteine [GO:0018378]",NA,NA
"8",NA,NA,NA,"P46492","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transport [GO:0006865]; D-methionine transport [GO:0048473]; transmembrane transport [GO:0055085]",NA,NA
"9",NA,NA,NA,"P43969","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]",NA,NA
"10",NA,NA,NA,"P43824","cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; isoleucyl-tRNA aminoacylation [GO:0006428]",NA,NA
"11",NA,NA,NA,"P57047","integral component of plasma membrane [GO:0005887]; TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]",NA,NA
"12",NA,NA,NA,"Q57195","cytosol [GO:0005829]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methionine synthase activity [GO:0008705]",NA,NA
"13",NA,NA,NA,"P46495","DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]",NA,NA
"14",NA,NA,NA,"P57046","integral component of plasma membrane [GO:0005887]; TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]",NA,NA
"15",NA,NA,NA,"P44596","cell outer membrane [GO:0009279]; cell surface [GO:0009986]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]; serine-type endopeptidase activity [GO:0004252]; cell adhesion [GO:0007155]",NA,NA
"16",NA,NA,NA,"V6B7B5",NA,NA,NA
"17",NA,NA,NA,"O52391","ATP binding [GO:0005524]",NA,NA
"18",NA,NA,NA,"Q9L746","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]",NA,NA
