"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","ISDB_STAAB","Q2YX96","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YX96","AJ938182","CAI80681.1","isdB","isdB frpB sasJ sirH SAB0993c","extracellular region [GO:0005576]; heme transmembrane transporter activity [GO:0015232]; metal ion binding [GO:0046872]","GO:0005576; GO:0015232; GO:0046872","sab:SAB0993c",NA,NA
"2","LACG_STAAB","Q2YYJ9","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YYJ9","AJ938182","CAI81759.1","lacG","lacG SAB2070c","6-phospho-beta-galactosidase activity [GO:0033920]; lactose catabolic process via tagatose-6-phosphate [GO:0019512]","GO:0019512; GO:0033920","sab:SAB2070c",NA,NA
"3","PGK_STAAB","Q2YSF1","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YSF1","AJ938182","CAI80417.1","pgk","pgk SAB0729","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","sab:SAB0729",NA,NA
"4","PDP_STAAB","Q2YUL7","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YUL7","AJ938182","CAI81709.1","pdp","pdp pyn SAB2020c","1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]; deoxyuridine phosphorylase activity [GO:0047847]; metal ion binding [GO:0046872]; pyrimidine-nucleoside phosphorylase activity [GO:0016154]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]; pyrimidine nucleobase metabolic process [GO:0006206]; pyrimidine nucleoside metabolic process [GO:0006213]","GO:0004645; GO:0004850; GO:0006206; GO:0006213; GO:0009032; GO:0016154; GO:0046872; GO:0047847","sab:SAB2020c",NA,NA
"5","PGCA_STAAB","Q2YW66","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YW66","AJ938182","CAI82059.1","pgcA","pgcA SAB2371","magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; enterobacterial common antigen biosynthetic process [GO:0009246]; glucose metabolic process [GO:0006006]","GO:0000287; GO:0004614; GO:0006006; GO:0009246","sab:SAB2371",NA,NA
"6","PCP_STAAB","Q2YZA2","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YZA2","AJ938182","CAI82254.1","pcp","pcp SAB2566","cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]","GO:0005829; GO:0016920","sab:SAB2566",NA,NA
"7","PEPT_STAAB","Q2YSI6","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YSI6","AJ938182","CAI80383.1","pepT","pepT SAB0695c","cytoplasm [GO:0005737]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148","sab:SAB0695c",NA,NA
"8","PCRB_STAAB","Q2YU68","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YU68","AJ938182","CAI81530.1","pcrB","pcrB SAB1841c","magnesium ion binding [GO:0000287]; polyprenyltransferase activity [GO:0002094]; glycerophospholipid biosynthetic process [GO:0046474]","GO:0000287; GO:0002094; GO:0046474","sab:SAB1841c",NA,NA
"9","PLSX_STAAB","Q2YXI7","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YXI7","AJ938182","CAI80782.1","plsX","plsX SAB1093","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","sab:SAB1093",NA,NA
"10","PTXBC_STAAB","Q2YV12","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YV12","AJ938182","CAI79820.1","SAB0132","SAB0132","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; peptidoglycan turnover [GO:0009254]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]","GO:0005886; GO:0008982; GO:0009254; GO:0009401; GO:0016021; GO:0016301","sab:SAB0132",NA,NA
"11","PYRG_STAAB","Q2YUM6","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YUM6","AJ938182","CAI81700.1","pyrG","pyrG SAB2011c","ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]","GO:0003883; GO:0005524; GO:0006541; GO:0044210; GO:0046872","sab:SAB2011c",NA,NA
"12","SAES_STAAB","Q2YSM6","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YSM6","AJ938182","CAI80342.1","saeS","saeS SAB0654c","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]","GO:0000155; GO:0005524; GO:0005886; GO:0016021","sab:SAB0654c",NA,NA
"13","SPLB_STAAB","Q2YTM3","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YTM3","AJ938182","CAI81361.1","splB","splB SAB1672c","extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]","GO:0004252; GO:0005576","sab:SAB1672c",NA,NA
"14","UREE_STAAB","Q2YYQ5","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YYQ5","AJ938182","CAI81852.1","ureE","ureE SAB2163","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]","GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003","sab:SAB2163",NA,NA
"15","UPP_STAAB","Q2YUJ2","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YUJ2","AJ938182","CAI81685.1","upp","upp SAB1996c","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","sab:SAB1996c",NA,NA
"16","URK_STAAB","Q2YT67","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YT67","AJ938182","CAI81171.1","udk","udk SAB1482c","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; uridine kinase activity [GO:0004849]; CTP salvage [GO:0044211]; UMP salvage [GO:0044206]","GO:0004849; GO:0005524; GO:0005737; GO:0016773; GO:0044206; GO:0044211","sab:SAB1482c",NA,NA
"17","URE3_STAAB","Q2YYQ8","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YYQ8","AJ938182","CAI81849.1","ureA","ureA SAB2160","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]","GO:0005737; GO:0009039; GO:0016151; GO:0043419","sab:SAB2160",NA,NA
"18","URTF_STAAB","Q2YYH4","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YYH4","AJ938182","CAI81741.1","SAB2052c","SAB2052c","uridylyltransferase activity [GO:0070569]","GO:0070569","sab:SAB2052c",NA,NA
"19","UREG_STAAB","Q2YYV2","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YYV2","AJ938182","CAI81854.1","ureG","ureG SAB2165","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; nitrogen compound metabolic process [GO:0006807]","GO:0003924; GO:0005525; GO:0005737; GO:0006807; GO:0016151","sab:SAB2165",NA,NA
"20","MNHA2_STAAB","Q2YST2","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YST2","AJ938182","CAI80261.1","mnhA2","mnhA2 mrpA2 SAB0573","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; ion transport [GO:0006811]","GO:0005886; GO:0006811; GO:0015297; GO:0016021","sab:SAB0573",NA,NA
"21","MNHB2_STAAB","Q2YSV6","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YSV6","AJ938182","CAI80262.1","mnhB2","mnhB2 mrpB2 SAB0574","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; ion transport [GO:0006811]","GO:0005886; GO:0006811; GO:0015297; GO:0016021","sab:SAB0574",NA,NA
"22","RBFA_STAAB","Q2YXP6","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YXP6","AJ938182","CAI80821.1","rbfA","rbfA SAB1132","cytoplasm [GO:0005737]; maturation of SSU-rRNA [GO:0030490]","GO:0005737; GO:0030490","sab:SAB1132",NA,NA
"23","RECR_STAAB","Q2YVW5","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YVW5","AJ938182","CAI80117.1","recR","recR SAB0429","DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]","GO:0003677; GO:0006281; GO:0006310; GO:0046872","sab:SAB0429",NA,NA
"24","RL10_STAAB","Q2YSC2","Staphylococcus aureus (strain bovine RF122 / ET3-1)","273036","Q2YSC2","AJ938182","CAI80178.1","rplJ","rplJ SAB0490","large ribosomal subunit [GO:0015934]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0006412; GO:0015934; GO:0070180","sab:SAB0490",NA,NA
