"","Gene","Pathway"
"1","bch:Bcen2424_0001  (GenBank) chromosomal replication initiator protein DnaA","Two-component system"
"2","bch:Bcen2424_0002  (GenBank) DNA polymerase III, beta subunit","DNA replication"
"3","bch:Bcen2424_0002  (GenBank) DNA polymerase III, beta subunit","Mismatch repair"
"4","bch:Bcen2424_0002  (GenBank) DNA polymerase III, beta subunit","Homologous recombination"
"5","bch:Bcen2424_R0001  (GenBank) 5S ribosomal RNA","Ribosome"
"6","bch:Bcen2424_R0002  (GenBank) 23S ribosomal RNA","Ribosome"
"7","bch:Bcen2424_R0003  (GenBank) 16S ribosomal RNA","Ribosome"
"8","bch:Bcen2424_0010  (GenBank) Catalase domain protein","Tryptophan metabolism"
"9","bch:Bcen2424_0010  (GenBank) Catalase domain protein","Glyoxylate and dicarboxylate metabolism"
"10","bch:Bcen2424_0010  (GenBank) Catalase domain protein","Metabolic pathways"
"11","bch:Bcen2424_0010  (GenBank) Catalase domain protein","Biosynthesis of secondary metabolites"
"12","bch:Bcen2424_0010  (GenBank) Catalase domain protein","Carbon metabolism"
"13","bch:Bcen2424_R0004  (GenBank) tRNA-Val","Aminoacyl-tRNA biosynthesis"
"14","bch:Bcen2424_0030  (GenBank) two component transcriptional regulator, winged helix family","Two-component system"
"15","bch:Bcen2424_0031  (GenBank) periplasmic sensor signal transduction histidine kinase","Two-component system"
"16","bch:Bcen2424_0032  (GenBank) binding-protein-dependent transport systems inner membrane component","Sulfur metabolism"
"17","bch:Bcen2424_0032  (GenBank) binding-protein-dependent transport systems inner membrane component","ABC transporters"
"18","bch:Bcen2424_0033  (GenBank) ABC transporter related protein","Sulfur metabolism"
"19","bch:Bcen2424_0033  (GenBank) ABC transporter related protein","ABC transporters"
"20","bch:Bcen2424_0034  (GenBank) ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","Sulfur metabolism"
"21","bch:Bcen2424_0034  (GenBank) ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","ABC transporters"
"22","bch:Bcen2424_0035  (GenBank) flagellar biosynthetic protein FliR","Flagellar assembly"
