"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","KDKA_HAEI8","Q4QNS8","Haemophilus influenzae (strain 86-028NP)","281310","Q4QNS8","CP000057","AAX87319.1","kdkA","kdkA NTHI0367","plasma membrane [GO:0005886]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; lipopolysaccharide core region biosynthetic process [GO:0009244]","GO:0005524; GO:0005886; GO:0009244; GO:0016301; GO:0016773","hit:NTHI0367",NA,NA
"2","NANM_HAEI8","Q4QP39","Haemophilus influenzae (strain 86-028NP)","281310","Q4QP39","CP000057","AAX87208.1","nanM","nanM NTHI0235","periplasmic space [GO:0042597]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; carbohydrate metabolic process [GO:0005975]","GO:0005975; GO:0016857; GO:0042597","hit:NTHI0235",NA,NA
"3","PEPB_HAEI8","Q4QM33","Haemophilus influenzae (strain 86-028NP)","281310","Q4QM33","CP000057","AAX87914.1","pepB","pepB NTHI1038","cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; transcription cis-regulatory region binding [GO:0000976]","GO:0000976; GO:0005737; GO:0030145; GO:0070006","hit:NTHI1038",NA,NA
"4","PEPE_HAEI8","Q4QMU5","Haemophilus influenzae (strain 86-028NP)","281310","Q4QMU5","CP000057","AAX87652.1","pepE","pepE NTHI0738","cytoplasm [GO:0005737]; dipeptidase activity [GO:0016805]; serine-type peptidase activity [GO:0008236]","GO:0005737; GO:0008236; GO:0016805","hit:NTHI0738",NA,NA
"5","PDXH_HAEI8","Q4QM38","Haemophilus influenzae (strain 86-028NP)","281310","Q4QM38","CP000057","AAX87909.1","pdxH","pdxH NTHI1032","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181","hit:NTHI1032",NA,NA
"6","PEPT_HAEI8","Q4QK58","Haemophilus influenzae (strain 86-028NP)","281310","Q4QK58","CP000057","AAX88589.1","pepT","pepT NTHI1818","cytoplasm [GO:0005737]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148","hit:NTHI1818",NA,NA
"7","PLSB_HAEI8","Q4QMF0","Haemophilus influenzae (strain 86-028NP)","281310","Q4QMF0","CP000057","AAX87797.1","plsB","plsB NTHI0904","plasma membrane [GO:0005886]; glycerol-3-phosphate O-acyltransferase activity [GO:0004366]; sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity [GO:0102420]; CDP-diacylglycerol biosynthetic process [GO:0016024]","GO:0004366; GO:0005886; GO:0016024; GO:0102420","hit:NTHI0904",NA,NA
"8","PLSY_HAEI8","Q4QNS2","Haemophilus influenzae (strain 86-028NP)","281310","Q4QNS2","CP000057","AAX87325.1","plsY","plsY NTHI0373","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]","GO:0005886; GO:0008654; GO:0016021; GO:0043772","hit:NTHI0373",NA,NA
"9","PURR_HAEI8","Q4QL70","Haemophilus influenzae (strain 86-028NP)","281310","Q4QL70","CP000057","AAX88227.1","purR","purR NTHI1404","DNA binding [GO:0003677]; negative regulation of transcription, DNA-templated [GO:0045892]; purine nucleotide biosynthetic process [GO:0006164]","GO:0003677; GO:0006164; GO:0045892","hit:NTHI1404",NA,NA
"10","RL11_HAEI8","Q4QN31","Haemophilus influenzae (strain 86-028NP)","281310","Q4QN31","CP000057","AAX87566.1","rplK","rplK NTHI0643","ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0070180","hit:NTHI0643",NA,NA
"11","SYC_HAEI8","Q4QPG7","Haemophilus influenzae (strain 86-028NP)","281310","Q4QPG7","CP000057","AAX87080.1","cysS","cysS NTHI0091","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]","GO:0004817; GO:0005524; GO:0005737; GO:0006423; GO:0008270","hit:NTHI0091",NA,NA
