"","Gene","Pathway"
"1","bte:BTH_I0001  (GenBank) uncharacterized enzyme subfamily, putative","Glutathione metabolism"
"2","bte:BTH_I0001  (GenBank) uncharacterized enzyme subfamily, putative","Metabolic pathways"
"3","bte:BTH_I0007  (GenBank) general secretion pathway protein D","Bacterial secretion system"
"4","bte:BTH_I0008  (GenBank) general secretion pathway protein E","Bacterial secretion system"
"5","bte:BTH_I0009 gspF (GenBank) general secretion pathway protein F","Bacterial secretion system"
"6","bte:BTH_I0010  (GenBank) GspC","Bacterial secretion system"
"7","bte:BTH_I0011 gspG (GenBank) general secretion pathway protein G","Bacterial secretion system"
"8","bte:BTH_I0012  (GenBank) general secretion pathway protein H","Bacterial secretion system"
"9","bte:BTH_I0013  (GenBank) general secretory pathway protein I","Bacterial secretion system"
"10","bte:BTH_I0014  (GenBank) general secretory pathway protein J","Bacterial secretion system"
"11","bte:BTH_I0015 gspK (GenBank) General secretion pathway protein K","Bacterial secretion system"
"12","bte:BTH_I0016  (GenBank) General secretion pathway protein L (GspL)","Bacterial secretion system"
"13","bte:BTH_I0017  (GenBank) general secretion pathway protein M","Bacterial secretion system"
"14","bte:BTH_I0026  (GenBank) flagellar protein FliL","Flagellar assembly"
"15","bte:BTH_I0027 fliM (GenBank) flagellar motor switch protein FliM","Bacterial chemotaxis"
"16","bte:BTH_I0027 fliM (GenBank) flagellar motor switch protein FliM","Flagellar assembly"
"17","bte:BTH_I0028  (GenBank) flagellar motor switch protein FliN","Bacterial chemotaxis"
"18","bte:BTH_I0028  (GenBank) flagellar motor switch protein FliN","Flagellar assembly"
"19","bte:BTH_I0029  (GenBank) flagellar biosynthesis protein","Flagellar assembly"
"20","bte:BTH_I0030 fliP (GenBank) flagellar biosynthetic protein","Flagellar assembly"
"21","bte:BTH_I0031 fliQ (GenBank) flagellar biosynthetic protein FliQ","Flagellar assembly"
"22","bte:BTH_I0032 fliR (GenBank) flagellar biosynthetic protein FliR","Flagellar assembly"
"23","bte:BTH_I0035  (GenBank) conserved hypothetical protein","Sulfur metabolism"
"24","bte:BTH_I0035  (GenBank) conserved hypothetical protein","ABC transporters"
"25","bte:BTH_I0036  (GenBank) ABC transporter, ATP-binding protein","Sulfur metabolism"
"26","bte:BTH_I0036  (GenBank) ABC transporter, ATP-binding protein","ABC transporters"
"27","bte:BTH_I0037  (GenBank) ABC transporter, permease protein","Sulfur metabolism"
"28","bte:BTH_I0037  (GenBank) ABC transporter, permease protein","ABC transporters"
"29","bte:BTH_I0038  (GenBank) sensor histidine kinase","Two-component system"
"30","bte:BTH_I0039  (GenBank) DNA-binding response regulator","Two-component system"
"31","bte:BTH_I0045  (GenBank) branched-chain amino acid ABC transporter, ATP-binding protein, putative","ABC transporters"
"32","bte:BTH_I0045  (GenBank) branched-chain amino acid ABC transporter, ATP-binding protein, putative","Quorum sensing"
"33","bte:BTH_I0046  (GenBank) branched-chain amino acid ABC transporter, ATP-binding protein","ABC transporters"
"34","bte:BTH_I0046  (GenBank) branched-chain amino acid ABC transporter, ATP-binding protein","Quorum sensing"
"35","bte:BTH_I0047  (GenBank) branched-chain amino acid ABC transporter, permease protein, putative","ABC transporters"
"36","bte:BTH_I0047  (GenBank) branched-chain amino acid ABC transporter, permease protein, putative","Quorum sensing"
"37","bte:BTH_I0048  (GenBank) Branched-chain amino acid transport system / permease component, putative","ABC transporters"
"38","bte:BTH_I0048  (GenBank) Branched-chain amino acid transport system / permease component, putative","Quorum sensing"
"39","bte:BTH_I0049  (GenBank) branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein, putative","ABC transporters"
"40","bte:BTH_I0049  (GenBank) branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein, putative","Quorum sensing"
"41","bte:BTH_I0050  (GenBank) phenylacetaldehyde dehydrogenase","Tyrosine metabolism"
"42","bte:BTH_I0050  (GenBank) phenylacetaldehyde dehydrogenase","Phenylalanine metabolism"
"43","bte:BTH_I0050  (GenBank) phenylacetaldehyde dehydrogenase","Styrene degradation"
"44","bte:BTH_I0050  (GenBank) phenylacetaldehyde dehydrogenase","Metabolic pathways"
"45","bte:BTH_I0050  (GenBank) phenylacetaldehyde dehydrogenase","Microbial metabolism in diverse environments"
"46","bte:BTH_I0053  (GenBank) oxidoreductase, short-chain dehydrogenase/reductase family","Butanoate metabolism"
"47","bte:BTH_I0053  (GenBank) oxidoreductase, short-chain dehydrogenase/reductase family","Biosynthesis of secondary metabolites"
"48","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Fatty acid degradation"
"49","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Valine, leucine and isoleucine degradation"
"50","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Lysine degradation"
"51","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Benzoate degradation"
"52","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Tryptophan metabolism"
"53","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Pyruvate metabolism"
"54","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Glyoxylate and dicarboxylate metabolism"
"55","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Butanoate metabolism"
"56","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Terpenoid backbone biosynthesis"
"57","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Metabolic pathways"
"58","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Biosynthesis of secondary metabolites"
"59","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Microbial metabolism in diverse environments"
"60","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Carbon metabolism"
"61","bte:BTH_I0061  (GenBank) beta-ketoadipyl CoA thiolase","Fatty acid metabolism"
