"","Gene","Pathway"
"1","pau:PA14_00010 dnaA","Two-component system"
"2","pau:PA14_00020 dnaN","DNA replication"
"3","pau:PA14_00020 dnaN","Mismatch repair"
"4","pau:PA14_00020 dnaN","Homologous recombination"
"5","pau:PA14_00030 recF","Homologous recombination"
"6","pau:PA14_00060 ","Glycerolipid metabolism"
"7","pau:PA14_00060 ","Glycerophospholipid metabolism"
"8","pau:PA14_00060 ","Metabolic pathways"
"9","pau:PA14_00060 ","Biosynthesis of secondary metabolites"
"10","pau:PA14_00070 ","Lipopolysaccharide biosynthesis"
"11","pau:PA14_00070 ","Metabolic pathways"
"12","pau:PA14_00070 ","Biosynthesis of nucleotide sugars"
"13","pau:PA14_00090 glyS","Aminoacyl-tRNA biosynthesis"
"14","pau:PA14_00100 glyQ","Aminoacyl-tRNA biosynthesis"
"15","pau:PA14_00110 tag","Base excision repair"
"16","pau:PA14_00120 ","Lipopolysaccharide biosynthesis"
"17","pau:PA14_00120 ","Metabolic pathways"
"18","pau:PA14_00190 fmt","One carbon pool by folate"
"19","pau:PA14_00190 fmt","Aminoacyl-tRNA biosynthesis"
"20","pau:PA14_00190 fmt","Metabolic pathways"
"21","pau:PA14_00280 hemF","Porphyrin metabolism"
"22","pau:PA14_00280 hemF","Metabolic pathways"
"23","pau:PA14_00280 hemF","Biosynthesis of secondary metabolites"
"24","pau:PA14_00280 hemF","Biosynthesis of cofactors"
"25","pau:PA14_00290 aroE","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","pau:PA14_00290 aroE","Biosynthesis of various plant secondary metabolites"
"27","pau:PA14_00290 aroE","Metabolic pathways"
"28","pau:PA14_00290 aroE","Biosynthesis of secondary metabolites"
"29","pau:PA14_00290 aroE","Biosynthesis of amino acids"
"30","pau:PA14_00360 ","ABC transporters"
"31","pau:PA14_00430 bvga","Two-component system"
"32","pau:PA14_00440 trpA","Glycine, serine and threonine metabolism"
"33","pau:PA14_00440 trpA","Phenylalanine, tyrosine and tryptophan biosynthesis"
"34","pau:PA14_00440 trpA","Metabolic pathways"
"35","pau:PA14_00440 trpA","Biosynthesis of secondary metabolites"
"36","pau:PA14_00440 trpA","Biosynthesis of amino acids"
"37","pau:PA14_00450 trpB","Glycine, serine and threonine metabolism"
"38","pau:PA14_00450 trpB","Phenylalanine, tyrosine and tryptophan biosynthesis"
"39","pau:PA14_00450 trpB","Metabolic pathways"
"40","pau:PA14_00450 trpB","Biosynthesis of secondary metabolites"
"41","pau:PA14_00450 trpB","Biosynthesis of amino acids"
"42","pau:PA14_00640 phzH","Alanine, aspartate and glutamate metabolism"
"43","pau:PA14_00640 phzH","Metabolic pathways"
"44","pau:PA14_00640 phzH","Biosynthesis of secondary metabolites"
"45","pau:PA14_00640 phzH","Biosynthesis of amino acids"
"46","pau:PA14_00770 ","Glyoxylate and dicarboxylate metabolism"
"47","pau:PA14_00770 ","Metabolic pathways"
"48","pau:PA14_00770 ","Biosynthesis of secondary metabolites"
"49","pau:PA14_00875 ppkA","Biofilm formation - Pseudomonas aeruginosa"
"50","pau:PA14_00875 ppkA","Bacterial secretion system"
"51","pau:PA14_00890 ","Biofilm formation - Pseudomonas aeruginosa"
"52","pau:PA14_00890 ","Bacterial secretion system"
"53","pau:PA14_00900 ","Biofilm formation - Pseudomonas aeruginosa"
"54","pau:PA14_00910 ","Biofilm formation - Pseudomonas aeruginosa"
"55","pau:PA14_00910 ","Bacterial secretion system"
"56","pau:PA14_00925 ","Bacterial secretion system"
"57","pau:PA14_00940 ","Biofilm formation - Pseudomonas aeruginosa"
"58","pau:PA14_00960 ","Bacterial secretion system"
"59","pau:PA14_00970 ","Biofilm formation - Pseudomonas aeruginosa"
"60","pau:PA14_00970 ","Bacterial secretion system"
"61","pau:PA14_00980 ","Biofilm formation - Pseudomonas aeruginosa"
"62","pau:PA14_00980 ","Bacterial secretion system"
"63","pau:PA14_00990 ","Biofilm formation - Pseudomonas aeruginosa"
"64","pau:PA14_01010 ","Biofilm formation - Pseudomonas aeruginosa"
"65","pau:PA14_01020 ","Biofilm formation - Pseudomonas aeruginosa"
"66","pau:PA14_01030 ","Biofilm formation - Pseudomonas aeruginosa"
"67","pau:PA14_01030 ","Bacterial secretion system"
"68","pau:PA14_01080 ","Biofilm formation - Pseudomonas aeruginosa"
"69","pau:PA14_01100 clpB","Biofilm formation - Pseudomonas aeruginosa"
"70","pau:PA14_01100 clpB","Bacterial secretion system"
"71","pau:PA14_01110 ","Bacterial secretion system"
"72","pau:PA14_01160 ","Bacterial secretion system"
"73","pau:PA14_01190 ","Fatty acid biosynthesis"
"74","pau:PA14_01190 ","Biotin metabolism"
"75","pau:PA14_01190 ","Metabolic pathways"
"76","pau:PA14_01190 ","Fatty acid metabolism"
"77","pau:PA14_01190 ","Biosynthesis of cofactors"
"78","pau:PA14_01240 ","Nitrogen metabolism"
"79","pau:PA14_01240 ","Metabolic pathways"
"80","pau:PA14_01290 coxB","Oxidative phosphorylation"
"81","pau:PA14_01290 coxB","Metabolic pathways"
"82","pau:PA14_01300 coxA","Oxidative phosphorylation"
"83","pau:PA14_01300 coxA","Metabolic pathways"
"84","pau:PA14_01310 coxG","Oxidative phosphorylation"
"85","pau:PA14_01310 coxG","Metabolic pathways"
"86","pau:PA14_01320 coIII","Oxidative phosphorylation"
"87","pau:PA14_01320 coIII","Metabolic pathways"
"88","pau:PA14_01360 ctaA","Oxidative phosphorylation"
"89","pau:PA14_01360 ctaA","Porphyrin metabolism"
"90","pau:PA14_01360 ctaA","Metabolic pathways"
"91","pau:PA14_01360 ctaA","Biosynthesis of secondary metabolites"
"92","pau:PA14_01360 ctaA","Biosynthesis of cofactors"
"93","pau:PA14_01360 ctaA","Two-component system"
"94","pau:PA14_01380 ctaB","Oxidative phosphorylation"
"95","pau:PA14_01380 ctaB","Porphyrin metabolism"
"96","pau:PA14_01380 ctaB","Metabolic pathways"
"97","pau:PA14_01380 ctaB","Biosynthesis of secondary metabolites"
"98","pau:PA14_01380 ctaB","Biosynthesis of cofactors"
"99","pau:PA14_01460 dctA","Two-component system"
"100","pau:PA14_01600 mmsA","Valine, leucine and isoleucine degradation"
"101","pau:PA14_01600 mmsA","beta-Alanine metabolism"
"102","pau:PA14_01600 mmsA","Inositol phosphate metabolism"
"103","pau:PA14_01600 mmsA","Propanoate metabolism"
"104","pau:PA14_01600 mmsA","Metabolic pathways"
"105","pau:PA14_01600 mmsA","Carbon metabolism"
"106","pau:PA14_01620 aptA","Valine, leucine and isoleucine degradation"
"107","pau:PA14_01620 aptA","beta-Alanine metabolism"
"108","pau:PA14_01620 aptA","Propanoate metabolism"
"109","pau:PA14_01620 aptA","Metabolic pathways"
"110","pau:PA14_01660 guaD","Purine metabolism"
"111","pau:PA14_01660 guaD","Metabolic pathways"
"112","pau:PA14_01670 ","ABC transporters"
"113","pau:PA14_01680 ","ABC transporters"
"114","pau:PA14_01690 ","ABC transporters"
"115","pau:PA14_01730 ","Oxidative phosphorylation"
"116","pau:PA14_01730 ","RNA degradation"
"117","pau:PA14_01760 nuh","Purine metabolism"
"118","pau:PA14_01760 nuh","Nicotinate and nicotinamide metabolism"
"119","pau:PA14_01760 nuh","Metabolic pathways"
"120","pau:PA14_01800 ","ABC transporters"
"121","pau:PA14_01830 add","Purine metabolism"
"122","pau:PA14_01830 add","Metabolic pathways"
"123","pau:PA14_01860 ","Two-component system"
"124","pau:PA14_01900 pcaH","Benzoate degradation"
"125","pau:PA14_01900 pcaH","Metabolic pathways"
"126","pau:PA14_01900 pcaH","Microbial metabolism in diverse environments"
"127","pau:PA14_01900 pcaH","Degradation of aromatic compounds"
"128","pau:PA14_01910 pcaG","Benzoate degradation"
"129","pau:PA14_01910 pcaG","Metabolic pathways"
"130","pau:PA14_01910 pcaG","Microbial metabolism in diverse environments"
"131","pau:PA14_01910 pcaG","Degradation of aromatic compounds"
"132","pau:PA14_02050 ","Taurine and hypotaurine metabolism"
"133","pau:PA14_02050 ","Cyanoamino acid metabolism"
"134","pau:PA14_02050 ","Glutathione metabolism"
"135","pau:PA14_02050 ","Metabolic pathways"
"136","pau:PA14_02110 ","Biofilm formation - Pseudomonas aeruginosa"
"137","pau:PA14_02180 cheB","Two-component system"
"138","pau:PA14_02180 cheB","Bacterial chemotaxis"
"139","pau:PA14_02190 cheD","Bacterial chemotaxis"
"140","pau:PA14_02200 cheR","Two-component system"
"141","pau:PA14_02200 cheR","Bacterial chemotaxis"
"142","pau:PA14_02220 ","Two-component system"
"143","pau:PA14_02220 ","Bacterial chemotaxis"
"144","pau:PA14_02230 cheW","Two-component system"
"145","pau:PA14_02230 cheW","Bacterial chemotaxis"
"146","pau:PA14_02250 cheA","Two-component system"
"147","pau:PA14_02250 cheA","Bacterial chemotaxis"
"148","pau:PA14_02260 cheY","Two-component system"
"149","pau:PA14_02260 cheY","Bacterial chemotaxis"
"150","pau:PA14_02270 ","Two-component system"
"151","pau:PA14_02270 ","Bacterial chemotaxis"
"152","pau:PA14_02300 ","Fatty acid biosynthesis"
"153","pau:PA14_02300 ","Biotin metabolism"
"154","pau:PA14_02300 ","Metabolic pathways"
"155","pau:PA14_02300 ","Biosynthesis of secondary metabolites"
"156","pau:PA14_02300 ","Fatty acid metabolism"
"157","pau:PA14_02300 ","Biosynthesis of cofactors"
"158","pau:PA14_02330 atsC","Sulfur metabolism"
"159","pau:PA14_02330 atsC","ABC transporters"
"160","pau:PA14_02340 atsB","Sulfur metabolism"
"161","pau:PA14_02340 atsB","ABC transporters"
"162","pau:PA14_02360 atsR","Sulfur metabolism"
"163","pau:PA14_02360 atsR","ABC transporters"
"164","pau:PA14_02370 ","beta-Lactam resistance"
"165","pau:PA14_02370 ","Two-component system"
"166","pau:PA14_02380 ","Riboflavin metabolism"
"167","pau:PA14_02380 ","Metabolic pathways"
"168","pau:PA14_02380 ","Two-component system"
"169","pau:PA14_02450 ","Nicotinate and nicotinamide metabolism"
"170","pau:PA14_02450 ","Metabolic pathways"
"171","pau:PA14_02460 ","Nicotinate and nicotinamide metabolism"
