"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","PDXY_PSEAB","Q02DJ3","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02DJ3","CP000438","ABJ14902.1","pdxY","pdxY PA14_72780","ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; pyridoxal kinase activity [GO:0008478]; pyridoxal 5'-phosphate salvage [GO:0009443]","GO:0000287; GO:0005524; GO:0008478; GO:0009443","pau:PA14_72780",NA,NA
"2","PGK_PSEAB","Q02TL3","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02TL3","CP000438","ABJ15515.1","pgk","pgk PA14_07190","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","pau:PA14_07190",NA,NA
"3","PDXJ_PSEAB","Q02HS5","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02HS5","CP000438","ABJ09925.1","pdxJ","pdxJ PA14_54290","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","pau:PA14_54290",NA,NA
"4","PDXH_PSEAB","Q02IL5","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02IL5","CP000438","ABJ10213.1","pdxH","pdxH PA14_50800","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181","pau:PA14_50800",NA,NA
"5","PDXB_PSEAB","Q02JM2","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02JM2","CP000438","ABJ10569.1","pdxB","pdxB PA14_46470","cytoplasm [GO:0005737]; 4-phosphoerythronate dehydrogenase activity [GO:0033711]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033711; GO:0046983; GO:0051287","pau:PA14_46470",NA,NA
"6","PLSX_PSEAB","Q02PD2","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02PD2","CP000438","ABJ12207.1","plsX","plsX PA14_25640","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","pau:PA14_25640",NA,NA
"7","PHZB2_PSEAB","Q02L47","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02L47","CP000438","ABJ11090.1","phzB2","phzB2 PA14_39960","antibiotic biosynthetic process [GO:0017000]","GO:0017000","pau:PA14_39960",NA,NA
"8","RS13_PSEAB","Q02T58","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02T58","CP000438","ABJ13512.1","rpsM","rpsM PA14_09080","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]","GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843","pau:PA14_09080",NA,NA
"9","SYE_PSEAB","Q02PU7","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02PU7","CP000438","ABJ12366.1","gltX","gltX PA14_23560","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]","GO:0000049; GO:0004818; GO:0005524; GO:0005737; GO:0006424; GO:0008270","pau:PA14_23560",NA,NA
"10","SYA_PSEAB","Q02I63","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02I63","CP000438","ABJ10063.1","alaS","alaS PA14_52600","cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]","GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270","pau:PA14_52600",NA,NA
"11","SYM_PSEAB","Q02QX1","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02QX1","CP000438","ABJ12736.1","metG","metG PA14_19050","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]","GO:0000049; GO:0004825; GO:0005524; GO:0005737; GO:0006431; GO:0046872","pau:PA14_19050",NA,NA
"12","UVRC_PSEAB","Q02N77","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02N77","CP000438","ABJ11808.1","uvrC","uvrC PA14_30660","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432","pau:PA14_30660",NA,NA
"13","UPP_PSEAB","Q02G28","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02G28","CP000438","ABJ14027.1","upp","upp PA14_61470","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","pau:PA14_61470",NA,NA
"14","UREE_PSEAB","Q02FC7","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02FC7","CP000438","ABJ14276.1","ureE","ureE PA14_64650","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]","GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003","pau:PA14_64650",NA,NA
"15","URE3_PSEAB","Q02FF4","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02FF4","CP000438","ABJ14249.1","ureA","ureA PA14_64350","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]","GO:0005737; GO:0009039; GO:0016151; GO:0043419","pau:PA14_64350",NA,NA
"16","UREG_PSEAB","Q02FC5","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02FC5","CP000438","ABJ14278.1","ureG","ureG PA14_64670","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; nitrogen compound metabolic process [GO:0006807]","GO:0003924; GO:0005525; GO:0005737; GO:0006807; GO:0016151","pau:PA14_64670",NA,NA
"17","URE2_PSEAB","Q02FF2","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02FF2","CP000438","ABJ14251.1","ureB","ureB PA14_64370","urease complex [GO:0035550]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]","GO:0009039; GO:0035550; GO:0043419","pau:PA14_64370",NA,NA
"18","METE_PSEAB","Q02L76","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02L76","CP000438","ABJ11117.1","metE","metE PA14_39590","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]","GO:0003871; GO:0008270; GO:0009086; GO:0032259","pau:PA14_39590",NA,NA
"19","MINC_PSEAB","Q02Q74","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02Q74","CP000438","ABJ12492.1","minC","minC PA14_22040","cell morphogenesis [GO:0000902]; division septum assembly [GO:0000917]; regulation of cell division [GO:0051302]; regulation of cell septum assembly [GO:1901891]","GO:0000902; GO:0000917; GO:0051302; GO:1901891","pau:PA14_22040",NA,NA
"20","NAGZ_PSEAB","Q02PG9","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02PG9","CP000438","ABJ15648.1","nagZ","nagZ PA14_25195","cytoplasm [GO:0005737]; beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]","GO:0004563; GO:0005737; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0009254; GO:0051301; GO:0071555; GO:0102148","pau:PA14_25195",NA,NA
"21","MURG_PSEAB","Q02H28","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02H28","CP000438","ABJ13682.1","murG","murG PA14_57340","plasma membrane [GO:0005886]; UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]; carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]","GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555","pau:PA14_57340",NA,NA
"22","RBFA_PSEAB","Q02FS9","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02FS9","CP000438","ABJ14126.1","rbfA","rbfA PA14_62740","cytoplasm [GO:0005737]; maturation of SSU-rRNA [GO:0030490]","GO:0005737; GO:0030490","pau:PA14_62740",NA,NA
"23","RLMD_PSEAB","Q02I93","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02I93","CP000438","ABJ10092.1","rlmD","rlmD rumA PA14_52190","4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; RNA binding [GO:0003723]; rRNA (uridine-C5-)-methyltransferase activity [GO:0070041]","GO:0003723; GO:0005506; GO:0051539; GO:0070041","pau:PA14_52190",NA,NA
"24","SYY_PSEAB","Q02SV2","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02SV2","CP000438","ABJ13408.1","tyrS","tyrS PA14_10420","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437]","GO:0003723; GO:0004831; GO:0005524; GO:0005737; GO:0006437","pau:PA14_10420",NA,NA
"25","SYT_PSEAB","Q02NP1","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02NP1","CP000438","ABJ11970.1","thrS","thrS PA14_28650","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]; threonyl-tRNA aminoacylation [GO:0006435]","GO:0000049; GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0046872","pau:PA14_28650",NA,NA
"26","SYS_PSEAB","Q02NA4","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02NA4","CP000438","ABJ11835.1","serS","serS PA14_30330","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]","GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0097056","pau:PA14_30330",NA,NA
"27","SYP_PSEAB","Q02IB8","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02IB8","CP000438","ABJ10117.1","proS","proS PA14_51900","cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433","pau:PA14_51900",NA,NA
"28","SYR_PSEAB","Q02EW6","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02EW6","CP000438","ABJ14435.1","argS","argS PA14_66750","cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]","GO:0004814; GO:0005524; GO:0005737; GO:0006420","pau:PA14_66750",NA,NA
"29","T23O_PSEAB","Q02N70","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02N70","CP000438","ABJ11801.1","kynA","kynA PA14_30750","heme binding [GO:0020037]; metal ion binding [GO:0046872]; tryptophan 2,3-dioxygenase activity [GO:0004833]; tryptophan catabolic process to kynurenine [GO:0019441]","GO:0004833; GO:0019441; GO:0020037; GO:0046872","pau:PA14_30750",NA,NA
"30","PYRF_PSEAB","Q02P38","Pseudomonas aeruginosa (strain UCBPP-PA14)","208963","Q02P38","CP000438","ABJ12115.1","pyrF","pyrF PA14_26890","orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]","GO:0004590; GO:0006207; GO:0044205","pau:PA14_26890",NA,NA
