"","Gene","Pathway"
"1","pau:PA14_00010 dnaA (GenBank) chromosomal replication initiator protein DnaA","Two-component system"
"2","pau:PA14_00020 dnaN (GenBank) DNA polymerase III, beta chain","DNA replication"
"3","pau:PA14_00020 dnaN (GenBank) DNA polymerase III, beta chain","Mismatch repair"
"4","pau:PA14_00020 dnaN (GenBank) DNA polymerase III, beta chain","Homologous recombination"
"5","pau:PA14_00030 recF (GenBank) DNA replication and repair protein RecF","Homologous recombination"
"6","pau:PA14_00060  (GenBank) putative acyltransferase","Glycerolipid metabolism"
"7","pau:PA14_00060  (GenBank) putative acyltransferase","Glycerophospholipid metabolism"
"8","pau:PA14_00060  (GenBank) putative acyltransferase","Metabolic pathways"
"9","pau:PA14_00060  (GenBank) putative acyltransferase","Biosynthesis of secondary metabolites"
"10","pau:PA14_00070  (GenBank) putative histidinol-phosphatase","Lipopolysaccharide biosynthesis"
"11","pau:PA14_00070  (GenBank) putative histidinol-phosphatase","Metabolic pathways"
"12","pau:PA14_00070  (GenBank) putative histidinol-phosphatase","Biosynthesis of nucleotide sugars"
"13","pau:PA14_00090 glyS (GenBank) glycyl-tRNA synthetase beta chain","Aminoacyl-tRNA biosynthesis"
"14","pau:PA14_00100 glyQ (GenBank) glycyl-tRNA synthetase alpha chain","Aminoacyl-tRNA biosynthesis"
"15","pau:PA14_00110 tag (GenBank) DNA-3-methyladenine glycosidase I","Base excision repair"
"16","pau:PA14_00120  (GenBank) putative 2-OH-lauroyltransferase","Lipopolysaccharide biosynthesis"
"17","pau:PA14_00120  (GenBank) putative 2-OH-lauroyltransferase","Metabolic pathways"
"18","pau:PA14_00190 fmt (GenBank) methionyl-tRNA formyltransferase","One carbon pool by folate"
"19","pau:PA14_00190 fmt (GenBank) methionyl-tRNA formyltransferase","Aminoacyl-tRNA biosynthesis"
"20","pau:PA14_00190 fmt (GenBank) methionyl-tRNA formyltransferase","Metabolic pathways"
"21","pau:PA14_00280 hemF (GenBank) coproporphyrinogen III oxidase, aerobic","Porphyrin metabolism"
"22","pau:PA14_00280 hemF (GenBank) coproporphyrinogen III oxidase, aerobic","Metabolic pathways"
"23","pau:PA14_00280 hemF (GenBank) coproporphyrinogen III oxidase, aerobic","Biosynthesis of secondary metabolites"
"24","pau:PA14_00280 hemF (GenBank) coproporphyrinogen III oxidase, aerobic","Biosynthesis of cofactors"
"25","pau:PA14_00290 aroE (GenBank) shikimate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","pau:PA14_00290 aroE (GenBank) shikimate dehydrogenase","Biosynthesis of various plant secondary metabolites"
"27","pau:PA14_00290 aroE (GenBank) shikimate dehydrogenase","Metabolic pathways"
"28","pau:PA14_00290 aroE (GenBank) shikimate dehydrogenase","Biosynthesis of secondary metabolites"
"29","pau:PA14_00290 aroE (GenBank) shikimate dehydrogenase","Biosynthesis of amino acids"
"30","pau:PA14_00360  (GenBank) putative glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein","ABC transporters"
"31","pau:PA14_00430 bvga (GenBank) putative two-component response regulator","Two-component system"
"32","pau:PA14_00440 trpA (GenBank) tryptophan synthase alpha chain","Glycine, serine and threonine metabolism"
"33","pau:PA14_00440 trpA (GenBank) tryptophan synthase alpha chain","Phenylalanine, tyrosine and tryptophan biosynthesis"
"34","pau:PA14_00440 trpA (GenBank) tryptophan synthase alpha chain","Metabolic pathways"
"35","pau:PA14_00440 trpA (GenBank) tryptophan synthase alpha chain","Biosynthesis of secondary metabolites"
"36","pau:PA14_00440 trpA (GenBank) tryptophan synthase alpha chain","Biosynthesis of amino acids"
"37","pau:PA14_00450 trpB (GenBank) tryptophan synthase beta chain","Glycine, serine and threonine metabolism"
"38","pau:PA14_00450 trpB (GenBank) tryptophan synthase beta chain","Phenylalanine, tyrosine and tryptophan biosynthesis"
"39","pau:PA14_00450 trpB (GenBank) tryptophan synthase beta chain","Metabolic pathways"
"40","pau:PA14_00450 trpB (GenBank) tryptophan synthase beta chain","Biosynthesis of secondary metabolites"
"41","pau:PA14_00450 trpB (GenBank) tryptophan synthase beta chain","Biosynthesis of amino acids"
"42","pau:PA14_00640 phzH (GenBank) potential phenazine-modifying enzyme","Alanine, aspartate and glutamate metabolism"
"43","pau:PA14_00640 phzH (GenBank) potential phenazine-modifying enzyme","Metabolic pathways"
"44","pau:PA14_00640 phzH (GenBank) potential phenazine-modifying enzyme","Biosynthesis of secondary metabolites"
"45","pau:PA14_00640 phzH (GenBank) potential phenazine-modifying enzyme","Biosynthesis of amino acids"
"46","pau:PA14_00770  (GenBank) putative phosphatase","Glyoxylate and dicarboxylate metabolism"
"47","pau:PA14_00770  (GenBank) putative phosphatase","Metabolic pathways"
"48","pau:PA14_00770  (GenBank) putative phosphatase","Biosynthesis of secondary metabolites"
"49","pau:PA14_00875 ppkA (GenBank) serine/threonine protein kinase PpkA","Biofilm formation - Pseudomonas aeruginosa"
