"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","COG_ID","COG_Category","KEGG_Pathway"
"1",NA,NA,NA,"V6BLR0",NA,NA,NA,NA,NA
"2","BT_0001",NA,NA,"Q8ABV9",NA,"COG5492",NA,NA,NA
"3","BT_0002",NA,NA,"Q8ABV8",NA,"ENOG50347G8",NA,NA,NA
"4","BT_0003",NA,NA,"Q8ABV7",NA,"ENOG502ZCIQ",NA,NA,NA
"5","BT_0004",NA,NA,"Q8ABV6",NA,"ENOG5032PJ8",NA,NA,NA
"6","BT_0005","","(GenBank) 30S ribosomal protein S17","Q8ABV5","cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","COG0186",NA,NA,"Ribosome"
"7","BT_0006",NA,NA,"Q8ABV4",NA,"ENOG5030MN2",NA,NA,NA
"8","BT_0007",NA,NA,"Q8ABV3","integral component of membrane [GO:0016021]",NA,NA,NA,NA
"9","BT_0008",NA,NA,"Q8ABV2","transferase activity [GO:0016740]","COG0454",NA,NA,NA
"10","BT_0009","","(GenBank) phosphate-binding periplasmic protein precursor, putative ABC transporter","Q8ABV1","ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]","COG0226",NA,NA,"ABC transporters, Two-component system"
"11","BT_0010",NA,NA,"Q8ABV0",NA,"ENOG5030MRC",NA,NA,NA
"12","BT_0011",NA,NA,"Q8ABU9",NA,NA,NA,NA,NA
"13","BT_0012",NA,NA,"Q8ABU8","integral component of membrane [GO:0016021]","COG5492",NA,NA,NA
"14","BT_0013",NA,NA,"Q8ABU7",NA,"ENOG5030MUI",NA,NA,NA
"15","BT_0014",NA,NA,"Q8ABU6","integral component of plasma membrane [GO:0005887]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]","COG2205","COG0784","","NA"
"16","BT_0014",NA,NA,"Q8ABU6","integral component of plasma membrane [GO:0005887]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]","COG0745","COG0784","","NA"
"17","BT_0014",NA,NA,"Q8ABU6","integral component of plasma membrane [GO:0005887]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]","COG2205","COG0642","","NA"
"18","BT_0014",NA,NA,"Q8ABU6","integral component of plasma membrane [GO:0005887]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]","COG0745","COG0642","","NA"
"19","BT_0015","","(GenBank) rteB, two-component system response regulator","Q8ABU5","ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]","COG2204","COG2204","","Two-component system"
"20","BT_0016",NA,NA,"Q8ABU4",NA,"ENOG5033PPM",NA,NA,NA
"21","BT_0017",NA,NA,"Q8ABU3",NA,"ENOG502ZN4N",NA,NA,NA
"22","BT_0018",NA,NA,"Q8ABU2",NA,"ENOG50343XH",NA,NA,NA
"23","BT_0019",NA,NA,"Q8ABU1",NA,"ENOG5033WGD",NA,NA,NA
"24","BT_0020",NA,NA,"Q8ABU0",NA,"ENOG5033Q2J",NA,NA,NA
"25","BT_0021",NA,NA,"Q8ABT9",NA,NA,NA,NA,NA
"26","BT_0022",NA,NA,"Q8ABT8",NA,"ENOG5030IFP",NA,NA,NA
"27","BT_0023",NA,NA,"Q8ABT7","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3328",NA,NA,NA
"28","BT_0024",NA,NA,"Q8ABT6","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3328",NA,NA,NA
"29","BT_0025",NA,NA,"Q8ABT5","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]",NA,NA,NA,NA
"30","BT_0026",NA,NA,"Q8ABT4","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3666",NA,NA,NA
"31","BT_0027",NA,NA,"Q8ABT3",NA,"COG3666",NA,NA,NA
"32","BT_0028",NA,NA,"Q8ABT2","alkaline phosphatase activity [GO:0004035]; dephosphorylation [GO:0016311]","COG1785","COG1785","Folate biosynthesis","NA"
"33","BT_0029",NA,NA,"Q8ABT1","cell outer membrane [GO:0009279]; extracellular space [GO:0005615]; metallocarboxypeptidase activity [GO:0004181]; peptide metabolic process [GO:0006518]; protein processing [GO:0016485]","COG1629",NA,NA,NA
"34","BT_0030",NA,NA,"Q8ABT0","cell outer membrane [GO:0009279]","COG0457",NA,NA,NA
"35","BT_0031",NA,NA,"Q8ABS9","5'-3' exodeoxyribonuclease activity [GO:0035312]; 5'-3' exoribonuclease activity [GO:0004534]","COG0613","COG1387","Histidine biosynthesis","NA"
"36","BT_0032",NA,NA,"Q8ABS8",NA,"ENOG5030XXK",NA,NA,NA
"37","BT_0033",NA,NA,"Q8ABS7",NA,NA,NA,NA,NA
"38","BT_0034",NA,NA,"Q8ABS6",NA,"COG3039",NA,NA,NA
"39","BT_0035",NA,NA,"Q8ABS5",NA,"ENOG5030WPP",NA,NA,NA
"40","BT_0036",NA,NA,"Q8ABS4","DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]","COG0582",NA,NA,NA
"41","BT_0037",NA,NA,"Q8ABS3",NA,"ENOG5032X2U",NA,NA,NA
"42","BT_0038",NA,NA,"Q8ABS2",NA,NA,NA,NA,NA
"43","BT_0039",NA,NA,"Q8ABS1",NA,"COG0647",NA,NA,NA
"44","BT_0040",NA,NA,"Q8ABS0","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","COG2244","COG2244","","NA"
"45","BT_0041",NA,NA,"Q8ABR9","iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]","COG1035","COG1035","","NA"
"46","BT_0042",NA,NA,"Q8ABR8",NA,"COG2327",NA,NA,NA
