"","Gene","Pathway"
"1","ssah:HSISS4_00001","Two-component system"
"2","ssah:HSISS4_00002","DNA replication"
"3","ssah:HSISS4_00002","Mismatch repair"
"4","ssah:HSISS4_00002","Homologous recombination"
"5","ssah:HSISS4_00006","Nucleotide excision repair"
"6","ssah:HSISS4_00010","beta-Lactam resistance"
"7","ssah:HSISS4_00010","Two-component system"
"8","ssah:HSISS4_00012","Purine metabolism"
"9","ssah:HSISS4_00012","Metabolic pathways"
"10","ssah:HSISS4_00012","Biosynthesis of secondary metabolites"
"11","ssah:HSISS4_r00001","Ribosome"
"12","ssah:HSISS4_r00003","Ribosome"
"13","ssah:HSISS4_r00004","Ribosome"
"14","ssah:HSISS4_r00007","Aminoacyl-tRNA biosynthesis"
"15","ssah:HSISS4_r00009","Aminoacyl-tRNA biosynthesis"
"16","ssah:HSISS4_r00010","Aminoacyl-tRNA biosynthesis"
"17","ssah:HSISS4_r00012","Aminoacyl-tRNA biosynthesis"
"18","ssah:HSISS4_r00014","Aminoacyl-tRNA biosynthesis"
"19","ssah:HSISS4_r00016","Aminoacyl-tRNA biosynthesis"
"20","ssah:HSISS4_r00020","Aminoacyl-tRNA biosynthesis"
"21","ssah:HSISS4_00017","Pentose phosphate pathway"
"22","ssah:HSISS4_00017","Purine metabolism"
"23","ssah:HSISS4_00017","Metabolic pathways"
"24","ssah:HSISS4_00017","Biosynthesis of secondary metabolites"
"25","ssah:HSISS4_00017","Microbial metabolism in diverse environments"
"26","ssah:HSISS4_00017","Carbon metabolism"
"27","ssah:HSISS4_00017","Biosynthesis of amino acids"
"28","ssah:HSISS4_00018","Lysine biosynthesis"
"29","ssah:HSISS4_00018","Metabolic pathways"
"30","ssah:HSISS4_00018","Biosynthesis of secondary metabolites"
"31","ssah:HSISS4_00018","Biosynthesis of amino acids"
"32","ssah:HSISS4_00019","Homologous recombination"
"33","ssah:HSISS4_00020","Glycerolipid metabolism"
"34","ssah:HSISS4_00020","Metabolic pathways"
"35","ssah:HSISS4_00020","Biosynthesis of secondary metabolites"
"36","ssah:HSISS4_00021","Metabolic pathways"
"37","ssah:HSISS4_00021","Biosynthesis of secondary metabolites"
"38","ssah:HSISS4_00022","Purine metabolism"
"39","ssah:HSISS4_00022","Metabolic pathways"
"40","ssah:HSISS4_00022","Biosynthesis of secondary metabolites"
"41","ssah:HSISS4_00023","Purine metabolism"
"42","ssah:HSISS4_00023","Metabolic pathways"
"43","ssah:HSISS4_00023","Biosynthesis of secondary metabolites"
"44","ssah:HSISS4_00024","Purine metabolism"
"45","ssah:HSISS4_00024","Alanine, aspartate and glutamate metabolism"
"46","ssah:HSISS4_00024","Metabolic pathways"
"47","ssah:HSISS4_00024","Biosynthesis of secondary metabolites"
"48","ssah:HSISS4_00025","Purine metabolism"
"49","ssah:HSISS4_00025","Metabolic pathways"
"50","ssah:HSISS4_00025","Biosynthesis of secondary metabolites"
"51","ssah:HSISS4_00026","Purine metabolism"
"52","ssah:HSISS4_00026","One carbon pool by folate"
"53","ssah:HSISS4_00026","Metabolic pathways"
"54","ssah:HSISS4_00026","Biosynthesis of secondary metabolites"
"55","ssah:HSISS4_00027","Purine metabolism"
"56","ssah:HSISS4_00027","One carbon pool by folate"
"57","ssah:HSISS4_00027","Metabolic pathways"
"58","ssah:HSISS4_00027","Biosynthesis of secondary metabolites"
"59","ssah:HSISS4_00030","Purine metabolism"
"60","ssah:HSISS4_00030","Metabolic pathways"
"61","ssah:HSISS4_00030","Biosynthesis of secondary metabolites"
"62","ssah:HSISS4_00031","Purine metabolism"
"63","ssah:HSISS4_00031","Metabolic pathways"
"64","ssah:HSISS4_00031","Biosynthesis of secondary metabolites"
"65","ssah:HSISS4_00032","Purine metabolism"
"66","ssah:HSISS4_00032","Metabolic pathways"
"67","ssah:HSISS4_00032","Biosynthesis of secondary metabolites"
"68","ssah:HSISS4_00035","Purine metabolism"
"69","ssah:HSISS4_00035","Alanine, aspartate and glutamate metabolism"
"70","ssah:HSISS4_00035","Metabolic pathways"
"71","ssah:HSISS4_00035","Biosynthesis of secondary metabolites"
"72","ssah:HSISS4_00035","Biosynthesis of cofactors"
"73","ssah:HSISS4_00036","Aminoacyl-tRNA biosynthesis"
"74","ssah:HSISS4_00039","Mismatch repair"
"75","ssah:HSISS4_00043","Mismatch repair"
"76","ssah:HSISS4_00045","Homologous recombination"
"77","ssah:HSISS4_00046","Base excision repair"
"78","ssah:HSISS4_00047","Nicotinate and nicotinamide metabolism"
"79","ssah:HSISS4_00047","Metabolic pathways"
"80","ssah:HSISS4_00048","Homologous recombination"
"81","ssah:HSISS4_r00033","Aminoacyl-tRNA biosynthesis"
"82","ssah:HSISS4_r00034","Aminoacyl-tRNA biosynthesis"
"83","ssah:HSISS4_r00037","Aminoacyl-tRNA biosynthesis"
"84","ssah:HSISS4_00050","DNA replication"
"85","ssah:HSISS4_00050","Mismatch repair"
"86","ssah:HSISS4_00050","Homologous recombination"
"87","ssah:HSISS4_r00038","Aminoacyl-tRNA biosynthesis"
"88","ssah:HSISS4_00057","Ribosome"
"89","ssah:HSISS4_00062","Peptidoglycan biosynthesis"
"90","ssah:HSISS4_00062","Metabolic pathways"
"91","ssah:HSISS4_00063","Peptidoglycan biosynthesis"
"92","ssah:HSISS4_00063","Metabolic pathways"
"93","ssah:HSISS4_00064","RNA degradation"
"94","ssah:HSISS4_00066","Cysteine and methionine metabolism"
"95","ssah:HSISS4_00066","Sulfur metabolism"
"96","ssah:HSISS4_00066","Metabolic pathways"
"97","ssah:HSISS4_00066","Biosynthesis of secondary metabolites"
"98","ssah:HSISS4_00066","Microbial metabolism in diverse environments"
"99","ssah:HSISS4_00066","Carbon metabolism"
"100","ssah:HSISS4_00066","Biosynthesis of amino acids"
"101","ssah:HSISS4_00068","Aminoacyl-tRNA biosynthesis"
"102","ssah:HSISS4_00076","Ribosome"
"103","ssah:HSISS4_00077","Ribosome"
"104","ssah:HSISS4_00081","Selenocompound metabolism"
"105","ssah:HSISS4_00093","Peptidoglycan biosynthesis"
"106","ssah:HSISS4_00093","Metabolic pathways"
"107","ssah:HSISS4_00093","Vancomycin resistance"
"108","ssah:HSISS4_00093","Two-component system"
"109","ssah:HSISS4_00097","RNA degradation"
"110","ssah:HSISS4_00100","Vitamin B6 metabolism"
"111","ssah:HSISS4_00100","Metabolic pathways"
"112","ssah:HSISS4_00100","Biosynthesis of cofactors"
"113","ssah:HSISS4_r00043","Aminoacyl-tRNA biosynthesis"
"114","ssah:HSISS4_00102","Two-component system"
"115","ssah:HSISS4_00102","Quorum sensing"
"116","ssah:HSISS4_00106","RNA polymerase"
"117","ssah:HSISS4_00107","Pyrimidine metabolism"
"118","ssah:HSISS4_00107","Metabolic pathways"
"119","ssah:HSISS4_00107","Biosynthesis of cofactors"
"120","ssah:HSISS4_00112","Purine metabolism"
"121","ssah:HSISS4_00112","Pyrimidine metabolism"
"122","ssah:HSISS4_00112","Metabolic pathways"
"123","ssah:HSISS4_00114","Purine metabolism"
"124","ssah:HSISS4_00114","Metabolic pathways"
"125","ssah:HSISS4_00116","Starch and sucrose metabolism"
"126","ssah:HSISS4_00116","Metabolic pathways"
"127","ssah:HSISS4_00117","Glycine, serine and threonine metabolism"
"128","ssah:HSISS4_00117","Valine, leucine and isoleucine biosynthesis"
"129","ssah:HSISS4_00117","Metabolic pathways"
"130","ssah:HSISS4_00117","Biosynthesis of secondary metabolites"
"131","ssah:HSISS4_00117","Carbon metabolism"
"132","ssah:HSISS4_00117","Biosynthesis of amino acids"
"133","ssah:HSISS4_00121","Ribosome"
"134","ssah:HSISS4_00124","ABC transporters"
"135","ssah:HSISS4_00125","ABC transporters"
"136","ssah:HSISS4_00126","Peptidoglycan biosynthesis"
"137","ssah:HSISS4_00129","O-Antigen repeat unit biosynthesis"
"138","ssah:HSISS4_00129","Metabolic pathways"
"139","ssah:HSISS4_00132","Selenocompound metabolism"
"140","ssah:HSISS4_00132","Metabolic pathways"
"141","ssah:HSISS4_00139","ABC transporters"
"142","ssah:HSISS4_00140","ABC transporters"
"143","ssah:HSISS4_00142","Starch and sucrose metabolism"
"144","ssah:HSISS4_00142","Phosphotransferase system (PTS)"
"145","ssah:HSISS4_00143","Starch and sucrose metabolism"
"146","ssah:HSISS4_00143","Metabolic pathways"
"147","ssah:HSISS4_00144","Glycolysis / Gluconeogenesis"
"148","ssah:HSISS4_00144","Pentose phosphate pathway"
"149","ssah:HSISS4_00144","Starch and sucrose metabolism"
"150","ssah:HSISS4_00144","Amino sugar and nucleotide sugar metabolism"
"151","ssah:HSISS4_00144","Metabolic pathways"
"152","ssah:HSISS4_00144","Biosynthesis of secondary metabolites"
"153","ssah:HSISS4_00144","Microbial metabolism in diverse environments"
"154","ssah:HSISS4_00144","Carbon metabolism"
"155","ssah:HSISS4_00144","Biosynthesis of nucleotide sugars"
"156","ssah:HSISS4_00145","Quorum sensing"
"157","ssah:HSISS4_00148","Quorum sensing"
"158","ssah:HSISS4_00148","Protein export"
"159","ssah:HSISS4_00148","Bacterial secretion system"
"160","ssah:HSISS4_00149","Peptidoglycan biosynthesis"
"161","ssah:HSISS4_00149","Terpenoid backbone biosynthesis"
"162","ssah:HSISS4_00149","Biosynthesis of secondary metabolites"
"163","ssah:HSISS4_00150","Glycerophospholipid metabolism"
"164","ssah:HSISS4_00150","Metabolic pathways"
"165","ssah:HSISS4_00150","Biosynthesis of secondary metabolites"
"166","ssah:HSISS4_00152","Aminoacyl-tRNA biosynthesis"
"167","ssah:HSISS4_00156","RNA degradation"
"168","ssah:HSISS4_00161","Peptidoglycan biosynthesis"
"169","ssah:HSISS4_00161","Metabolic pathways"
"170","ssah:HSISS4_00161","beta-Lactam resistance"
"171","ssah:HSISS4_00162","Ribosome"
"172","ssah:HSISS4_00163","Quorum sensing"
"173","ssah:HSISS4_00163","Protein export"
"174","ssah:HSISS4_00163","Bacterial secretion system"
"175","ssah:HSISS4_00168","Aminoacyl-tRNA biosynthesis"
"176","ssah:HSISS4_00171","ABC transporters"
"177","ssah:HSISS4_00172","ABC transporters"
"178","ssah:HSISS4_00173","Two-component system"
"179","ssah:HSISS4_00178","Nicotinate and nicotinamide metabolism"
"180","ssah:HSISS4_00178","Metabolic pathways"
"181","ssah:HSISS4_00178","Biosynthesis of cofactors"
"182","ssah:HSISS4_00179","Nicotinate and nicotinamide metabolism"
"183","ssah:HSISS4_00179","Metabolic pathways"
"184","ssah:HSISS4_00179","Biosynthesis of cofactors"
"185","ssah:HSISS4_00182","Peptidoglycan biosynthesis"
"186","ssah:HSISS4_00182","Metabolic pathways"
"187","ssah:HSISS4_00182","beta-Lactam resistance"
"188","ssah:HSISS4_00190","Peptidoglycan biosynthesis"
"189","ssah:HSISS4_00190","Metabolic pathways"
"190","ssah:HSISS4_00194","Quorum sensing"
"191","ssah:HSISS4_00194","Protein export"
"192","ssah:HSISS4_00194","Bacterial secretion system"
"193","ssah:HSISS4_00195","Pyruvate metabolism"
"194","ssah:HSISS4_00195","Aminobenzoate degradation"
"195","ssah:HSISS4_00195","Metabolic pathways"
"196","ssah:HSISS4_00195","Microbial metabolism in diverse environments"
"197","ssah:HSISS4_00200","Lysine biosynthesis"
"198","ssah:HSISS4_00200","D-Amino acid metabolism"
"199","ssah:HSISS4_00200","Metabolic pathways"
"200","ssah:HSISS4_00200","Biosynthesis of secondary metabolites"
"201","ssah:HSISS4_00200","Microbial metabolism in diverse environments"
"202","ssah:HSISS4_00200","Biosynthesis of amino acids"
"203","ssah:HSISS4_00203","D-Amino acid metabolism"
"204","ssah:HSISS4_00203","Metabolic pathways"
"205","ssah:HSISS4_00204","Purine metabolism"
"206","ssah:HSISS4_00204","Metabolic pathways"
"207","ssah:HSISS4_00216","Peptidoglycan biosynthesis"
"208","ssah:HSISS4_00217","Quorum sensing"
"209","ssah:HSISS4_00218","ABC transporters"
"210","ssah:HSISS4_00218","Quorum sensing"
"211","ssah:HSISS4_00222","Arginine biosynthesis"
"212","ssah:HSISS4_00222","Purine metabolism"
"213","ssah:HSISS4_00222","Metabolic pathways"
"214","ssah:HSISS4_00222","Microbial metabolism in diverse environments"
"215","ssah:HSISS4_00223","Arginine biosynthesis"
"216","ssah:HSISS4_00223","Purine metabolism"
"217","ssah:HSISS4_00223","Metabolic pathways"
"218","ssah:HSISS4_00223","Microbial metabolism in diverse environments"
"219","ssah:HSISS4_00224","Arginine biosynthesis"
"220","ssah:HSISS4_00224","Purine metabolism"
"221","ssah:HSISS4_00224","Metabolic pathways"
"222","ssah:HSISS4_00224","Microbial metabolism in diverse environments"
"223","ssah:HSISS4_00229","ABC transporters"
"224","ssah:HSISS4_00230","ABC transporters"
"225","ssah:HSISS4_00231","ABC transporters"
"226","ssah:HSISS4_00232","ABC transporters"
"227","ssah:HSISS4_00232","Flagellar assembly"
"228","ssah:HSISS4_00233","ABC transporters"
