"","Gene","Pathway"
"1","hit:NTHI0001","Glycolysis / Gluconeogenesis"
"2","hit:NTHI0001","Metabolic pathways"
"3","hit:NTHI0001","Biosynthesis of secondary metabolites"
"4","hit:NTHI0001","Microbial metabolism in diverse environments"
"5","hit:NTHI0001","Carbon metabolism"
"6","hit:NTHI0001","Biosynthesis of amino acids"
"7","hit:NTHI0002","Fatty acid biosynthesis"
"8","hit:NTHI0002","Fatty acid degradation"
"9","hit:NTHI0002","Metabolic pathways"
"10","hit:NTHI0002","Fatty acid metabolism"
"11","hit:NTHI0002","Quorum sensing"
"12","hit:NTHI0007","Glyoxylate and dicarboxylate metabolism"
"13","hit:NTHI0007","Methane metabolism"
"14","hit:NTHI0007","Metabolic pathways"
"15","hit:NTHI0007","Microbial metabolism in diverse environments"
"16","hit:NTHI0007","Carbon metabolism"
"17","hit:NTHI0010","Glyoxylate and dicarboxylate metabolism"
"18","hit:NTHI0010","Methane metabolism"
"19","hit:NTHI0010","Metabolic pathways"
"20","hit:NTHI0010","Microbial metabolism in diverse environments"
"21","hit:NTHI0010","Carbon metabolism"
"22","hit:NTHI0011","Glyoxylate and dicarboxylate metabolism"
"23","hit:NTHI0011","Methane metabolism"
"24","hit:NTHI0011","Metabolic pathways"
"25","hit:NTHI0011","Microbial metabolism in diverse environments"
"26","hit:NTHI0011","Carbon metabolism"
"27","hit:NTHI0015","DNA replication"
"28","hit:NTHI0015","Mismatch repair"
"29","hit:NTHI0015","Homologous recombination"
"30","hit:NTHI0020","Protein export"
"31","hit:NTHI0025","Base excision repair"
"32","hit:NTHI0028","Two-component system"
"33","hit:NTHI0029","Two-component system"
"34","hit:NTHI0030","Two-component system"
"35","hit:NTHI0031","Two-component system"
"36","hit:NTHI0032","Two-component system"
"37","hit:NTHI0033","Lipoic acid metabolism"
"38","hit:NTHI0033","Metabolic pathways"
"39","hit:NTHI0033","Biosynthesis of cofactors"
"40","hit:NTHI0034","Lipoic acid metabolism"
"41","hit:NTHI0034","Metabolic pathways"
"42","hit:NTHI0034","Biosynthesis of cofactors"
"43","hit:NTHI0036","Peptidoglycan biosynthesis"
"44","hit:NTHI0036","Metabolic pathways"
"45","hit:NTHI0039","Peptidoglycan biosynthesis"
"46","hit:NTHI0039","Metabolic pathways"
"47","hit:NTHI0039","beta-Lactam resistance"
"48","hit:NTHI0044","ABC transporters"
"49","hit:NTHI0049","Base excision repair"
"50","hit:NTHIT0001","Aminoacyl-tRNA biosynthesis"
"51","hit:NTHI0055","Pentose phosphate pathway"
"52","hit:NTHI0055","Glyoxylate and dicarboxylate metabolism"
"53","hit:NTHI0055","Metabolic pathways"
"54","hit:NTHI0055","Microbial metabolism in diverse environments"
"55","hit:NTHI0055","Carbon metabolism"
"56","hit:NTHI0056","Pentose and glucuronate interconversions"
"57","hit:NTHI0056","Metabolic pathways"
"58","hit:NTHI0065","Pentose and glucuronate interconversions"
"59","hit:NTHI0065","Metabolic pathways"
"60","hit:NTHI0067","Nucleotide excision repair"
"61","hit:NTHI0068","Lipopolysaccharide biosynthesis"
"62","hit:NTHI0068","Metabolic pathways"
"63","hit:NTHI0068","Biosynthesis of nucleotide sugars"
"64","hit:NTHI0069","Lipopolysaccharide biosynthesis"
"65","hit:NTHI0069","Metabolic pathways"
"66","hit:NTHI0072","ABC transporters"
"67","hit:NTHI0076","RNA degradation"
"68","hit:NTHI0077","Folate biosynthesis"
"69","hit:NTHI0077","Metabolic pathways"
"70","hit:NTHI0077","Biosynthesis of cofactors"
"71","hit:NTHI0079","Cationic antimicrobial peptide (CAMP) resistance"
"72","hit:NTHI0080","Mismatch repair"
"73","hit:NTHI0081","Metabolic pathways"
"74","hit:NTHI0081","Biosynthesis of secondary metabolites"
"75","hit:NTHI0084","Nicotinate and nicotinamide metabolism"
"76","hit:NTHI0084","Metabolic pathways"
"77","hit:NTHI0084","Biosynthesis of cofactors"
"78","hit:NTHI0088","Purine metabolism"
"79","hit:NTHI0088","Pyrimidine metabolism"
"80","hit:NTHI0088","Metabolic pathways"
"81","hit:NTHI0089","Biosynthesis of unsaturated fatty acids"
"82","hit:NTHI0091","Aminoacyl-tRNA biosynthesis"
"83","hit:NTHI0099","Pyruvate metabolism"
"84","hit:NTHI0099","Metabolic pathways"
"85","hit:NTHI0099","Microbial metabolism in diverse environments"
"86","hit:NTHI0100","Cysteine and methionine metabolism"
"87","hit:NTHI0100","Selenocompound metabolism"
"88","hit:NTHI0100","Sulfur metabolism"
"89","hit:NTHI0100","Metabolic pathways"
"90","hit:NTHI0100","Biosynthesis of secondary metabolites"
"91","hit:NTHI0100","Biosynthesis of amino acids"
"92","hit:NTHIT0002","Aminoacyl-tRNA biosynthesis"
"93","hit:NTHIT0003","Aminoacyl-tRNA biosynthesis"
"94","hit:NTHIT0004","Aminoacyl-tRNA biosynthesis"
"95","hit:NTHI0102","DNA replication"
"96","hit:NTHI0109","DNA replication"
"97","hit:NTHI0109","Mismatch repair"
"98","hit:NTHI0109","Homologous recombination"
"99","hit:NTHI2055","beta-Lactam resistance"
"100","hit:NTHIT0005","Aminoacyl-tRNA biosynthesis"
"101","hit:NTHI0165","Glycine, serine and threonine metabolism"
"102","hit:NTHI0165","Vitamin B6 metabolism"
"103","hit:NTHI0165","Metabolic pathways"
"104","hit:NTHI0165","Biosynthesis of secondary metabolites"
"105","hit:NTHI0165","Microbial metabolism in diverse environments"
"106","hit:NTHI0165","Biosynthesis of amino acids"
"107","hit:NTHI0166","Glycine, serine and threonine metabolism"
"108","hit:NTHI0166","Metabolic pathways"
"109","hit:NTHI0166","Biosynthesis of secondary metabolites"
"110","hit:NTHI0166","Microbial metabolism in diverse environments"
"111","hit:NTHI0166","Biosynthesis of amino acids"
"112","hit:NTHI0167","Glycine, serine and threonine metabolism"
"113","hit:NTHI0167","Monobactam biosynthesis"
"114","hit:NTHI0167","Cysteine and methionine metabolism"
"115","hit:NTHI0167","Lysine biosynthesis"
"116","hit:NTHI0167","Metabolic pathways"
"117","hit:NTHI0167","Biosynthesis of secondary metabolites"
"118","hit:NTHI0167","Microbial metabolism in diverse environments"
"119","hit:NTHI0167","Biosynthesis of amino acids"
"120","hit:NTHI0169","Glycine, serine and threonine metabolism"
"121","hit:NTHI0169","Glycerolipid metabolism"
"122","hit:NTHI0169","Glyoxylate and dicarboxylate metabolism"
"123","hit:NTHI0169","Metabolic pathways"
"124","hit:NTHI0169","Biosynthesis of secondary metabolites"
"125","hit:NTHI0169","Microbial metabolism in diverse environments"
"126","hit:NTHI0177","ABC transporters"
"127","hit:NTHI0179","ABC transporters"
"128","hit:NTHI0180","ABC transporters"
"129","hit:NTHI0182","Lysine biosynthesis"
"130","hit:NTHI0182","Metabolic pathways"
"131","hit:NTHI0182","Microbial metabolism in diverse environments"
"132","hit:NTHI0182","Biosynthesis of amino acids"
"133","hit:NTHI0190","Homologous recombination"
"134","hit:NTHI0194","Quorum sensing"
"135","hit:NTHI0194","Protein export"
"136","hit:NTHI0194","Bacterial secretion system"
"137","hit:NTHI0200","Aminoacyl-tRNA biosynthesis"
"138","hit:NTHI0201","Glutathione metabolism"
"139","hit:NTHI0201","Metabolic pathways"
"140","hit:NTHIR0001","Ribosome"
"141","hit:NTHIR0002","Ribosome"
"142","hit:NTHIT0006","Aminoacyl-tRNA biosynthesis"
"143","hit:NTHIR0003","Ribosome"
"144","hit:NTHIT0007","Aminoacyl-tRNA biosynthesis"
"145","hit:NTHIT0008","Aminoacyl-tRNA biosynthesis"
"146","hit:NTHIT0009","Aminoacyl-tRNA biosynthesis"
"147","hit:NTHIT0010","Aminoacyl-tRNA biosynthesis"
"148","hit:NTHI0208","ABC transporters"
"149","hit:NTHI0211","Cysteine and methionine metabolism"
"150","hit:NTHI0211","Selenocompound metabolism"
"151","hit:NTHI0211","Metabolic pathways"
"152","hit:NTHI0211","Biosynthesis of secondary metabolites"
"153","hit:NTHI0211","Biosynthesis of amino acids"
"154","hit:NTHI0213","Glycerophospholipid metabolism"
"155","hit:NTHI0213","Metabolic pathways"
"156","hit:NTHIT0011","Aminoacyl-tRNA biosynthesis"
