"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","IXTPA_BACTN","Q8A327","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A327","AE015928","AAO78234.1","BT_3128","BT_3128","cytoplasm [GO:0005737]; cytosol [GO:0005829]; dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleoside-triphosphatase activity [GO:0017111]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; nucleotide binding [GO:0000166]; XTP diphosphatase activity [GO:0036222]; nucleoside triphosphate catabolic process [GO:0009143]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]","GO:0000166; GO:0005737; GO:0005829; GO:0009117; GO:0009143; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872; GO:0047429","bth:BT_3128","COG0127",NA
"2","PFKA2_BACTN","Q8A624","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A624","AE015928","AAO77169.1","pfkA2","pfkA2 BT_2062","6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]","GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0061621; GO:0070095","bth:BT_2062","COG0205",NA
"3","PGK_BACTN","Q8A753","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A753","AE015928","AAO76779.1","pgk","pgk BT_1672","cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005829; GO:0006094; GO:0006096; GO:0043531","bth:BT_1672","COG0126",NA
"4","PDXH_BACTN","Q8A7E7","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A7E7","AE015928","AAO76684.1","pdxH","pdxH BT_1577","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181","bth:BT_1577","COG0259",NA
"5","PDXJ_BACTN","Q8A0V3","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A0V3","AE015928","AAO79023.1","pdxJ","pdxJ BT_3918","cytosol [GO:0005829]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005829; GO:0008615; GO:0033856","bth:BT_3918","COG0854",NA
"6","PEPT_BACTN","Q89YZ7","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q89YZ7","AE015928","AAO79688.1","pepT","pepT BT_4583","cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005829; GO:0008237; GO:0008270; GO:0043171; GO:0045148","bth:BT_4583","COG2195",NA
"7","PDXA_BACTN","Q89ZK3","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q89ZK3","AE015928","AAO79479.1","pdxA","pdxA BT_4374","cytoplasm [GO:0005737]; 4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0046872; GO:0050570; GO:0051287","bth:BT_4374","COG1995",NA
"8","PDXB_BACTN","Q8A2E4","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A2E4","AE015928","AAO78467.1","pdxB","pdxB BT_3361","cytoplasm [GO:0005737]; 4-phosphoerythronate dehydrogenase activity [GO:0033711]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]; pyridoxine biosynthetic process [GO:0008615]","GO:0004617; GO:0005737; GO:0006564; GO:0008615; GO:0033711; GO:0051287","bth:BT_3361","COG0111",NA
"9","RECR_BACTN","Q8A8T6","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A8T6","AE015928","AAO76188.1","recR","recR BT_1081","DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]","GO:0003677; GO:0006281; GO:0006310; GO:0046872","bth:BT_1081","COG0353",NA
"10","RS20_BACTN","Q8A276","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A276","AE015928","AAO78536.1","rpsT","rpsT BT_3430","cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005829; GO:0006412; GO:0015935; GO:0070181","bth:BT_3430","COG0268",NA
"11","SYE_BACTN","Q8A455","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A455","AE015928","AAO77854.1","gltX","gltX BT_2748","cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]","GO:0000049; GO:0004818; GO:0005524; GO:0005829; GO:0006424; GO:0008270","bth:BT_2748","COG0008",NA
"12","UXAB_BACTN","Q8A9J0","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A9J0","AE015928","AAO75932.1","uxaB","uxaB BT_0825","cytosol [GO:0005829]; mannitol-1-phosphate 5-dehydrogenase activity [GO:0008926]; tagaturonate reductase activity [GO:0009026]; mannitol catabolic process [GO:0019592]","GO:0005829; GO:0008926; GO:0009026; GO:0019592","bth:BT_0825","COG0246",NA
"13","UXAC_BACTN","Q8A9J2","Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)","226186","Q8A9J2","AE015928","AAO75930.1","uxaC","uxaC BT_0823","glucuronate isomerase activity [GO:0008880]; D-galacturonate catabolic process [GO:0019698]; D-glucuronate catabolic process [GO:0042840]","GO:0008880; GO:0019698; GO:0042840","bth:BT_0823","COG1904",NA
