"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"P0C7B4","regulation of transcription, DNA-templated [GO:0006355]",NA,NA
"2",NA,NA,NA,"P0C050","cytoplasm [GO:0005737]",NA,NA
"3",NA,NA,NA,"Q9AGS7","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA,NA
"4",NA,NA,NA,"A0A290QLQ6",NA,NA,NA
"5",NA,NA,NA,"A0A290QKJ6",NA,NA,NA
"6",NA,NA,NA,"A0A290QIP5",NA,NA,NA
"7",NA,NA,NA,"A0A290QFB7",NA,NA,NA
"8",NA,NA,NA,"A0A290QFQ5",NA,NA,NA
"9",NA,NA,NA,"A0A290QIB9",NA,NA,NA
"10",NA,NA,NA,"A0A290QHR3",NA,NA,NA
"11",NA,NA,NA,"A0A290QGM0",NA,NA,NA
"12",NA,NA,NA,"A0A290QDD8",NA,NA,NA
"13",NA,NA,NA,"A0A290QDB4",NA,NA,NA
"14",NA,NA,NA,"A0A290QLM0",NA,NA,NA
"15",NA,NA,NA,"A0A290QJE0",NA,NA,NA
"16",NA,NA,NA,"A0A290QQ36",NA,NA,NA
"17",NA,NA,NA,"A0A290QQ27",NA,NA,NA
"18",NA,NA,NA,"A0A290QSS4",NA,NA,NA
"19",NA,NA,NA,"A0A290QJD1",NA,NA,NA
"20",NA,NA,NA,"A0A290QJN3",NA,NA,NA
"21",NA,NA,NA,"A0A290QHB9","exonuclease activity [GO:0004527]",NA,NA
"22",NA,NA,NA,"A0A290QQJ6",NA,NA,NA
"23",NA,NA,NA,"A0A290QPF3",NA,NA,NA
"24",NA,NA,NA,"A0A290QJQ3","ribosome [GO:0005840]",NA,NA
"25",NA,NA,NA,"A0A290QCC5",NA,NA,NA
"26",NA,NA,NA,"A0A290QIU7","ribosome [GO:0005840]",NA,NA
"27",NA,NA,NA,"A0A290QEJ3",NA,NA,NA
"28",NA,NA,NA,"A0A290QFW2",NA,NA,NA
"29",NA,NA,NA,"A0A290QPZ4","monooxygenase activity [GO:0004497]",NA,NA
"30",NA,NA,NA,"A0A290QLL8",NA,NA,NA
"31",NA,NA,NA,"A0A290QP71",NA,NA,NA
"32",NA,NA,NA,"A0A290QK48",NA,NA,NA
"33",NA,NA,NA,"A0A290QE04",NA,NA,NA
"34",NA,NA,NA,"A0A290QJ77","ribosome [GO:0005840]",NA,NA
"35",NA,NA,NA,"A0A290QNB9","ligase activity [GO:0016874]",NA,NA
"36",NA,NA,NA,"A0A290QDD3",NA,NA,NA
"37",NA,NA,NA,"A0A290QPA5",NA,NA,NA
"38",NA,NA,NA,"A0A290QHT3",NA,NA,NA
"39",NA,NA,NA,"A0A290QM28",NA,NA,NA
"40",NA,NA,NA,"A0A290QRA3",NA,NA,NA
"41",NA,NA,NA,"A0A290QFX9",NA,NA,NA
"42",NA,NA,NA,"A0A290QFW6","kinase activity [GO:0016301]",NA,NA
"43",NA,NA,NA,"A0A290QIB1",NA,NA,NA
"44",NA,NA,NA,"A0A290QN63",NA,NA,NA
"45",NA,NA,NA,"A0A290QNM4","DNA-directed 5'-3' RNA polymerase activity [GO:0003899]",NA,NA
"46",NA,NA,NA,"A0A290QUN2",NA,NA,NA
"47",NA,NA,NA,"A0A290QHG4",NA,NA,NA
"48",NA,NA,NA,"A0A290QPV9",NA,NA,NA
"49",NA,NA,NA,"A0A290QFJ8","cell division [GO:0051301]",NA,NA
"50",NA,NA,NA,"A0A290QK88","ligase activity [GO:0016874]",NA,NA
"51",NA,NA,NA,"A0A290QLF1","hydrolase activity [GO:0016787]; transferase activity [GO:0016740]",NA,NA
"52",NA,NA,NA,"A0A290QK74",NA,NA,NA
"53",NA,NA,NA,"A0A290QHH4",NA,NA,NA
"54",NA,NA,NA,"A0A290QN82",NA,NA,NA
"55",NA,NA,NA,"A0A290QD53",NA,NA,NA
"56",NA,NA,NA,"A0A290QQB7",NA,NA,NA
"57",NA,NA,NA,"A0A290QL02",NA,NA,NA
"58",NA,NA,NA,"A0A290QK85",NA,NA,NA
"59",NA,NA,NA,"A0A290QEB2",NA,NA,NA
"60",NA,NA,NA,"A0A290QPG8",NA,NA,NA
"61",NA,NA,NA,"A0A290QIQ5",NA,NA,NA
"62",NA,NA,NA,"A0A290QMR1",NA,NA,NA
