"","Gene","Pathway"
"1","bps:BPSL0001","Glutathione metabolism"
"2","bps:BPSL0001","Metabolic pathways"
"3","bps:BPSL0007","Bacterial secretion system"
"4","bps:BPSL0008","Bacterial secretion system"
"5","bps:BPSL0009","Bacterial secretion system"
"6","bps:BPSL0010","Bacterial secretion system"
"7","bps:BPSL0011","Bacterial secretion system"
"8","bps:BPSL0012","Bacterial secretion system"
"9","bps:BPSL0013","Bacterial secretion system"
"10","bps:BPSL0014","Bacterial secretion system"
"11","bps:BPSL0015","Bacterial secretion system"
"12","bps:BPSL0016","Bacterial secretion system"
"13","bps:BPSL0017","Bacterial secretion system"
"14","bps:BPSL0026","Flagellar assembly"
"15","bps:BPSL0027","Bacterial chemotaxis"
"16","bps:BPSL0027","Flagellar assembly"
"17","bps:BPSL0028","Bacterial chemotaxis"
"18","bps:BPSL0028","Flagellar assembly"
"19","bps:BPSL0029","Flagellar assembly"
"20","bps:BPSL0030","Flagellar assembly"
"21","bps:BPSL0031","Flagellar assembly"
"22","bps:BPSL0032","Flagellar assembly"
"23","bps:BPSL0036","Sulfur metabolism"
"24","bps:BPSL0036","ABC transporters"
"25","bps:BPSL0037","Sulfur metabolism"
"26","bps:BPSL0037","ABC transporters"
"27","bps:BPSL0038","Sulfur metabolism"
"28","bps:BPSL0038","ABC transporters"
"29","bps:BPSL0039","Two-component system"
"30","bps:BPSL0046","ABC transporters"
"31","bps:BPSL0046","Quorum sensing"
"32","bps:BPSL0047","ABC transporters"
"33","bps:BPSL0047","Quorum sensing"
"34","bps:BPSL0048","ABC transporters"
"35","bps:BPSL0048","Quorum sensing"
"36","bps:BPSL0049","ABC transporters"
"37","bps:BPSL0049","Quorum sensing"
"38","bps:BPSL0050","ABC transporters"
"39","bps:BPSL0050","Quorum sensing"
"40","bps:BPSL0051","Tyrosine metabolism"
"41","bps:BPSL0051","Phenylalanine metabolism"
"42","bps:BPSL0051","Styrene degradation"
"43","bps:BPSL0051","Metabolic pathways"
"44","bps:BPSL0051","Microbial metabolism in diverse environments"
