"","Gene","Pathway"
"1","spd:SPD_0001","Two-component system"
"2","spd:SPD_0002","DNA replication"
"3","spd:SPD_0002","Mismatch repair"
"4","spd:SPD_0002","Homologous recombination"
"5","spd:SPD_0006","Nucleotide excision repair"
"6","spd:SPD_0010","beta-Lactam resistance"
"7","spd:SPD_0010","Two-component system"
"8","spd:SPD_0012","Purine metabolism"
"9","spd:SPD_0012","Metabolic pathways"
"10","spd:SPD_0012","Biosynthesis of secondary metabolites"
"11","spd:SPD_0014","Two-component system"
"12","spd:SPD_0014","Quorum sensing"
"13","spd:SPD_0015","Aminoacyl-tRNA biosynthesis"
"14","spd:SPD_0016","Ribosome"
"15","spd:SPD_0017","Aminoacyl-tRNA biosynthesis"
"16","spd:SPD_0018","Ribosome"
"17","spd:SPD_0019","Ribosome"
"18","spd:SPD_0020","Aminoacyl-tRNA biosynthesis"
"19","spd:SPD_0024","Purine metabolism"
"20","spd:SPD_0024","Alanine, aspartate and glutamate metabolism"
"21","spd:SPD_0024","Metabolic pathways"
"22","spd:SPD_0024","Biosynthesis of cofactors"
"23","spd:SPD_0026","Protein export"
"24","spd:SPD_0027","Pyrimidine metabolism"
"25","spd:SPD_0027","Metabolic pathways"
"26","spd:SPD_0030","Nitrogen metabolism"
"27","spd:SPD_0030","Metabolic pathways"
"28","spd:SPD_0033","Pentose phosphate pathway"
"29","spd:SPD_0033","Purine metabolism"
"30","spd:SPD_0033","Metabolic pathways"
"31","spd:SPD_0033","Biosynthesis of secondary metabolites"
"32","spd:SPD_0033","Microbial metabolism in diverse environments"
"33","spd:SPD_0033","Carbon metabolism"
"34","spd:SPD_0033","Biosynthesis of amino acids"
"35","spd:SPD_0038","DNA replication"
"36","spd:SPD_0038","Base excision repair"
"37","spd:SPD_0038","Nucleotide excision repair"
"38","spd:SPD_0038","Homologous recombination"
"39","spd:SPD_0041","Lysine biosynthesis"
"40","spd:SPD_0041","Metabolic pathways"
"41","spd:SPD_0041","Biosynthesis of secondary metabolites"
"42","spd:SPD_0041","Biosynthesis of amino acids"
"43","spd:SPD_0042","Homologous recombination"
"44","spd:SPD_0043","Glycerolipid metabolism"
"45","spd:SPD_0043","Metabolic pathways"
"46","spd:SPD_0043","Biosynthesis of secondary metabolites"
"47","spd:SPD_0044","Metabolic pathways"
"48","spd:SPD_0044","Biosynthesis of secondary metabolites"
"49","spd:SPD_0049","ABC transporters"
"50","spd:SPD_0049","Two-component system"
"51","spd:SPD_0049","Quorum sensing"
"52","spd:SPD_0050","Two-component system"
"53","spd:SPD_0050","Quorum sensing"
"54","spd:SPD_0051","Purine metabolism"
"55","spd:SPD_0051","Metabolic pathways"
"56","spd:SPD_0051","Biosynthesis of secondary metabolites"
"57","spd:SPD_0052","Purine metabolism"
"58","spd:SPD_0052","Metabolic pathways"
"59","spd:SPD_0052","Biosynthesis of secondary metabolites"
"60","spd:SPD_0053","Purine metabolism"
"61","spd:SPD_0053","Alanine, aspartate and glutamate metabolism"
"62","spd:SPD_0053","Metabolic pathways"
"63","spd:SPD_0053","Biosynthesis of secondary metabolites"
"64","spd:SPD_0054","Purine metabolism"
"65","spd:SPD_0054","Metabolic pathways"
"66","spd:SPD_0054","Biosynthesis of secondary metabolites"
"67","spd:SPD_0055","Purine metabolism"
"68","spd:SPD_0055","One carbon pool by folate"
"69","spd:SPD_0055","Metabolic pathways"
"70","spd:SPD_0055","Biosynthesis of secondary metabolites"
"71","spd:SPD_0057","Purine metabolism"
"72","spd:SPD_0057","One carbon pool by folate"
"73","spd:SPD_0057","Metabolic pathways"
"74","spd:SPD_0057","Biosynthesis of secondary metabolites"
"75","spd:SPD_0058","Purine metabolism"
"76","spd:SPD_0058","Metabolic pathways"
"77","spd:SPD_0058","Biosynthesis of secondary metabolites"
"78","spd:SPD_0059","Purine metabolism"
"79","spd:SPD_0059","Metabolic pathways"
"80","spd:SPD_0059","Biosynthesis of secondary metabolites"
"81","spd:SPD_0060","Purine metabolism"
"82","spd:SPD_0060","Metabolic pathways"
"83","spd:SPD_0060","Biosynthesis of secondary metabolites"
"84","spd:SPD_0062","Purine metabolism"
"85","spd:SPD_0062","Alanine, aspartate and glutamate metabolism"
"86","spd:SPD_0062","Metabolic pathways"
"87","spd:SPD_0062","Biosynthesis of secondary metabolites"
"88","spd:SPD_0062","Biosynthesis of cofactors"
"89","spd:SPD_0063","Other glycan degradation"
"90","spd:SPD_0063","Amino sugar and nucleotide sugar metabolism"
"91","spd:SPD_0063","Metabolic pathways"
"92","spd:SPD_0065","Galactose metabolism"
"93","spd:SPD_0067","Fructose and mannose metabolism"
"94","spd:SPD_0067","Amino sugar and nucleotide sugar metabolism"
"95","spd:SPD_0067","Metabolic pathways"
"96","spd:SPD_0067","Phosphotransferase system (PTS)"
"97","spd:SPD_0068","Fructose and mannose metabolism"
"98","spd:SPD_0068","Amino sugar and nucleotide sugar metabolism"
"99","spd:SPD_0068","Metabolic pathways"
"100","spd:SPD_0068","Phosphotransferase system (PTS)"
"101","spd:SPD_0069","Fructose and mannose metabolism"
"102","spd:SPD_0069","Amino sugar and nucleotide sugar metabolism"
"103","spd:SPD_0069","Metabolic pathways"
"104","spd:SPD_0069","Phosphotransferase system (PTS)"
"105","spd:SPD_0070","Galactose metabolism"
"106","spd:SPD_0070","Metabolic pathways"
"107","spd:SPD_0071","Glycolysis / Gluconeogenesis"
"108","spd:SPD_0071","Galactose metabolism"
"109","spd:SPD_0071","Metabolic pathways"
"110","spd:SPD_0071","Biosynthesis of secondary metabolites"
"111","spd:SPD_0071","Microbial metabolism in diverse environments"
"112","spd:SPD_0072","Benzoate degradation"
"113","spd:SPD_0072","Xylene degradation"
"114","spd:SPD_0072","Metabolic pathways"
"115","spd:SPD_0072","Microbial metabolism in diverse environments"
"116","spd:SPD_0072","Degradation of aromatic compounds"
"117","spd:SPD_0081","Two-component system"
"118","spd:SPD_0082","Two-component system"
"119","spd:SPD_0083","Ribosome"
"120","spd:SPD_0088","ABC transporters"
"121","spd:SPD_0089","ABC transporters"
"122","spd:SPD_0090","ABC transporters"
"123","spd:SPD_0101","Glyoxylate and dicarboxylate metabolism"
"124","spd:SPD_0101","Metabolic pathways"
"125","spd:SPD_0101","Biosynthesis of secondary metabolites"
"126","spd:SPD_0102","Glycine, serine and threonine metabolism"
"127","spd:SPD_0102","Cysteine and methionine metabolism"
"128","spd:SPD_0102","Metabolic pathways"
"129","spd:SPD_0102","Biosynthesis of secondary metabolites"
"130","spd:SPD_0102","Carbon metabolism"
"131","spd:SPD_0102","Biosynthesis of amino acids"
"132","spd:SPD_0103","Glycine, serine and threonine metabolism"
"133","spd:SPD_0103","Cysteine and methionine metabolism"
"134","spd:SPD_0103","Metabolic pathways"
"135","spd:SPD_0103","Biosynthesis of secondary metabolites"
"136","spd:SPD_0103","Carbon metabolism"
"137","spd:SPD_0103","Biosynthesis of amino acids"
"138","spd:SPD_0110","Arginine biosynthesis"
"139","spd:SPD_0110","Alanine, aspartate and glutamate metabolism"
"140","spd:SPD_0110","Metabolic pathways"
"141","spd:SPD_0110","Biosynthesis of secondary metabolites"
"142","spd:SPD_0110","Biosynthesis of amino acids"
"143","spd:SPD_0111","Arginine biosynthesis"
"144","spd:SPD_0111","Alanine, aspartate and glutamate metabolism"
"145","spd:SPD_0111","Metabolic pathways"
"146","spd:SPD_0111","Biosynthesis of secondary metabolites"
"147","spd:SPD_0111","Biosynthesis of amino acids"
"148","spd:SPD_0115","Quorum sensing"
"149","spd:SPD_0127","Sulfur relay system"
"150","spd:SPD_0130","RNA degradation"
"151","spd:SPD_0143","Pentose and glucuronate interconversions"
"152","spd:SPD_0143","Ascorbate and aldarate metabolism"
"153","spd:SPD_0143","Amino sugar and nucleotide sugar metabolism"
"154","spd:SPD_0143","O-Antigen nucleotide sugar biosynthesis"
"155","spd:SPD_0143","Metabolic pathways"
