"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","U769_00005","","(GenBank) chromosomal replication initiation protein","Two-component system"
"2","U769_00010","","(GenBank) DNA polymerase III subunit beta","DNA replication, Mismatch repair, Homologous recombination"
"3","U769_00015","","(GenBank) recombinase RecF","Homologous recombination"
"4","U769_00025","","(GenBank) glycerol acyltransferase","Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"5","U769_00030","","(GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Lipopolysaccharide biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"6","U769_00040","glyS","(GenBank) glycyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"7","U769_00045","","(GenBank) glycyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"8","U769_00050","","(GenBank) 3-methyladenine DNA glycosylase","Base excision repair"
"9","U769_00055","","(GenBank) lauroyl acyltransferase","Lipopolysaccharide biosynthesis, Metabolic pathways"
"10","U769_00090","","(GenBank) methionyl-tRNA formyltransferase","One carbon pool by folate, Aminoacyl-tRNA biosynthesis, Metabolic pathways"
"11","U769_00120","","(GenBank) coproporphyrinogen III oxidase","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"12","U769_00125","aroE","(GenBank) shikimate 5-dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis, Biosynthesis of various plant secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"13","U769_00150","","(GenBank) glycine/betaine ABC transporter substrate-binding protein","ABC transporters"
"14","U769_00175","","(GenBank) LuxR family transcriptional regulator","Two-component system"
"15","U769_00180","trpA","(GenBank) tryptophan synthase subunit alpha","Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"16","U769_00185","","(GenBank) tryptophan synthase subunit beta","Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"17","U769_00285","","(GenBank) asparagine synthase","Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"18","U769_00350","","(GenBank) 5'-nucleotidase","Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"19","U769_00395","","(GenBank) serine/threonine protein kinase","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"20","U769_00400","","(GenBank) PppA","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"21","U769_00405","","(GenBank) type VI secretion system protein ImpM","Biofilm formation - Pseudomonas aeruginosa"
"22","U769_00410","","(GenBank) type VI secretion protein IcmF","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"23","U769_00415","","(GenBank) type VI secretion protein","Bacterial secretion system"
"24","U769_00420","","(GenBank) type VI secretion protein","Biofilm formation - Pseudomonas aeruginosa"
"25","U769_00425","","(GenBank) type VI secretion protein","Bacterial secretion system"
"26","U769_00430","","(GenBank) signal peptide protein","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"27","U769_00435","","(GenBank) type VI secretion protein ImpA","Biofilm formation - Pseudomonas aeruginosa"
"28","U769_00440","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"29","U769_00445","","(GenBank) EvpB family type VI secretion protein","Biofilm formation - Pseudomonas aeruginosa"
"30","U769_00450","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"31","U769_00470","","(GenBank) type VI secretion protein","Biofilm formation - Pseudomonas aeruginosa"
"32","U769_00475","","(GenBank) ATPase AAA","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"33","U769_00480","","(GenBank) type VI secretion protein ImpA","Bacterial secretion system"
"34","U769_00505","","(GenBank) type VI secretion protein ImpA","Bacterial secretion system"
"35","U769_00520","","(GenBank) 3-oxoacyl-ACP synthase","Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Fatty acid metabolism, Biosynthesis of cofactors"
"36","U769_00540","","(GenBank) carbonate dehydratase","Nitrogen metabolism, Metabolic pathways"
"37","U769_00555","","(GenBank) cytochrome B559 subunit alpha","Oxidative phosphorylation, Metabolic pathways"
"38","U769_00560","","(GenBank) cytochrome oxidase subunit I","Oxidative phosphorylation, Metabolic pathways"
