"","Gene","Pathway"
"1","hin:HI_0001  (GenBank) glyceraldehyde-3-phosphate dehydrogenase (gapdH)","Glycolysis / Gluconeogenesis"
"2","hin:HI_0001  (GenBank) glyceraldehyde-3-phosphate dehydrogenase (gapdH)","Metabolic pathways"
"3","hin:HI_0001  (GenBank) glyceraldehyde-3-phosphate dehydrogenase (gapdH)","Biosynthesis of secondary metabolites"
"4","hin:HI_0001  (GenBank) glyceraldehyde-3-phosphate dehydrogenase (gapdH)","Microbial metabolism in diverse environments"
"5","hin:HI_0001  (GenBank) glyceraldehyde-3-phosphate dehydrogenase (gapdH)","Carbon metabolism"
"6","hin:HI_0001  (GenBank) glyceraldehyde-3-phosphate dehydrogenase (gapdH)","Biosynthesis of amino acids"
"7","hin:HI_0002  (GenBank) long chain fatty acid coA ligase, putative","Fatty acid biosynthesis"
"8","hin:HI_0002  (GenBank) long chain fatty acid coA ligase, putative","Fatty acid degradation"
"9","hin:HI_0002  (GenBank) long chain fatty acid coA ligase, putative","Metabolic pathways"
"10","hin:HI_0002  (GenBank) long chain fatty acid coA ligase, putative","Fatty acid metabolism"
"11","hin:HI_0002  (GenBank) long chain fatty acid coA ligase, putative","Quorum sensing"
"12","hin:HI_0007  (GenBank) formate dehydrogenase, beta subunit (fdxH)","Glyoxylate and dicarboxylate metabolism"
"13","hin:HI_0007  (GenBank) formate dehydrogenase, beta subunit (fdxH)","Methane metabolism"
"14","hin:HI_0007  (GenBank) formate dehydrogenase, beta subunit (fdxH)","Metabolic pathways"
"15","hin:HI_0007  (GenBank) formate dehydrogenase, beta subunit (fdxH)","Microbial metabolism in diverse environments"
"16","hin:HI_0007  (GenBank) formate dehydrogenase, beta subunit (fdxH)","Carbon metabolism"
"17","hin:HI_0008  (GenBank) formate dehydrogenase, gamma subunit (fdxI)","Glyoxylate and dicarboxylate metabolism"
"18","hin:HI_0008  (GenBank) formate dehydrogenase, gamma subunit (fdxI)","Methane metabolism"
"19","hin:HI_0008  (GenBank) formate dehydrogenase, gamma subunit (fdxI)","Metabolic pathways"
"20","hin:HI_0008  (GenBank) formate dehydrogenase, gamma subunit (fdxI)","Microbial metabolism in diverse environments"
"21","hin:HI_0008  (GenBank) formate dehydrogenase, gamma subunit (fdxI)","Carbon metabolism"
"22","hin:HI_0011  (GenBank) DNA polymerase III, psi subunit (holD)","DNA replication"
"23","hin:HI_0011  (GenBank) DNA polymerase III, psi subunit (holD)","Mismatch repair"
"24","hin:HI_0011  (GenBank) DNA polymerase III, psi subunit (holD)","Homologous recombination"
"25","hin:HI_0015  (GenBank) signal peptidase I (lepB)","Protein export"
"26","hin:HI_0018  (GenBank) uracil DNA glycosylase (ung)","Base excision repair"
"27","hin:HI_0021  (GenBank) citG protein (citG)","Two-component system"
"28","hin:HI_0022  (GenBank) citrate lyase, alpha chain (citF)","Two-component system"
"29","hin:HI_0023  (GenBank) citrate lyase, beta chain (citE)","Two-component system"
"30","hin:HI_0024  (GenBank) citrate lyase, gamma chain (citD)","Two-component system"
"31","hin:HI_0025  (GenBank) citrate lyase ligase (citC)","Two-component system"
"32","hin:HI_0026  (GenBank) lipoate biosynthesis protein A (lipA)","Lipoic acid metabolism"
"33","hin:HI_0026  (GenBank) lipoate biosynthesis protein A (lipA)","Metabolic pathways"
"34","hin:HI_0026  (GenBank) lipoate biosynthesis protein A (lipA)","Biosynthesis of cofactors"
"35","hin:HI_0027  (GenBank) lipoate biosynthesis protein B (lipB)","Lipoic acid metabolism"
"36","hin:HI_0027  (GenBank) lipoate biosynthesis protein B (lipB)","Metabolic pathways"
"37","hin:HI_0027  (GenBank) lipoate biosynthesis protein B (lipB)","Biosynthesis of cofactors"
"38","hin:HI_0029  (GenBank) penicillin-binding protein 5 (dacA)","Peptidoglycan biosynthesis"
"39","hin:HI_0029  (GenBank) penicillin-binding protein 5 (dacA)","Metabolic pathways"
"40","hin:HI_0032  (GenBank) penicillin-binding protein 2 (pbp2)","Peptidoglycan biosynthesis"
"41","hin:HI_0032  (GenBank) penicillin-binding protein 2 (pbp2)","Metabolic pathways"
"42","hin:HI_0032  (GenBank) penicillin-binding protein 2 (pbp2)","beta-Lactam resistance"
"43","hin:HI_0036  (GenBank) ABC transporter, ATP-binding protein","ABC transporters"
"44","hin:HI_0041  (GenBank) exodeoxyribonuclease III (xthA)","Base excision repair"
"45","hin:HI_0047  (GenBank) 4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase (eda)","Pentose phosphate pathway"
"46","hin:HI_0047  (GenBank) 4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase (eda)","Glyoxylate and dicarboxylate metabolism"
"47","hin:HI_0047  (GenBank) 4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase (eda)","Metabolic pathways"
"48","hin:HI_0047  (GenBank) 4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase (eda)","Microbial metabolism in diverse environments"
"49","hin:HI_0047  (GenBank) 4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase (eda)","Carbon metabolism"
"50","hin:HI_0049  (GenBank) 2-dehydro-3-deoxygluconokinase (kdgK)","Pentose phosphate pathway"
"51","hin:HI_0049  (GenBank) 2-dehydro-3-deoxygluconokinase (kdgK)","Metabolic pathways"
"52","hin:HI_0049  (GenBank) 2-dehydro-3-deoxygluconokinase (kdgK)","Microbial metabolism in diverse environments"
"53","hin:HI_0049  (GenBank) 2-dehydro-3-deoxygluconokinase (kdgK)","Carbon metabolism"
"54","hin:HI_0055  (GenBank) mannonate dehydratase (uxuA)","Pentose and glucuronate interconversions"
"55","hin:HI_0055  (GenBank) mannonate dehydratase (uxuA)","Metabolic pathways"
"56","hin:HI_0057  (GenBank) excinuclease ABC, subunit C (uvrC)","Nucleotide excision repair"
"57","hin:HI_0058  (GenBank) 3-deoxy-D-manno-octulosonate cytidylyltransferase (kdsB)","Lipopolysaccharide biosynthesis"
"58","hin:HI_0058  (GenBank) 3-deoxy-D-manno-octulosonate cytidylyltransferase (kdsB)","Metabolic pathways"
"59","hin:HI_0058  (GenBank) 3-deoxy-D-manno-octulosonate cytidylyltransferase (kdsB)","Biosynthesis of nucleotide sugars"
"60","hin:HI_0059  (GenBank) conserved hypothetical protein","Lipopolysaccharide biosynthesis"
"61","hin:HI_0059  (GenBank) conserved hypothetical protein","Metabolic pathways"
"62","hin:HI_0060  (GenBank) ABC transporter, ATP-binding protein (msbA)","ABC transporters"
"63","hin:HI_0063  (GenBank) poly(A) polymerase (pcnB)","RNA degradation"
"64","hin:HI_0064  (GenBank) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine-pyrophosphokinase (folK)","Folate biosynthesis"
"65","hin:HI_0064  (GenBank) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine-pyrophosphokinase (folK)","Metabolic pathways"
"66","hin:HI_0064  (GenBank) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine-pyrophosphokinase (folK)","Biosynthesis of cofactors"
"67","hin:HI_0066  (GenBank) N-acetylmuramoyl-L-alanine amidase, putative","Cationic antimicrobial peptide (CAMP) resistance"
"68","hin:HI_0067  (GenBank) DNA mismatch repair protein (mutL)","Mismatch repair"
"69","hin:HI_0068  (GenBank) tRNA delta(2)-isopentenylpyrophosphate transferase (trpX)","Metabolic pathways"
"70","hin:HI_0068  (GenBank) tRNA delta(2)-isopentenylpyrophosphate transferase (trpX)","Biosynthesis of secondary metabolites"
"71","hin:HI_0072  (GenBank) conserved hypothetical protein","Nicotinate and nicotinamide metabolism"
"72","hin:HI_0072  (GenBank) conserved hypothetical protein","Metabolic pathways"
"73","hin:HI_0072  (GenBank) conserved hypothetical protein","Biosynthesis of cofactors"
"74","hin:HI_0075  (GenBank) anaerobic ribonucleoside-triphosphate reductase (nrdD)","Purine metabolism"
"75","hin:HI_0075  (GenBank) anaerobic ribonucleoside-triphosphate reductase (nrdD)","Pyrimidine metabolism"
"76","hin:HI_0075  (GenBank) anaerobic ribonucleoside-triphosphate reductase (nrdD)","Metabolic pathways"
"77","hin:HI_0075  (GenBank) anaerobic ribonucleoside-triphosphate reductase (nrdD)","Nucleotide metabolism"
"78","hin:HI_0076  (GenBank) acyl-CoA thioesterase II (tesB)","Biosynthesis of unsaturated fatty acids"
"79","hin:HI_0078  (GenBank) cysteinyl-tRNA synthetase (cysS)","Aminoacyl-tRNA biosynthesis"
"80","hin:HI_0085  (GenBank) D-lactate dehydrogenase, fermentative (ldhA)","Pyruvate metabolism"
"81","hin:HI_0085  (GenBank) D-lactate dehydrogenase, fermentative (ldhA)","Metabolic pathways"
"82","hin:HI_0085  (GenBank) D-lactate dehydrogenase, fermentative (ldhA)","Microbial metabolism in diverse environments"
"83","hin:HI_0086  (GenBank) cystathionine gamma-synthase (metB)","Cysteine and methionine metabolism"
"84","hin:HI_0086  (GenBank) cystathionine gamma-synthase (metB)","Selenocompound metabolism"
"85","hin:HI_0086  (GenBank) cystathionine gamma-synthase (metB)","Sulfur metabolism"
"86","hin:HI_0086  (GenBank) cystathionine gamma-synthase (metB)","Metabolic pathways"
"87","hin:HI_0086  (GenBank) cystathionine gamma-synthase (metB)","Biosynthesis of secondary metabolites"
"88","hin:HI_0086  (GenBank) cystathionine gamma-synthase (metB)","Biosynthesis of amino acids"
"89","hin:HI_0087  (GenBank) threonine synthase (thrC)","Glycine, serine and threonine metabolism"
"90","hin:HI_0087  (GenBank) threonine synthase (thrC)","Vitamin B6 metabolism"
"91","hin:HI_0087  (GenBank) threonine synthase (thrC)","Metabolic pathways"
"92","hin:HI_0087  (GenBank) threonine synthase (thrC)","Biosynthesis of secondary metabolites"
"93","hin:HI_0087  (GenBank) threonine synthase (thrC)","Microbial metabolism in diverse environments"
"94","hin:HI_0087  (GenBank) threonine synthase (thrC)","Biosynthesis of amino acids"
"95","hin:HI_0088  (GenBank) homoserine kinase (thrB)","Glycine, serine and threonine metabolism"
"96","hin:HI_0088  (GenBank) homoserine kinase (thrB)","Metabolic pathways"
"97","hin:HI_0088  (GenBank) homoserine kinase (thrB)","Biosynthesis of secondary metabolites"
"98","hin:HI_0088  (GenBank) homoserine kinase (thrB)","Microbial metabolism in diverse environments"
"99","hin:HI_0088  (GenBank) homoserine kinase (thrB)","Biosynthesis of amino acids"
"100","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Glycine, serine and threonine metabolism"
"101","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Monobactam biosynthesis"
"102","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Cysteine and methionine metabolism"
"103","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Lysine biosynthesis"
"104","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Metabolic pathways"
"105","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Biosynthesis of secondary metabolites"
"106","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Microbial metabolism in diverse environments"
"107","hin:HI_0089  (GenBank) aspartokinase I / homoserine dehydrogenase I (thrA)","Biosynthesis of amino acids"
"108","hin:HI_0091  (GenBank) conserved hypothetical protein","Glycine, serine and threonine metabolism"
"109","hin:HI_0091  (GenBank) conserved hypothetical protein","Glycerolipid metabolism"
"110","hin:HI_0091  (GenBank) conserved hypothetical protein","Glyoxylate and dicarboxylate metabolism"
"111","hin:HI_0091  (GenBank) conserved hypothetical protein","Metabolic pathways"
"112","hin:HI_0091  (GenBank) conserved hypothetical protein","Biosynthesis of secondary metabolites"
"113","hin:HI_0091  (GenBank) conserved hypothetical protein","Microbial metabolism in diverse environments"
"114","hin:HI_0097  (GenBank) iron(III) ABC transporter, periplasmic-binding protein (hitA)","ABC transporters"
"115","hin:HI_0098  (GenBank) iron(III) ABC transporter, permease protein (hitB)","ABC transporters"
"116","hin:HI_0099  (GenBank) iron(III) ABC transporter, ATP-binding protein (hitC)","ABC transporters"
"117","hin:HI_0102  (GenBank) succinyl-diaminopimelate desuccinylase (dapE)","Lysine biosynthesis"
"118","hin:HI_0102  (GenBank) succinyl-diaminopimelate desuccinylase (dapE)","Metabolic pathways"
"119","hin:HI_0102  (GenBank) succinyl-diaminopimelate desuccinylase (dapE)","Microbial metabolism in diverse environments"
"120","hin:HI_0102  (GenBank) succinyl-diaminopimelate desuccinylase (dapE)","Biosynthesis of amino acids"
"121","hin:HI_0106  (GenBank) signal recognition particle protein (ffh)","Quorum sensing"
"122","hin:HI_0106  (GenBank) signal recognition particle protein (ffh)","Protein export"
"123","hin:HI_0106  (GenBank) signal recognition particle protein (ffh)","Bacterial secretion system"
"124","hin:HI_0110  (GenBank) seryl-tRNA synthetase (serS)","Aminoacyl-tRNA biosynthesis"
"125","hin:HI_0111  (GenBank) glutathione transferase (bphH)","Glutathione metabolism"
"126","hin:HI_0111  (GenBank) glutathione transferase (bphH)","Metabolic pathways"
"127","hin:HI_0119  (GenBank) conserved hypothetical protein","ABC transporters"
"128","hin:HI_0122  (GenBank) cystathionine beta-lyase (metC)","Cysteine and methionine metabolism"
"129","hin:HI_0122  (GenBank) cystathionine beta-lyase (metC)","Selenocompound metabolism"
"130","hin:HI_0122  (GenBank) cystathionine beta-lyase (metC)","Metabolic pathways"
"131","hin:HI_0122  (GenBank) cystathionine beta-lyase (metC)","Biosynthesis of secondary metabolites"
"132","hin:HI_0122  (GenBank) cystathionine beta-lyase (metC)","Biosynthesis of amino acids"
"133","hin:HI_0123  (GenBank) phosphatidylglycerophosphate synthase (pgsA)","Glycerophospholipid metabolism"
"134","hin:HI_0123  (GenBank) phosphatidylglycerophosphate synthase (pgsA)","Metabolic pathways"
"135","hin:HI_0124  (GenBank) inorganic pyrophosphatase (ppa)","Oxidative phosphorylation"
"136","hin:HI_0126  (GenBank) ferric ABC transporter, ATP-binding protein (afuC)","ABC transporters"
"137","hin:HI_0129  (GenBank) predicted coding region HI0129","ABC transporters"
"138","hin:HI_0131  (GenBank) afuA protein","ABC transporters"
"139","hin:HI_0132  (GenBank) uridine kinase (udk)","Pyrimidine metabolism"
"140","hin:HI_0132  (GenBank) uridine kinase (udk)","Metabolic pathways"
"141","hin:HI_0132  (GenBank) uridine kinase (udk)","Nucleotide metabolism"
"142","hin:HI_0133  (GenBank) deoxycytidine triphosphate deaminase (dcd)","Pyrimidine metabolism"
"143","hin:HI_0133  (GenBank) deoxycytidine triphosphate deaminase (dcd)","Metabolic pathways"
"144","hin:HI_0133  (GenBank) deoxycytidine triphosphate deaminase (dcd)","Nucleotide metabolism"
"145","hin:HI_0137  (GenBank) DNA polymerase III, epsilon subunit (dnaQ)","DNA replication"
"146","hin:HI_0137  (GenBank) DNA polymerase III, epsilon subunit (dnaQ)","Mismatch repair"
"147","hin:HI_0137  (GenBank) DNA polymerase III, epsilon subunit (dnaQ)","Homologous recombination"
"148","hin:HI_0138  (GenBank) ribonuclease H (rnh)","DNA replication"
"149","hin:HI_0140  (GenBank) N-acetylglucosamine-6-phosphate deacetylase (nagA)","Amino sugar and nucleotide sugar metabolism"
"150","hin:HI_0140  (GenBank) N-acetylglucosamine-6-phosphate deacetylase (nagA)","Metabolic pathways"
"151","hin:HI_0141  (GenBank) glucosamine-6-phosphate isomerase (nagB)","Amino sugar and nucleotide sugar metabolism"
"152","hin:HI_0141  (GenBank) glucosamine-6-phosphate isomerase (nagB)","Metabolic pathways"
"153","hin:HI_0142  (GenBank) N-acetylneuraminate lyase (nanA)","Amino sugar and nucleotide sugar metabolism"
"154","hin:HI_0142  (GenBank) N-acetylneuraminate lyase (nanA)","Metabolic pathways"
"155","hin:HI_0144  (GenBank) glucose kinase, putative","Amino sugar and nucleotide sugar metabolism"
"156","hin:HI_0144  (GenBank) glucose kinase, putative","Metabolic pathways"
"157","hin:HI_0145  (GenBank) conserved hypothetical protein","Amino sugar and nucleotide sugar metabolism"
"158","hin:HI_0145  (GenBank) conserved hypothetical protein","Metabolic pathways"
"159","hin:HI_0152  (GenBank) predicted coding region HI0152","Pantothenate and CoA biosynthesis"
"160","hin:HI_0152  (GenBank) predicted coding region HI0152","Metabolic pathways"
"161","hin:HI_0154  (GenBank) acyl carrier protein (acpP)","Metabolic pathways"
"162","hin:HI_0154  (GenBank) acyl carrier protein (acpP)","Biosynthesis of secondary metabolites"
"163","hin:HI_0155  (GenBank) 3-ketoacyl-acyl carrier protein reductase (fabG)","Fatty acid biosynthesis"
"164","hin:HI_0155  (GenBank) 3-ketoacyl-acyl carrier protein reductase (fabG)","Biotin metabolism"
"165","hin:HI_0155  (GenBank) 3-ketoacyl-acyl carrier protein reductase (fabG)","Metabolic pathways"
"166","hin:HI_0155  (GenBank) 3-ketoacyl-acyl carrier protein reductase (fabG)","Biosynthesis of secondary metabolites"
"167","hin:HI_0155  (GenBank) 3-ketoacyl-acyl carrier protein reductase (fabG)","Fatty acid metabolism"
"168","hin:HI_0155  (GenBank) 3-ketoacyl-acyl carrier protein reductase (fabG)","Biosynthesis of cofactors"
"169","hin:HI_0156  (GenBank) malonyl CoA-acyl carrier protein transacylase (fabD)","Fatty acid biosynthesis"
"170","hin:HI_0156  (GenBank) malonyl CoA-acyl carrier protein transacylase (fabD)","Metabolic pathways"
"171","hin:HI_0156  (GenBank) malonyl CoA-acyl carrier protein transacylase (fabD)","Biosynthesis of secondary metabolites"
"172","hin:HI_0156  (GenBank) malonyl CoA-acyl carrier protein transacylase (fabD)","Fatty acid metabolism"
"173","hin:HI_0157  (GenBank) beta-ketoacyl-ACP synthase III (fabH)","Fatty acid biosynthesis"
"174","hin:HI_0157  (GenBank) beta-ketoacyl-ACP synthase III (fabH)","Metabolic pathways"
"175","hin:HI_0157  (GenBank) beta-ketoacyl-ACP synthase III (fabH)","Fatty acid metabolism"
"176","hin:HI_0158  (GenBank) ribosomal protein L32 (rpL32)","Ribosome"
"177","hin:HI_0160  (GenBank) phosphatidylserine decarboxylase proenzyme (psd)","Glycerophospholipid metabolism"
"178","hin:HI_0160  (GenBank) phosphatidylserine decarboxylase proenzyme (psd)","Metabolic pathways"
"179","hin:HI_0160  (GenBank) phosphatidylserine decarboxylase proenzyme (psd)","Biosynthesis of secondary metabolites"
"180","hin:HI_0161  (GenBank) glutathione reductase (gor)","Glutathione metabolism"
"181","hin:HI_0161  (GenBank) glutathione reductase (gor)","Metabolic pathways"
"182","hin:HI_0174  (GenBank) conserved hypothetical protein","Sulfur relay system"
"183","hin:HI_0175  (GenBank) conserved hypothetical protein","Purine metabolism"
"184","hin:HI_0175  (GenBank) conserved hypothetical protein","Cysteine and methionine metabolism"
"185","hin:HI_0175  (GenBank) conserved hypothetical protein","Metabolic pathways"
"186","hin:HI_0175  (GenBank) conserved hypothetical protein","Nucleotide metabolism"
"187","hin:HI_0180  (GenBank) formate acetyltransferase (pfl)","Pyruvate metabolism"
"188","hin:HI_0180  (GenBank) formate acetyltransferase (pfl)","Propanoate metabolism"
"189","hin:HI_0180  (GenBank) formate acetyltransferase (pfl)","Butanoate metabolism"
"190","hin:HI_0180  (GenBank) formate acetyltransferase (pfl)","Metabolic pathways"
"191","hin:HI_0180  (GenBank) formate acetyltransferase (pfl)","Microbial metabolism in diverse environments"
"192","hin:HI_0182  (GenBank) sugar kinase, putative","Amino sugar and nucleotide sugar metabolism"
"193","hin:HI_0182  (GenBank) sugar kinase, putative","Metabolic pathways"
"194","hin:HI_0182  (GenBank) sugar kinase, putative","Biosynthesis of nucleotide sugars"
"195","hin:HI_0184  (GenBank) esterase","Methane metabolism"
"196","hin:HI_0184  (GenBank) esterase","Metabolic pathways"
"197","hin:HI_0184  (GenBank) esterase","Microbial metabolism in diverse environments"
"198","hin:HI_0184  (GenBank) esterase","Carbon metabolism"
"199","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Glycolysis / Gluconeogenesis"
"200","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Fatty acid degradation"
"201","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Tyrosine metabolism"
"202","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Pyruvate metabolism"
"203","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Chloroalkane and chloroalkene degradation"
"204","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Naphthalene degradation"
"205","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Methane metabolism"
"206","hin:HI_0185  (GenBank) alcohol dehydrogenase, class III (adhC)","Metabolic pathways"
