"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"A0PA81","cell outer membrane [GO:0009279]",NA,NA
"2",NA,NA,NA,"V6C0R4",NA,NA,NA
"3",NA,NA,NA,"A0A1B2AI22","oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]; cellular amino acid metabolic process [GO:0006520]",NA,NA
"4","PGN_0001","dnaA","(GenBank) chromosomal replication initiator protein DnaA","B2RGM5","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]","COG0593","Two-component system"
"5","PGN_0002","","(GenBank) conserved hypothetical protein","B2RGM6","transferase activity [GO:0016740]","COG0110","Amino sugar and nucleotide sugar metabolism, O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"6","PGN_0003",NA,NA,"B2RGM7","integral component of membrane [GO:0016021]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","COG3274",NA
"7","PGN_0004","","(GenBank) putative nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase","B2RGM8","cytoplasm [GO:0005737]; glycosyltransferase activity [GO:0016757]; NAD+ binding [GO:0070403]; NAD-dependent protein deacetylase activity [GO:0034979]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]","COG0846","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"8","PGN_0005",NA,NA,"B2RGM9","integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]","COG1408",NA
"9","PGN_0006",NA,NA,"B2RGN0","integral component of membrane [GO:0016021]; antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]","COG0534",NA
"10","PGN_0007",NA,NA,"B2RGN1",NA,NA,NA
"11","PGN_0008",NA,NA,"B2RGN2","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]","COG0542",NA
"12","PGN_0009","","(GenBank) glycosyl hydrolase family 3","B2RGN3","hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]","COG1472","Amino sugar and nucleotide sugar metabolism, Metabolic pathways, beta-Lactam resistance"
