"","Gene","Pathway"
"1","afm:AFUA_1G02500  (RefSeq) origin recognition complex subunit Orc5","Cell cycle - yeast"
"2","afm:AFUA_1G02500  (RefSeq) origin recognition complex subunit Orc5","Meiosis - yeast"
"3","afm:AFUA_1G10020  (RefSeq) ribonuclease H1","DNA replication"
"4","afm:AFUA_1G10355  (RefSeq) 26 proteasome complex subunit Sem1","Proteasome"
"5","afm:AFUA_1G10355  (RefSeq) 26 proteasome complex subunit Sem1","Homologous recombination"
"6","afm:AFUA_1G10497  (RefSeq) vesicle transport v-SNARE protein Gos1","SNARE interactions in vesicular transport"
"7","afm:AFUA_1G16523  (RefSeq) 40S ribosomal protein S25","Ribosome"
"8","afm:AFUA_2G01330  (RefSeq) exosome complex subunit Rrp46","RNA degradation"
"9","afm:AFUA_2G05110  (RefSeq) small nuclear ribonucleoprotein SmD1","Spliceosome"
"10","afm:AFUA_2G05470  (RefSeq) sister chromatid cohesion protein Mis4","Cell cycle - yeast"
"11","afm:AFUA_2G08370  (RefSeq) glutathione S-transferase","Glutathione metabolism"
"12","afm:AFUA_2G08370  (RefSeq) glutathione S-transferase","Metabolic pathways"
"13","afm:AFUA_2G10855  (RefSeq) phosphoribosylglycinamide formyltransferase","Purine metabolism"
"14","afm:AFUA_2G10855  (RefSeq) phosphoribosylglycinamide formyltransferase","One carbon pool by folate"
"15","afm:AFUA_2G10855  (RefSeq) phosphoribosylglycinamide formyltransferase","Metabolic pathways"
"16","afm:AFUA_2G10855  (RefSeq) phosphoribosylglycinamide formyltransferase","Biosynthesis of secondary metabolites"
"17","afm:AFUA_2G12020  (RefSeq) U6 snRNA-associated Sm-like protein LSM4","RNA degradation"
"18","afm:AFUA_2G12020  (RefSeq) U6 snRNA-associated Sm-like protein LSM4","Spliceosome"
"19","afm:AFUA_2G12560  (RefSeq) pterin-4-alpha-carbinolamine dehydratase family protein","Folate biosynthesis"
"20","afm:AFUA_2G12560  (RefSeq) pterin-4-alpha-carbinolamine dehydratase family protein","Metabolic pathways"
"21","afm:AFUA_2G13295  (RefSeq) aminotransferase family protein (LolT)","Histidine metabolism"
"22","afm:AFUA_2G13295  (RefSeq) aminotransferase family protein (LolT)","Metabolic pathways"
"23","afm:AFUA_2G13710  (RefSeq) NADH-ubiquinone oxidoreductase 49 kDa subunit","Oxidative phosphorylation"
"24","afm:AFUA_2G13710  (RefSeq) NADH-ubiquinone oxidoreductase 49 kDa subunit","Metabolic pathways"
"25","afm:AFUA_2G14210  (RefSeq) dihydroxy acid dehydratase Ilv3","Valine, leucine and isoleucine biosynthesis"
"26","afm:AFUA_2G14210  (RefSeq) dihydroxy acid dehydratase Ilv3","Pantothenate and CoA biosynthesis"
"27","afm:AFUA_2G14210  (RefSeq) dihydroxy acid dehydratase Ilv3","Metabolic pathways"
"28","afm:AFUA_2G14210  (RefSeq) dihydroxy acid dehydratase Ilv3","Biosynthesis of secondary metabolites"
"29","afm:AFUA_2G14210  (RefSeq) dihydroxy acid dehydratase Ilv3","2-Oxocarboxylic acid metabolism"
"30","afm:AFUA_2G14210  (RefSeq) dihydroxy acid dehydratase Ilv3","Biosynthesis of amino acids"
"31","afm:AFUA_2G16692  (RefSeq) vacuolar sorting protein SNF7 family protein","Endocytosis"
"32","afm:AFUA_3G03510  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Ubiquinone and other terpenoid-quinone biosynthesis"
"33","afm:AFUA_3G03510  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Tyrosine metabolism"
"34","afm:AFUA_3G03510  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Phenylalanine metabolism"
"35","afm:AFUA_3G03510  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Metabolic pathways"
"36","afm:AFUA_3G03510  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Biosynthesis of cofactors"
"37","afm:AFUA_3G06200  (RefSeq) anaphase-promoting complex subunit Apc5","Cell cycle - yeast"
"38","afm:AFUA_3G06200  (RefSeq) anaphase-promoting complex subunit Apc5","Meiosis - yeast"
"39","afm:AFUA_3G06200  (RefSeq) anaphase-promoting complex subunit Apc5","Ubiquitin mediated proteolysis"
"40","afm:AFUA_3G06901  (RefSeq) protein translocation complex subunit Sss1","Protein export"
"41","afm:AFUA_3G06901  (RefSeq) protein translocation complex subunit Sss1","Protein processing in endoplasmic reticulum"
"42","afm:AFUA_3G06901  (RefSeq) protein translocation complex subunit Sss1","Phagosome"
"43","afm:AFUA_3G09470  (RefSeq) 3-hydroxyisobutyrate dehydrogenase","Valine, leucine and isoleucine degradation"
"44","afm:AFUA_3G09470  (RefSeq) 3-hydroxyisobutyrate dehydrogenase","Metabolic pathways"
"45","afm:AFUA_3G11980  (RefSeq) oxidoreductase, 2OG-Fe(II) oxygenase family family","Arginine and proline metabolism"
"46","afm:AFUA_3G11980  (RefSeq) oxidoreductase, 2OG-Fe(II) oxygenase family family","Metabolic pathways"
"47","afm:AFUA_3G12120  (RefSeq) fatty acid oxygenase PpoC","Linoleic acid metabolism"
"48","afm:AFUA_3G14820  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Ubiquinone and other terpenoid-quinone biosynthesis"
"49","afm:AFUA_3G14820  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Tyrosine metabolism"
"50","afm:AFUA_3G14820  (RefSeq) 4-hydroxyphenylpyruvate dioxygenase","Phenylalanine metabolism"
