"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"H9CJR2","integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]",NA,NA
"2",NA,NA,NA,"H9CJR6","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; ATP synthesis coupled electron transport [GO:0042773]",NA,NA
"3",NA,NA,NA,"G3DQJ8","hydrolase activity [GO:0016787]",NA,NA
"4",NA,NA,NA,"G5D8T1","guanyl-nucleotide exchange factor activity [GO:0005085]; positive regulation of conidium formation [GO:0075307]",NA,NA
"5",NA,NA,NA,"H9CJR7","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]",NA,NA
"6",NA,NA,NA,"H9CJR3","mitochondrion [GO:0005739]",NA,NA
"7",NA,NA,NA,"G3DQJ6","hydrolase activity [GO:0016787]",NA,NA
"8",NA,NA,NA,"A0A0U8TB10","phosphorelay sensor kinase activity [GO:0000155]",NA,NA
"9",NA,NA,NA,"H9CJQ4","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",NA,NA
"10",NA,NA,NA,"H9CJQ5","integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]",NA,NA
"11",NA,NA,NA,"H9CJR8","mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]",NA,NA
"12",NA,NA,NA,"G3DQK0","triglyceride lipase activity [GO:0004806]; lipid catabolic process [GO:0016042]",NA,NA
"13",NA,NA,NA,"E6PBP9","adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]",NA,NA
"14",NA,NA,NA,"A7UC77","3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]",NA,NA
"15",NA,NA,NA,"H9CJR1","mitochondrion [GO:0005739]; endonuclease activity [GO:0004519]",NA,NA
"16",NA,NA,NA,"G3DQJ5","hydrolase activity [GO:0016787]",NA,NA
"17",NA,NA,NA,"A7YMT4","dioxygenase activity [GO:0051213]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]",NA,NA
"18",NA,NA,NA,"H9CJQ2","integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]",NA,NA
"19",NA,NA,NA,"H9CJQ9","integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]",NA,NA
"20",NA,NA,NA,"H9CJQ8","integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]",NA,NA
"21",NA,NA,NA,"G3DQJ9","hydrolase activity [GO:0016787]",NA,NA
"22",NA,NA,NA,"A0A068C8U8","1,3-beta-D-glucan synthase complex [GO:0000148]; hyphal tip [GO:0001411]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; asexual sporulation resulting in formation of a cellular spore [GO:0043936]; protein ADP-ribosylation [GO:0006471]; small GTPase mediated signal transduction [GO:0007264]",NA,NA
"23",NA,NA,NA,"G3DQK1","hydrolase activity [GO:0016787]",NA,NA
"24",NA,NA,NA,"H9CJQ0","mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; respiratory electron transport chain [GO:0022904]",NA,NA
"25",NA,NA,NA,"H9CJQ1","mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]",NA,NA
"26",NA,NA,NA,"H9CJR9","integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]",NA,NA
"27",NA,NA,NA,"H9CJQ7","mitochondrion [GO:0005739]; ribosome [GO:0005840]",NA,NA
"28",NA,NA,NA,"G3DQJ7","hydrolase activity [GO:0016787]",NA,NA
"29",NA,NA,NA,"H9CJR5","integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]",NA,NA
"30",NA,NA,NA,"H9CJR4","integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",NA,NA
"31",NA,NA,NA,"H9CJR0","integral component of membrane [GO:0016021]; mitochondrial respiratory chain complex IV [GO:0005751]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory electron transport chain [GO:0022904]",NA,NA
"32",NA,NA,NA,"H9CJQ6","integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; electron transfer activity [GO:0009055]; oxidoreduction-driven active transmembrane transporter activity [GO:0015453]; aerobic respiration [GO:0009060]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]",NA,NA
"33",NA,NA,NA,"H9CJQ3","integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",NA,NA
"34","AFUA_1G00100",NA,NA,"A4D9R7","integral component of fungal-type vacuolar membrane [GO:0071627]; integral component of membrane [GO:0016021]","KOG2504",NA
"35","AFUA_1G00110",NA,NA,"Q4WL57",NA,"ENOG502SF95",NA
"36","AFUA_1G00120",NA,NA,"Q4WL56",NA,NA,NA
"37","AFUA_1G00130",NA,NA,"Q4WL55","integral component of membrane [GO:0016021]",NA,NA
"38","AFUA_1G00150",NA,NA,"Q4WL53","cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151]; metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]","KOG1812",NA
"39","AFUA_1G00160",NA,NA,"Q4WL52",NA,"ENOG502RNV9",NA
"40","AFUA_1G00170",NA,NA,"Q4WL51",NA,NA,NA
"41","AFUA_1G00180",NA,NA,"Q4WL50",NA,NA,NA
"42","AFUA_1G00200",NA,NA,"Q4WL48",NA,"KOG4177",NA
"43","AFUA_1G00210",NA,NA,"Q4WL47",NA,NA,NA
"44","AFUA_1G00220",NA,NA,"Q4WL46","integral component of membrane [GO:0016021]",NA,NA
"45","AFUA_1G00230",NA,NA,"Q4WL45",NA,NA,NA
"46","AFUA_1G00250",NA,NA,"Q4WL43",NA,NA,NA
"47","AFUA_1G00270",NA,NA,"Q4WL41",NA,NA,NA
"48","AFUA_1G00280",NA,NA,"Q4WL40",NA,NA,NA
"49","AFUA_1G00310","","(RefSeq) class V chitinase","Q4WL37","extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]",NA,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"50","AFUA_1G00320",NA,NA,"Q4WL36",NA,NA,NA
"51","AFUA_1G00330",NA,NA,"Q4WL35",NA,NA,NA
"52","AFUA_1G00340",NA,NA,"Q4WL34",NA,NA,NA
"53","AFUA_1G00350",NA,NA,"Q4WL33","integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ferric-chelate reductase activity [GO:0000293]; cellular iron ion homeostasis [GO:0006879]; copper ion import [GO:0015677]; iron ion transport [GO:0006826]",NA,NA
"54","AFUA_1G00400",NA,NA,"Q4WL28",NA,NA,NA
"55","AFUA_1G00420",NA,NA,"Q4WL26","fungal-type vacuole [GO:0000324]; serine-type carboxypeptidase activity [GO:0004185]",NA,NA
"56","AFUA_1G00440",NA,NA,"Q4WL24","integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]",NA,NA
"57","AFUA_1G00450","","(RefSeq) N-acetylglucosamine-6-phosphate deacetylase (NagA), putative","Q4WL23","metal ion binding [GO:0046872]; N-acetylgalactosamine-6-phosphate deacetylase activity [GO:0047419]; N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]; carbohydrate metabolic process [GO:0005975]; N-acetylglucosamine catabolic process [GO:0006046]",NA,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"58","AFUA_1G00470","","(RefSeq) betaine aldehyde dehydrogenase","Q4WL21","aldehyde dehydrogenase (NAD+) activity [GO:0004029]; betaine-aldehyde dehydrogenase activity [GO:0008802]",NA,"Glycine, serine and threonine metabolism, Metabolic pathways"
"59","AFUA_1G00480","","(RefSeq) glucosamine-6-phosphate deaminase","Q4WL20","cytoplasm [GO:0005737]; nucleus [GO:0005634]; glucosamine-6-phosphate deaminase activity [GO:0004342]; identical protein binding [GO:0042802]; carbohydrate metabolic process [GO:0005975]; glucosamine catabolic process [GO:0006043]; N-acetylglucosamine catabolic process [GO:0006046]; N-acetylneuraminate catabolic process [GO:0019262]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]","KOG3148","Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"60","AFUA_1G00490","","(RefSeq) biotin-dependent 2-oxo acid dehydrogenases acyltransferase","Q4WL19","cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; acetyltransferase activity [GO:0016407]; lipoic acid binding [GO:0031405]",NA,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"61","AFUA_1G00500","","(RefSeq) FMN dependent dehydrogenase","Q4WL18","peroxisome [GO:0005777]; FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]","KOG0538","Pyruvate metabolism, Metabolic pathways"
"62","AFUA_1G00510","","(RefSeq) D-lactate dehydrogenase (cytochrome)","Q4WL17","mitochondrion [GO:0005739]; D-lactate dehydrogenase (cytochrome) activity [GO:0004458]; D-lactate dehydrogenase activity [GO:0008720]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; lactate catabolic process [GO:1903457]","KOG1231","Pyruvate metabolism, Metabolic pathways"
"63","AFUA_1G00520",NA,NA,"Q4WL16",NA,"ENOG502SSGU",NA
"64","AFUA_1G00530","","(RefSeq) thermoresistant gluconokinase family protein","Q4WL15","ATP binding [GO:0005524]; gluconokinase activity [GO:0046316]; D-gluconate catabolic process [GO:0046177]","KOG3354","Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
"65","AFUA_1G00550",NA,NA,"Q4WL13",NA,"ENOG502SIP1",NA
"66","AFUA_1G00560",NA,NA,"Q4WL12","catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]","KOG1840",NA
"67","AFUA_1G00580",NA,NA,"Q4WL10","nuclear chromosome [GO:0000228]; acid phosphatase activity [GO:0003993]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; meiotic cell cycle [GO:0051321]; positive regulation of transcription by RNA polymerase II [GO:0045944]",NA,NA
"68","AFUA_1G00610",NA,NA,"Q4WL07","endosome [GO:0005768]; lytic vacuole [GO:0000323]; SNARE binding [GO:0000149]; SNARE complex assembly [GO:0035493]",NA,NA
