"","Gene","Pathway"
"1","ssah:HSISS4_00001 dnaA (GenBank) Chromosomal replication initiator protein DnaA","Two-component system"
"2","ssah:HSISS4_00002 dnaN (GenBank) DNA polymerase III beta subunit","DNA replication"
"3","ssah:HSISS4_00002 dnaN (GenBank) DNA polymerase III beta subunit","Mismatch repair"
"4","ssah:HSISS4_00002 dnaN (GenBank) DNA polymerase III beta subunit","Homologous recombination"
"5","ssah:HSISS4_00006 trcF (GenBank) Transcription-repair coupling factor","Nucleotide excision repair"
"6","ssah:HSISS4_00010  (GenBank) hypothetical protein","beta-Lactam resistance"
"7","ssah:HSISS4_00010  (GenBank) hypothetical protein","Two-component system"
"8","ssah:HSISS4_00012 hpt (GenBank) Hypoxanthine-guanine phosphoribosyltransferase","Purine metabolism"
"9","ssah:HSISS4_00012 hpt (GenBank) Hypoxanthine-guanine phosphoribosyltransferase","Metabolic pathways"
"10","ssah:HSISS4_00012 hpt (GenBank) Hypoxanthine-guanine phosphoribosyltransferase","Biosynthesis of secondary metabolites"
"11","ssah:HSISS4_00012 hpt (GenBank) Hypoxanthine-guanine phosphoribosyltransferase","Nucleotide metabolism"
"12","ssah:HSISS4_r00001  (GenBank) 16S ribosomal RNA","Ribosome"
"13","ssah:HSISS4_r00003  (GenBank) 23S ribosomal RNA","Ribosome"
"14","ssah:HSISS4_r00004  (GenBank) 5S ribosomal RNA","Ribosome"
"15","ssah:HSISS4_r00007  (GenBank) tRNA-Lys","Aminoacyl-tRNA biosynthesis"
"16","ssah:HSISS4_r00009  (GenBank) tRNA-Thr","Aminoacyl-tRNA biosynthesis"
"17","ssah:HSISS4_r00010  (GenBank) tRNA-Gly","Aminoacyl-tRNA biosynthesis"
"18","ssah:HSISS4_r00012  (GenBank) tRNA-Arg","Aminoacyl-tRNA biosynthesis"
"19","ssah:HSISS4_r00014  (GenBank) tRNA-Met","Aminoacyl-tRNA biosynthesis"
"20","ssah:HSISS4_r00016  (GenBank) tRNA-Ser","Aminoacyl-tRNA biosynthesis"
