"","Gene","Pathway"
"1","cal:CAALFM_C100060WA TUP1, CaO19.6109 (RefSeq) chromatin-silencing transcriptional regulator","MAPK signaling pathway - yeast"
"2","cal:CAALFM_C100060WA TUP1, CaO19.6109 (RefSeq) chromatin-silencing transcriptional regulator","Cell cycle - yeast"
"3","cal:CAALFM_C100070WA MVD, CaO19.6105 (RefSeq) diphosphomevalonate decarboxylase","Terpenoid backbone biosynthesis"
"4","cal:CAALFM_C100070WA MVD, CaO19.6105 (RefSeq) diphosphomevalonate decarboxylase","Metabolic pathways"
"5","cal:CAALFM_C100070WA MVD, CaO19.6105 (RefSeq) diphosphomevalonate decarboxylase","Biosynthesis of secondary metabolites"
"6","cal:CAALFM_C100100CA CaO19.6100 (RefSeq) cardiolipin synthase","Glycerophospholipid metabolism"
"7","cal:CAALFM_C100100CA CaO19.6100 (RefSeq) cardiolipin synthase","Metabolic pathways"
"8","cal:CAALFM_C100120CA TRP1, CaO19.6096 (RefSeq) phosphoribosylanthranilate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis"
"9","cal:CAALFM_C100120CA TRP1, CaO19.6096 (RefSeq) phosphoribosylanthranilate isomerase","Metabolic pathways"
"10","cal:CAALFM_C100120CA TRP1, CaO19.6096 (RefSeq) phosphoribosylanthranilate isomerase","Biosynthesis of secondary metabolites"
"11","cal:CAALFM_C100120CA TRP1, CaO19.6096 (RefSeq) phosphoribosylanthranilate isomerase","Biosynthesis of amino acids"
"12","cal:CAALFM_C100170WA LEU4, CaO19.6086 (RefSeq) 2-isopropylmalate synthase","Valine, leucine and isoleucine biosynthesis"
"13","cal:CAALFM_C100170WA LEU4, CaO19.6086 (RefSeq) 2-isopropylmalate synthase","Pyruvate metabolism"
"14","cal:CAALFM_C100170WA LEU4, CaO19.6086 (RefSeq) 2-isopropylmalate synthase","Metabolic pathways"
"15","cal:CAALFM_C100170WA LEU4, CaO19.6086 (RefSeq) 2-isopropylmalate synthase","Biosynthesis of secondary metabolites"
"16","cal:CAALFM_C100170WA LEU4, CaO19.6086 (RefSeq) 2-isopropylmalate synthase","2-Oxocarboxylic acid metabolism"
"17","cal:CAALFM_C100170WA LEU4, CaO19.6086 (RefSeq) 2-isopropylmalate synthase","Biosynthesis of amino acids"
"18","cal:CAALFM_C100180WA RPL16A, CaO19.6085 (RefSeq) ribosomal 60S subunit protein L16A","Ribosome"
"19","cal:CAALFM_C100230CA BFA1, CaO19.6080 (RefSeq) Bfa1p","Cell cycle - yeast"
"20","cal:CAALFM_C100320WA CaO19.6076 (RefSeq) retromer subunit","Endocytosis"
"21","cal:CAALFM_C100330CA CaO19.6075 (RefSeq) CCR4-NOT core subunit","RNA degradation"
"22","cal:CAALFM_C100340WA HBR1, CaO19.6074 (RefSeq) nucleoside-triphosphatase","Purine metabolism"
"23","cal:CAALFM_C100340WA HBR1, CaO19.6074 (RefSeq) nucleoside-triphosphatase","Metabolic pathways"
"24","cal:CAALFM_C100340WA HBR1, CaO19.6074 (RefSeq) nucleoside-triphosphatase","Biosynthesis of secondary metabolites"
"25","cal:CAALFM_C100340WA HBR1, CaO19.6074 (RefSeq) nucleoside-triphosphatase","Nucleotide metabolism"
"26","cal:CAALFM_C100340WA HBR1, CaO19.6074 (RefSeq) nucleoside-triphosphatase","Biosynthesis of cofactors"
"27","cal:CAALFM_C100340WA HBR1, CaO19.6074 (RefSeq) nucleoside-triphosphatase","Ribosome biogenesis in eukaryotes"
"28","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Glycolysis / Gluconeogenesis"
"29","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Ascorbate and aldarate metabolism"
"30","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Fatty acid degradation"
"31","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Valine, leucine and isoleucine degradation"
"32","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Lysine degradation"
"33","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Arginine and proline metabolism"
"34","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Histidine metabolism"
"35","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Tryptophan metabolism"
"36","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","beta-Alanine metabolism"
"37","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Glycerolipid metabolism"
"38","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Pyruvate metabolism"
"39","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Pantothenate and CoA biosynthesis"
"40","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Metabolic pathways"
"41","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Biosynthesis of secondary metabolites"
"42","cal:CAALFM_C100410CA CaO19.6066 (RefSeq) hexadecenal dehydrogenase","Biosynthesis of cofactors"
"43","cal:CAALFM_C100430WA CaO19.6064 (RefSeq) phosphoinositide binding protein","Autophagy - other"
"44","cal:CAALFM_C100430WA CaO19.6064 (RefSeq) phosphoinositide binding protein","Autophagy - yeast"
"45","cal:CAALFM_C100500CA GLO1, CaO19.6058 (RefSeq) lactoylglutathione lyase","Pyruvate metabolism"
"46","cal:CAALFM_C100500CA GLO1, CaO19.6058 (RefSeq) lactoylglutathione lyase","Metabolic pathways"
"47","cal:CAALFM_C100510WA CaO19.6057 (RefSeq) 3-methyl-2-oxobutanoate hydroxymethyltransferase","Pantothenate and CoA biosynthesis"
"48","cal:CAALFM_C100510WA CaO19.6057 (RefSeq) 3-methyl-2-oxobutanoate hydroxymethyltransferase","Metabolic pathways"
"49","cal:CAALFM_C100510WA CaO19.6057 (RefSeq) 3-methyl-2-oxobutanoate hydroxymethyltransferase","Biosynthesis of secondary metabolites"
"50","cal:CAALFM_C100510WA CaO19.6057 (RefSeq) 3-methyl-2-oxobutanoate hydroxymethyltransferase","Biosynthesis of cofactors"
"51","cal:CAALFM_C100550WA CIS2, CaO19.6053 (RefSeq) gamma-glutamyltransferase","Taurine and hypotaurine metabolism"
"52","cal:CAALFM_C100550WA CIS2, CaO19.6053 (RefSeq) gamma-glutamyltransferase","Cyanoamino acid metabolism"
"53","cal:CAALFM_C100550WA CIS2, CaO19.6053 (RefSeq) gamma-glutamyltransferase","Glutathione metabolism"
"54","cal:CAALFM_C100550WA CIS2, CaO19.6053 (RefSeq) gamma-glutamyltransferase","Metabolic pathways"
"55","cal:CAALFM_C100600WA APC1, CaO19.6046 (RefSeq) anaphase promoting complex subunit 1","Cell cycle - yeast"
"56","cal:CAALFM_C100600WA APC1, CaO19.6046 (RefSeq) anaphase promoting complex subunit 1","Meiosis - yeast"
