"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","MURI_HAEIN","P52973","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P52973","L42023","AAC23386.1","murI","murI HI_1739.2","amino-acid racemase activity [GO:0047661]; glutamate racemase activity [GO:0008881]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]","GO:0008360; GO:0008881; GO:0009252; GO:0047661; GO:0071555","hin:HI_1739.2","COG0796",NA
"2","MUTY_HAEIN","P44320","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P44320","L42023","AAC22418.1","mutY","mutY HI_0759","4 iron, 4 sulfur cluster binding [GO:0051539]; 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; adenine/guanine mispair binding [GO:0035485]; metal ion binding [GO:0046872]; oxidized purine DNA binding [GO:0032357]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]; base-excision repair [GO:0006284]; mismatch repair [GO:0006298]","GO:0000701; GO:0006284; GO:0006298; GO:0032357; GO:0034039; GO:0035485; GO:0046872; GO:0051539","hin:HI_0759","COG1194",NA
"3","PEPB_HAEIN","P58474","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P58474","L42023",NA,"pepB","pepB HI_0875","cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; peptidase activity [GO:0008233]; transcription cis-regulatory region binding [GO:0000976]","GO:0000976; GO:0005737; GO:0008233; GO:0030145; GO:0070006",NA,NA,NA
"4","PEPD_HAEIN","P44817","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P44817","L42023","AAC22335.1","pepD","pepD HI_0675","cytosol [GO:0005829]; alanylglutamate dipeptidase activity [GO:0103046]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]","GO:0005829; GO:0046872; GO:0070573; GO:0103046","hin:HI_0675","COG2195",NA
"5","PEPE_HAEIN","P44766","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P44766","L42023","AAC22244.1","pepE","pepE HI_0587","cytoplasm [GO:0005737]; dipeptidase activity [GO:0016805]; serine-type peptidase activity [GO:0008236]","GO:0005737; GO:0008236; GO:0016805","hin:HI_0587","COG3340",NA
"6","PDXH_HAEIN","P44909","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P44909","L42023","AAC22522.1","pdxH","pdxH HI_0863","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181; GO:0042823","hin:HI_0863","COG0259",NA
"7","PCP_HAEIN","P10325","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P10325","M18877","AAC23228.1","pcp","pcp lpp HI_1579","cell outer membrane [GO:0009279]","GO:0009279","hin:HI_1579","COG3133",NA
"8","PCP_HAEIN","P10325","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P10325","L42023","AAA24938.1","pcp","pcp lpp HI_1579","cell outer membrane [GO:0009279]","GO:0009279","hin:HI_1579","COG3133",NA
"9","PCP_HAEIN","P10325","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P10325","L42023","AAC23228.1","pcp","pcp lpp HI_1579","cell outer membrane [GO:0009279]","GO:0009279","hin:HI_1579","COG3133",NA
"10","PCP_HAEIN","P10325","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P10325","M18877","AAA24938.1","pcp","pcp lpp HI_1579","cell outer membrane [GO:0009279]","GO:0009279","hin:HI_1579","COG3133",NA
"11","PEPT_HAEIN","P45172","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","P45172","L42023","AAC22995.1","pepT","pepT HI_1348","cytosol [GO:0005829]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005829; GO:0008237; GO:0008270; GO:0043171; GO:0045148","hin:HI_1348","COG2195",NA
