"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","LACA_STRP2","Q04KC1","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04KC1","CP000410","ABJ54186.1","lacA","lacA SPD_1053","galactose-6-phosphate isomerase activity [GO:0050044]; galactose catabolic process [GO:0019388]; lactose catabolic process via tagatose-6-phosphate [GO:0019512]","GO:0019388; GO:0019512; GO:0050044","spd:SPD_1053","COG0698",NA
"2","PGK_STRP2","Q04LZ5","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04LZ5","CP000410","ABJ54881.1","pgk","pgk SPD_0445","cell surface [GO:0009986]; cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; angiostatin binding [GO:0043532]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; protease binding [GO:0002020]; glycolytic process [GO:0006096]; positive regulation of fibrinolysis [GO:0051919]; positive regulation of plasminogen activation [GO:0010756]","GO:0002020; GO:0004618; GO:0005524; GO:0005737; GO:0006096; GO:0009274; GO:0009986; GO:0010756; GO:0043532; GO:0051919","spd:SPD_0445","COG0126",NA
"3","PCP_STRP2","Q04L55","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04L55","CP000410","ABJ53760.1","pcp","pcp SPD_0753","cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]","GO:0005829; GO:0016920","spd:SPD_0753","COG2039",NA
"4","PEPT_STRP2","Q04KS5","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04KS5","CP000410","ABJ54157.1","pepT","pepT SPD_0894","cytoplasm [GO:0005737]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148","spd:SPD_0894","COG2195",NA
"5","PLSX_STRP2","Q04N31","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04N31","CP000410","ABJ54211.1","plsX","plsX SPD_0043","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","spd:SPD_0043","COG0416",NA
"6","RL14_STRP2","Q04MM6","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04MM6","CP000410","ABJ55322.1","rplN","rplN SPD_0203","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0006412; GO:0015934; GO:0019843","spd:SPD_0203","COG0093",NA
"7","URK_STRP2","Q04KA9","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04KA9","CP000410","ABJ54635.1","udk","udk SPD_1068","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; uridine kinase activity [GO:0004849]; CTP salvage [GO:0044211]; UMP salvage [GO:0044206]","GO:0004849; GO:0005524; GO:0005737; GO:0016773; GO:0044206; GO:0044211","spd:SPD_1068","COG0572",NA
"8","UVRB_STRP2","Q04K81","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04K81","CP000410","ABJ54782.1","uvrB","uvrB SPD_1096","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; helicase activity [GO:0004386]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0004386; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887","spd:SPD_1096","COG0556",NA
"9","MURC_STRP2","Q04HS5","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04HS5","CP000410","ABJ53680.1","murC","murC SPD_1349","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]","GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555","spd:SPD_1349","COG0773",NA
"10","RBFA_STRP2","Q04LV9","Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)","373153","Q04LV9","CP000410","ABJ54051.1","rbfA","rbfA SPD_0483","cytoplasm [GO:0005737]; maturation of SSU-rRNA [GO:0030490]","GO:0005737; GO:0030490","spd:SPD_0483","COG0858",NA
