"","Gene","Pathway"
"1","bcn:Bcen_0001  (GenBank) Enzymatic protein of unknown function","Glutathione metabolism"
"2","bcn:Bcen_0001  (GenBank) Enzymatic protein of unknown function","Metabolic pathways"
"3","bcn:Bcen_0008  (GenBank) Type II secretion system gspD","Bacterial secretion system"
"4","bcn:Bcen_0009  (GenBank) type II secretion system protein E (GspE)","Bacterial secretion system"
"5","bcn:Bcen_0010  (GenBank) General secretion pathway protein F","Bacterial secretion system"
"6","bcn:Bcen_0011  (GenBank) conserved hypothetical protein","Bacterial secretion system"
"7","bcn:Bcen_0012  (GenBank) General secretion pathway protein G","Bacterial secretion system"
"8","bcn:Bcen_0013  (GenBank) General secretion pathway protein H","Bacterial secretion system"
"9","bcn:Bcen_0014  (GenBank) General secretion pathway protein I","Bacterial secretion system"
"10","bcn:Bcen_0015  (GenBank) putative general secretion pathway protein J","Bacterial secretion system"
"11","bcn:Bcen_0016  (GenBank) General secretion pathway protein K","Bacterial secretion system"
"12","bcn:Bcen_0017  (GenBank) General secretion pathway L","Bacterial secretion system"
"13","bcn:Bcen_0018  (GenBank) General secretion pathway M protein","Bacterial secretion system"
"14","bcn:Bcen_0029  (GenBank) flagellar basal body-associated protein FliL","Flagellar assembly"
"15","bcn:Bcen_0030  (GenBank) flagellar motor switch protein FliM","Bacterial chemotaxis"
"16","bcn:Bcen_0030  (GenBank) flagellar motor switch protein FliM","Flagellar assembly"
"17","bcn:Bcen_0031  (GenBank) Flagellar motor switch FliN","Bacterial chemotaxis"
"18","bcn:Bcen_0031  (GenBank) Flagellar motor switch FliN","Flagellar assembly"
"19","bcn:Bcen_0032  (GenBank) flagellar biosynthesis protein, FliO","Flagellar assembly"
"20","bcn:Bcen_0033  (GenBank) flagellar biosynthetic protein FliP","Flagellar assembly"
"21","bcn:Bcen_0034  (GenBank) flagellar biosynthetic protein FliQ","Flagellar assembly"
"22","bcn:Bcen_0035  (GenBank) flagellar biosynthetic protein FliR","Flagellar assembly"
"23","bcn:Bcen_0036  (GenBank) ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","Sulfur metabolism"
"24","bcn:Bcen_0036  (GenBank) ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","ABC transporters"
"25","bcn:Bcen_0037  (GenBank) ABC transporter related protein","Sulfur metabolism"
"26","bcn:Bcen_0037  (GenBank) ABC transporter related protein","ABC transporters"
"27","bcn:Bcen_0038  (GenBank) binding-protein-dependent transport systems inner membrane component","Sulfur metabolism"
"28","bcn:Bcen_0038  (GenBank) binding-protein-dependent transport systems inner membrane component","ABC transporters"
"29","bcn:Bcen_0039  (GenBank) periplasmic sensor signal transduction histidine kinase","Two-component system"
