"","Uniprot_ID","GO_Terms","eggNOG"
"1","B0XMV6","nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA repair [GO:0006281]",NA
"2","B0Y4Z4","extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"3","B0YAH0","extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"4","B0YDE8","extracellular region [GO:0005576]; galacturan 1,4-alpha-galacturonidase activity [GO:0047911]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"5","B0XPA1","extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"6","B0Y004","extracellular region [GO:0005576]; sporulation resulting in formation of a cellular spore [GO:0030435]",NA
"7","B0Y004","extracellular region [GO:0005576]; sporulation resulting in formation of a cellular spore [GO:0030435]",NA
"8","B0XMA2","extracellular region [GO:0005576]; metal ion binding [GO:0046872]; pectate lyase activity [GO:0030570]; cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]",NA
"9","B0Y1V8","extracellular region [GO:0005576]; aspartic-type endopeptidase activity [GO:0004190]",NA
"10","B0XT36","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; pectin lyase activity [GO:0047490]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"11","B0YCL3","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; pectin lyase activity [GO:0047490]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"12","B0Y0L8","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; pectin lyase activity [GO:0047490]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"13","B0XT32","extracellular region [GO:0005576]; metal ion binding [GO:0046872]; pectate lyase activity [GO:0030570]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]",NA
"14","B0YB89","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]",NA
"15","B0Y9M8","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]",NA
"16","B0Y953","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]",NA
"17","B0XPG0","integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]",NA
"18","B0XS99","mannitol-1-phosphate 5-dehydrogenase activity [GO:0008926]; mannitol metabolic process [GO:0019594]",NA
"19","B0Y5C3","cytoplasm [GO:0005737]; nucleus [GO:0005634]; S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]",NA
"20","B0XUC7","Slx1-Slx4 complex [GO:0033557]; 5'-flap endonuclease activity [GO:0017108]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]",NA
"21","B0Y5R7","mitochondrial small ribosomal subunit [GO:0005763]; structural constituent of ribosome [GO:0003735]",NA
"22","B0Y4J4","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; glycine transmembrane transporter activity [GO:0015187]; glycine import into mitochondrion [GO:1904983]; heme biosynthetic process [GO:0006783]",NA
"23","B0Y2U0","Slx1-Slx4 complex [GO:0033557]; 5'-flap endonuclease activity [GO:0017108]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]",NA
"24","B0Y5Q9","cytoplasm [GO:0005737]; nucleus [GO:0005634]; nuclear protein quality control by the ubiquitin-proteasome system [GO:0071630]; proteasome localization [GO:0031144]; protein transport [GO:0015031]",NA
"25","B0Y6K1","nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]",NA
