"","Gene","Pathway"
"1","hiz:R2866_0002","Ribosome"
"2","hiz:R2866_0003","Ribosome"
"3","hiz:R2866_0006","Sulfur relay system"
"4","hiz:R2866_0007","Sulfur relay system"
"5","hiz:R2866_0008","Sulfur relay system"
"6","hiz:R2866_0012","Glutathione metabolism"
"7","hiz:R2866_0012","Metabolic pathways"
"8","hiz:R2866_0018","Pentose phosphate pathway"
"9","hiz:R2866_0018","Pentose and glucuronate interconversions"
"10","hiz:R2866_0018","Metabolic pathways"
"11","hiz:R2866_0018","Biosynthesis of secondary metabolites"
"12","hiz:R2866_0018","Microbial metabolism in diverse environments"
"13","hiz:R2866_0018","Carbon metabolism"
"14","hiz:R2866_0018","Biosynthesis of amino acids"
"15","hiz:R2866_0019","Glyoxylate and dicarboxylate metabolism"
"16","hiz:R2866_0019","Metabolic pathways"
"17","hiz:R2866_0019","Biosynthesis of secondary metabolites"
"18","hiz:R2866_0020","Alanine, aspartate and glutamate metabolism"
"19","hiz:R2866_0020","Cyanoamino acid metabolism"
"20","hiz:R2866_0020","Metabolic pathways"
"21","hiz:R2866_0020","Biosynthesis of secondary metabolites"
"22","hiz:R2866_0020","Biosynthesis of amino acids"
"23","hiz:R2866_0025","Sulfur metabolism"
"24","hiz:R2866_0025","Metabolic pathways"
"25","hiz:R2866_0025","Microbial metabolism in diverse environments"
"26","hiz:R2866_0026","Pentose phosphate pathway"
"27","hiz:R2866_0026","Glutathione metabolism"
"28","hiz:R2866_0026","Metabolic pathways"
"29","hiz:R2866_0026","Biosynthesis of secondary metabolites"
"30","hiz:R2866_0026","Microbial metabolism in diverse environments"
"31","hiz:R2866_0026","Carbon metabolism"
"32","hiz:R2866_0027","Pentose phosphate pathway"
"33","hiz:R2866_0027","Metabolic pathways"
"34","hiz:R2866_0027","Biosynthesis of secondary metabolites"
"35","hiz:R2866_0027","Microbial metabolism in diverse environments"
"36","hiz:R2866_0027","Carbon metabolism"
"37","hiz:R2866_0030","Pentose phosphate pathway"
"38","hiz:R2866_0030","Glutathione metabolism"
"39","hiz:R2866_0030","Metabolic pathways"
"40","hiz:R2866_0030","Biosynthesis of secondary metabolites"
"41","hiz:R2866_0030","Microbial metabolism in diverse environments"
"42","hiz:R2866_0030","Carbon metabolism"
"43","hiz:R2866_0032","Purine metabolism"
"44","hiz:R2866_0032","Metabolic pathways"
"45","hiz:R2866_0036","Ribosome"
"46","hiz:R2866_0037","Homologous recombination"
"47","hiz:R2866_0038","Ribosome"
"48","hiz:R2866_0039","Ribosome"
"49","hiz:R2866_0040","RNA degradation"
"50","hiz:R2866_0044","Alanine, aspartate and glutamate metabolism"
"51","hiz:R2866_0044","Metabolic pathways"
"52","hiz:R2866_0045","Flagellar assembly"
"53","hiz:R2866_0046","DNA replication"
"54","hiz:R2866_0047","Ribosome"
"55","hiz:R2866_0049","Pyrimidine metabolism"
"56","hiz:R2866_0049","Metabolic pathways"
"57","hiz:R2866_0053","Glycolysis / Gluconeogenesis"
"58","hiz:R2866_0053","Metabolic pathways"
"59","hiz:R2866_0053","Biosynthesis of secondary metabolites"
"60","hiz:R2866_0053","Microbial metabolism in diverse environments"
"61","hiz:R2866_0053","Carbon metabolism"
"62","hiz:R2866_0053","Biosynthesis of amino acids"
"63","hiz:R2866_0054","Glycolysis / Gluconeogenesis"
"64","hiz:R2866_0054","Pentose phosphate pathway"
"65","hiz:R2866_0054","Fructose and mannose metabolism"
"66","hiz:R2866_0054","Methane metabolism"
"67","hiz:R2866_0054","Metabolic pathways"
"68","hiz:R2866_0054","Biosynthesis of secondary metabolites"
"69","hiz:R2866_0054","Microbial metabolism in diverse environments"
"70","hiz:R2866_0054","Carbon metabolism"
"71","hiz:R2866_0054","Biosynthesis of amino acids"
"72","hiz:R2866_0060","Purine metabolism"
"73","hiz:R2866_0060","Pyrimidine metabolism"
"74","hiz:R2866_0060","Nicotinate and nicotinamide metabolism"
"75","hiz:R2866_0060","Metabolic pathways"
"76","hiz:R2866_0060","Biosynthesis of secondary metabolites"
"77","hiz:R2866_0061","Ribosome"
"78","hiz:R2866_0062","Ribosome"
"79","hiz:R2866_0063","RNA polymerase"
"80","hiz:R2866_0064","RNA polymerase"
"81","hiz:R2866_0067","Ubiquinone and other terpenoid-quinone biosynthesis"
"82","hiz:R2866_0067","Metabolic pathways"
"83","hiz:R2866_0067","Biosynthesis of secondary metabolites"
"84","hiz:R2866_0067","Biosynthesis of cofactors"
"85","hiz:R2866_0071","Pentose phosphate pathway"
"86","hiz:R2866_0071","Metabolic pathways"
"87","hiz:R2866_0072","ABC transporters"
"88","hiz:R2866_0072","Bacterial chemotaxis"
"89","hiz:R2866_0073","ABC transporters"
"90","hiz:R2866_0074","ABC transporters"
"91","hiz:R2866_0075","ABC transporters"
"92","hiz:R2866_0077","Arginine and proline metabolism"
"93","hiz:R2866_0077","Metabolic pathways"
"94","hiz:R2866_0078","ABC transporters"
"95","hiz:R2866_0081","Riboflavin metabolism"
"96","hiz:R2866_0081","Metabolic pathways"
"97","hiz:R2866_0083","Cysteine and methionine metabolism"
"98","hiz:R2866_0083","Metabolic pathways"
"99","hiz:R2866_0083","Biosynthesis of amino acids"
"100","hiz:R2866_0083","Quorum sensing"
"101","hiz:R2866_0089","Oxidative phosphorylation"
"102","hiz:R2866_0089","Metabolic pathways"
"103","hiz:R2866_0090","Oxidative phosphorylation"
"104","hiz:R2866_0090","Metabolic pathways"
"105","hiz:R2866_0091","Oxidative phosphorylation"
"106","hiz:R2866_0091","Metabolic pathways"
"107","hiz:R2866_0092","Oxidative phosphorylation"
"108","hiz:R2866_0092","Metabolic pathways"
"109","hiz:R2866_0093","Oxidative phosphorylation"
"110","hiz:R2866_0093","Metabolic pathways"
"111","hiz:R2866_0094","Oxidative phosphorylation"
"112","hiz:R2866_0094","Metabolic pathways"
"113","hiz:R2866_0095","Oxidative phosphorylation"
"114","hiz:R2866_0095","Metabolic pathways"
"115","hiz:R2866_0096","Oxidative phosphorylation"
"116","hiz:R2866_0096","Metabolic pathways"
"117","hiz:R2866_0098","Histidine metabolism"
"118","hiz:R2866_0098","Metabolic pathways"
"119","hiz:R2866_0098","Biosynthesis of secondary metabolites"
"120","hiz:R2866_0098","Biosynthesis of amino acids"
"121","hiz:R2866_0099","Histidine metabolism"
"122","hiz:R2866_0099","Metabolic pathways"
"123","hiz:R2866_0099","Biosynthesis of secondary metabolites"
"124","hiz:R2866_0099","Biosynthesis of amino acids"
"125","hiz:R2866_0100","Histidine metabolism"
"126","hiz:R2866_0100","Metabolic pathways"
"127","hiz:R2866_0100","Biosynthesis of secondary metabolites"
"128","hiz:R2866_0100","Biosynthesis of amino acids"
"129","hiz:R2866_0101","Histidine metabolism"
"130","hiz:R2866_0101","Metabolic pathways"
"131","hiz:R2866_0101","Biosynthesis of secondary metabolites"
"132","hiz:R2866_0101","Biosynthesis of amino acids"
"133","hiz:R2866_0102","Histidine metabolism"
"134","hiz:R2866_0102","Metabolic pathways"
"135","hiz:R2866_0102","Biosynthesis of secondary metabolites"
"136","hiz:R2866_0102","Biosynthesis of amino acids"
"137","hiz:R2866_0103","Histidine metabolism"
"138","hiz:R2866_0103","Tyrosine metabolism"
"139","hiz:R2866_0103","Phenylalanine metabolism"
"140","hiz:R2866_0103","Phenylalanine, tyrosine and tryptophan biosynthesis"
"141","hiz:R2866_0103","Novobiocin biosynthesis"
"142","hiz:R2866_0103","Metabolic pathways"
"143","hiz:R2866_0103","Biosynthesis of secondary metabolites"
"144","hiz:R2866_0103","Biosynthesis of amino acids"
"145","hiz:R2866_0104","Histidine metabolism"
"146","hiz:R2866_0104","Metabolic pathways"
"147","hiz:R2866_0104","Biosynthesis of secondary metabolites"
"148","hiz:R2866_0104","Biosynthesis of amino acids"
"149","hiz:R2866_0105","Histidine metabolism"
"150","hiz:R2866_0105","Metabolic pathways"
"151","hiz:R2866_0105","Biosynthesis of secondary metabolites"
"152","hiz:R2866_0105","Biosynthesis of amino acids"
"153","hiz:R2866_0108","Glycine, serine and threonine metabolism"
"154","hiz:R2866_0108","Cysteine and methionine metabolism"
"155","hiz:R2866_0108","Methane metabolism"
"156","hiz:R2866_0108","Metabolic pathways"
"157","hiz:R2866_0108","Biosynthesis of secondary metabolites"
"158","hiz:R2866_0108","Microbial metabolism in diverse environments"
"159","hiz:R2866_0108","Carbon metabolism"
"160","hiz:R2866_0108","Biosynthesis of amino acids"
"161","hiz:R2866_0109","Pentose phosphate pathway"
"162","hiz:R2866_0109","Metabolic pathways"
"163","hiz:R2866_0109","Biosynthesis of secondary metabolites"
"164","hiz:R2866_0109","Microbial metabolism in diverse environments"
"165","hiz:R2866_0109","Carbon metabolism"
"166","hiz:R2866_0109","Biosynthesis of amino acids"
"167","hiz:R2866_0113","Purine metabolism"
"168","hiz:R2866_0113","Pyrimidine metabolism"
"169","hiz:R2866_0113","Nicotinate and nicotinamide metabolism"
"170","hiz:R2866_0113","Pantothenate and CoA biosynthesis"
"171","hiz:R2866_0113","Metabolic pathways"
"172","hiz:R2866_0114","Pyrimidine metabolism"
"173","hiz:R2866_0114","Metabolic pathways"
"174","hiz:R2866_0117","Pyrimidine metabolism"
"175","hiz:R2866_0117","Metabolic pathways"
"176","hiz:R2866_0119","DNA replication"
"177","hiz:R2866_0119","Mismatch repair"
"178","hiz:R2866_0119","Homologous recombination"
"179","hiz:R2866_0126","Phosphotransferase system (PTS)"
"180","hiz:R2866_0127","Fructose and mannose metabolism"
"181","hiz:R2866_0127","Metabolic pathways"
"182","hiz:R2866_0127","Phosphotransferase system (PTS)"
"183","hiz:R2866_0128","Fructose and mannose metabolism"
"184","hiz:R2866_0128","Metabolic pathways"
"185","hiz:R2866_0128","Microbial metabolism in diverse environments"
"186","hiz:R2866_0128","Phosphotransferase system (PTS)"
"187","hiz:R2866_0129","Aminoacyl-tRNA biosynthesis"
"188","hiz:R2866_0130","Quorum sensing"
"189","hiz:R2866_0130","Protein export"
"190","hiz:R2866_0130","Bacterial secretion system"
"191","hiz:R2866_0132","Homologous recombination"
"192","hiz:R2866_0135","Peptidoglycan biosynthesis"
"193","hiz:R2866_0135","Metabolic pathways"
"194","hiz:R2866_0135","beta-Lactam resistance"
"195","hiz:R2866_0143","Nicotinate and nicotinamide metabolism"
"196","hiz:R2866_0143","Metabolic pathways"
"197","hiz:R2866_0146","Alanine, aspartate and glutamate metabolism"
"198","hiz:R2866_0146","Amino sugar and nucleotide sugar metabolism"
"199","hiz:R2866_0146","Metabolic pathways"
"200","hiz:R2866_0146","Biosynthesis of nucleotide sugars"
"201","hiz:R2866_0150","Glycine, serine and threonine metabolism"
"202","hiz:R2866_0150","Glycerophospholipid metabolism"
"203","hiz:R2866_0150","Metabolic pathways"
"204","hiz:R2866_0150","Biosynthesis of secondary metabolites"
"205","hiz:R2866_0156","Thiamine metabolism"
"206","hiz:R2866_0156","Metabolic pathways"
"207","hiz:R2866_0156","Biosynthesis of cofactors"
"208","hiz:R2866_0157","Thiamine metabolism"
"209","hiz:R2866_0157","Metabolic pathways"
"210","hiz:R2866_0157","Biosynthesis of cofactors"
"211","hiz:R2866_0158","Thiamine metabolism"
"212","hiz:R2866_0158","Riboflavin metabolism"
"213","hiz:R2866_0158","Metabolic pathways"
"214","hiz:R2866_0158","Biosynthesis of cofactors"
"215","hiz:R2866_0160","RNA degradation"
"216","hiz:R2866_0162","Quorum sensing"
"217","hiz:R2866_0162","RNA degradation"
"218","hiz:R2866_0165","ABC transporters"
"219","hiz:R2866_0166","ABC transporters"
"220","hiz:R2866_0167","Fatty acid biosynthesis"
"221","hiz:R2866_0167","Pyruvate metabolism"
"222","hiz:R2866_0167","Propanoate metabolism"
"223","hiz:R2866_0167","Metabolic pathways"
"224","hiz:R2866_0167","Biosynthesis of secondary metabolites"
"225","hiz:R2866_0167","Microbial metabolism in diverse environments"
"226","hiz:R2866_0167","Carbon metabolism"
"227","hiz:R2866_0167","Fatty acid metabolism"
"228","hiz:R2866_0168","Vitamin B6 metabolism"
"229","hiz:R2866_0168","Metabolic pathways"
"230","hiz:R2866_0168","Biosynthesis of cofactors"
"231","hiz:R2866_0170","Mismatch repair"
"232","hiz:R2866_0174","Purine metabolism"
"233","hiz:R2866_0174","Metabolic pathways"
"234","hiz:R2866_0175","Purine metabolism"
"235","hiz:R2866_0175","Riboflavin metabolism"
"236","hiz:R2866_0175","Metabolic pathways"
"237","hiz:R2866_0176","Mismatch repair"
"238","hiz:R2866_0183","Fatty acid biosynthesis"
"239","hiz:R2866_0183","Fatty acid degradation"
"240","hiz:R2866_0183","Metabolic pathways"
"241","hiz:R2866_0183","Fatty acid metabolism"
"242","hiz:R2866_0183","Quorum sensing"
"243","hiz:R2866_0193","Aminoacyl-tRNA biosynthesis"
"244","hiz:R2866_0194","Aminoacyl-tRNA biosynthesis"
"245","hiz:R2866_0197","Thiamine metabolism"
"246","hiz:R2866_0197","Metabolic pathways"
"247","hiz:R2866_0197","Biosynthesis of cofactors"
"248","hiz:R2866_0197","Sulfur relay system"
"249","hiz:R2866_0206","Aminoacyl-tRNA biosynthesis"
"250","hiz:R2866_0207","Terpenoid backbone biosynthesis"
"251","hiz:R2866_0207","Metabolic pathways"
"252","hiz:R2866_0207","Biosynthesis of secondary metabolites"
"253","hiz:R2866_0213","ABC transporters"
"254","hiz:R2866_0214","ABC transporters"
"255","hiz:R2866_0215","ABC transporters"
"256","hiz:R2866_0216","ABC transporters"
"257","hiz:R2866_0217","Thiamine metabolism"
"258","hiz:R2866_0217","Metabolic pathways"
"259","hiz:R2866_0217","Biosynthesis of cofactors"
"260","hiz:R2866_0218","ABC transporters"
"261","hiz:R2866_0219","ABC transporters"
"262","hiz:R2866_0220","ABC transporters"
"263","hiz:R2866_0222","Galactose metabolism"
"264","hiz:R2866_0222","Amino sugar and nucleotide sugar metabolism"
"265","hiz:R2866_0222","O-Antigen nucleotide sugar biosynthesis"
"266","hiz:R2866_0222","Metabolic pathways"
"267","hiz:R2866_0222","Biosynthesis of nucleotide sugars"
"268","hiz:R2866_0223","beta-Lactam resistance"
"269","hiz:R2866_0224","Purine metabolism"
"270","hiz:R2866_0224","Thiamine metabolism"
"271","hiz:R2866_0224","Metabolic pathways"
