"","Gene","Pathway"
"1","psg:G655_00005 dnaA (GenBank) chromosomal replication initiation protein","Two-component system"
"2","psg:G655_00010  (GenBank) DNA polymerase III subunit beta","DNA replication"
"3","psg:G655_00010  (GenBank) DNA polymerase III subunit beta","Mismatch repair"
"4","psg:G655_00010  (GenBank) DNA polymerase III subunit beta","Homologous recombination"
"5","psg:G655_00015 recF (GenBank) recombination protein F","Homologous recombination"
"6","psg:G655_00025  (GenBank) phospholipid/glycerol acyltransferase","Glycerolipid metabolism"
"7","psg:G655_00025  (GenBank) phospholipid/glycerol acyltransferase","Glycerophospholipid metabolism"
"8","psg:G655_00025  (GenBank) phospholipid/glycerol acyltransferase","Metabolic pathways"
"9","psg:G655_00025  (GenBank) phospholipid/glycerol acyltransferase","Biosynthesis of secondary metabolites"
"10","psg:G655_00030  (GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Lipopolysaccharide biosynthesis"
"11","psg:G655_00030  (GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Metabolic pathways"
"12","psg:G655_00030  (GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Biosynthesis of nucleotide sugars"
"13","psg:G655_00040 glyS (GenBank) glycyl-tRNA ligase subunit beta","Aminoacyl-tRNA biosynthesis"
"14","psg:G655_00045 glyQ (GenBank) glycyl-tRNA ligase subunit alpha","Aminoacyl-tRNA biosynthesis"
"15","psg:G655_00050  (GenBank) DNA-3-methyladenine glycosidase I","Base excision repair"
"16","psg:G655_00055  (GenBank) lipid A biosynthesis lauroyl acyltransferase","Lipopolysaccharide biosynthesis"
"17","psg:G655_00055  (GenBank) lipid A biosynthesis lauroyl acyltransferase","Metabolic pathways"
"18","psg:G655_00090 fmt (GenBank) methionyl-tRNA formyltransferase","One carbon pool by folate"
"19","psg:G655_00090 fmt (GenBank) methionyl-tRNA formyltransferase","Aminoacyl-tRNA biosynthesis"
"20","psg:G655_00090 fmt (GenBank) methionyl-tRNA formyltransferase","Metabolic pathways"
"21","psg:G655_00120  (GenBank) coproporphyrinogen III oxidase","Porphyrin metabolism"
"22","psg:G655_00120  (GenBank) coproporphyrinogen III oxidase","Metabolic pathways"
"23","psg:G655_00120  (GenBank) coproporphyrinogen III oxidase","Biosynthesis of secondary metabolites"
"24","psg:G655_00120  (GenBank) coproporphyrinogen III oxidase","Biosynthesis of cofactors"
"25","psg:G655_00125 aroE (GenBank) shikimate 5-dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","psg:G655_00125 aroE (GenBank) shikimate 5-dehydrogenase","Biosynthesis of various plant secondary metabolites"
"27","psg:G655_00125 aroE (GenBank) shikimate 5-dehydrogenase","Metabolic pathways"
"28","psg:G655_00125 aroE (GenBank) shikimate 5-dehydrogenase","Biosynthesis of secondary metabolites"
"29","psg:G655_00125 aroE (GenBank) shikimate 5-dehydrogenase","Biosynthesis of amino acids"
"30","psg:G655_00150  (GenBank) hypothetical protein","ABC transporters"
"31","psg:G655_00175  (GenBank) two-component response regulator","Two-component system"
"32","psg:G655_00180 trpA (GenBank) tryptophan synthase subunit alpha","Glycine, serine and threonine metabolism"
"33","psg:G655_00180 trpA (GenBank) tryptophan synthase subunit alpha","Phenylalanine, tyrosine and tryptophan biosynthesis"
"34","psg:G655_00180 trpA (GenBank) tryptophan synthase subunit alpha","Metabolic pathways"
"35","psg:G655_00180 trpA (GenBank) tryptophan synthase subunit alpha","Biosynthesis of secondary metabolites"
"36","psg:G655_00180 trpA (GenBank) tryptophan synthase subunit alpha","Biosynthesis of amino acids"
"37","psg:G655_00185  (GenBank) tryptophan synthase subunit beta","Glycine, serine and threonine metabolism"
"38","psg:G655_00185  (GenBank) tryptophan synthase subunit beta","Phenylalanine, tyrosine and tryptophan biosynthesis"
"39","psg:G655_00185  (GenBank) tryptophan synthase subunit beta","Metabolic pathways"
"40","psg:G655_00185  (GenBank) tryptophan synthase subunit beta","Biosynthesis of secondary metabolites"
"41","psg:G655_00185  (GenBank) tryptophan synthase subunit beta","Biosynthesis of amino acids"
"42","psg:G655_00270  (GenBank) phenazine-modifying enzyme","Alanine, aspartate and glutamate metabolism"
"43","psg:G655_00270  (GenBank) phenazine-modifying enzyme","Metabolic pathways"
"44","psg:G655_00270  (GenBank) phenazine-modifying enzyme","Biosynthesis of secondary metabolites"
"45","psg:G655_00270  (GenBank) phenazine-modifying enzyme","Biosynthesis of amino acids"
"46","psg:G655_00335  (GenBank) phosphatase","Glyoxylate and dicarboxylate metabolism"
"47","psg:G655_00335  (GenBank) phosphatase","Metabolic pathways"
"48","psg:G655_00335  (GenBank) phosphatase","Biosynthesis of secondary metabolites"
"49","psg:G655_00380  (GenBank) serine/threonine protein kinase PpkA","Biofilm formation - Pseudomonas aeruginosa"
"50","psg:G655_00380  (GenBank) serine/threonine protein kinase PpkA","Bacterial secretion system"
"51","psg:G655_00385  (GenBank) putative phosphoprotein phosphatase","Biofilm formation - Pseudomonas aeruginosa"
"52","psg:G655_00385  (GenBank) putative phosphoprotein phosphatase","Bacterial secretion system"
