"","Gene","Pathway"
"1","pgn:PGN_0001 dnaA (GenBank) chromosomal replication initiator protein DnaA","Two-component system"
"2","pgn:PGN_0002  (GenBank) conserved hypothetical protein","Amino sugar and nucleotide sugar metabolism"
"3","pgn:PGN_0002  (GenBank) conserved hypothetical protein","O-Antigen nucleotide sugar biosynthesis"
"4","pgn:PGN_0002  (GenBank) conserved hypothetical protein","Metabolic pathways"
"5","pgn:PGN_0002  (GenBank) conserved hypothetical protein","Biosynthesis of nucleotide sugars"
"6","pgn:PGN_0004  (GenBank) putative nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase","Nicotinate and nicotinamide metabolism"
"7","pgn:PGN_0004  (GenBank) putative nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase","Metabolic pathways"
"8","pgn:PGN_t0001  (GenBank) tRNA-Asn","Aminoacyl-tRNA biosynthesis"
"9","pgn:PGN_t0002  (GenBank) tRNA-Asn","Aminoacyl-tRNA biosynthesis"
"10","pgn:PGN_0009  (GenBank) glycosyl hydrolase family 3","Amino sugar and nucleotide sugar metabolism"
"11","pgn:PGN_0009  (GenBank) glycosyl hydrolase family 3","Metabolic pathways"
"12","pgn:PGN_0009  (GenBank) glycosyl hydrolase family 3","beta-Lactam resistance"
"13","pgn:PGN_0010  (GenBank) probable L-threonine-O-3-phosphate decarboxylase","Porphyrin metabolism"
"14","pgn:PGN_0010  (GenBank) probable L-threonine-O-3-phosphate decarboxylase","Metabolic pathways"
"15","pgn:PGN_0011  (GenBank) conserved hypothetical protein","Methane metabolism"
"16","pgn:PGN_0011  (GenBank) conserved hypothetical protein","Metabolic pathways"
"17","pgn:PGN_0011  (GenBank) conserved hypothetical protein","Microbial metabolism in diverse environments"
"18","pgn:PGN_0011  (GenBank) conserved hypothetical protein","Biosynthesis of cofactors"
"19","pgn:PGN_0013  (GenBank) putative two-component system sensor histidine kinase","Two-component system"
"20","pgn:PGN_0024  (GenBank) putative 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Terpenoid backbone biosynthesis"
"21","pgn:PGN_0024  (GenBank) putative 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Metabolic pathways"
"22","pgn:PGN_0024  (GenBank) putative 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Biosynthesis of secondary metabolites"
"23","pgn:PGN_t0003  (GenBank) tRNA-Gln","Aminoacyl-tRNA biosynthesis"
"24","pgn:PGN_0026  (GenBank) putative cytidine deaminase","Pyrimidine metabolism"
"25","pgn:PGN_0026  (GenBank) putative cytidine deaminase","Metabolic pathways"
"26","pgn:PGN_0026  (GenBank) putative cytidine deaminase","Nucleotide metabolism"
"27","pgn:PGN_0030  (GenBank) beta-mannosidase","Other glycan degradation"
"28","pgn:PGN_0034  (GenBank) DNA polymerase III alpha subunit","DNA replication"
"29","pgn:PGN_0034  (GenBank) DNA polymerase III alpha subunit","Mismatch repair"
"30","pgn:PGN_0034  (GenBank) DNA polymerase III alpha subunit","Homologous recombination"
"31","pgn:PGN_0035 rplS (GenBank) 50S ribosomal protein L19","Ribosome"
"32","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Glycine, serine and threonine metabolism"
"33","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Cyanoamino acid metabolism"
"34","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Glyoxylate and dicarboxylate metabolism"
"35","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","One carbon pool by folate"
"36","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Methane metabolism"
"37","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Metabolic pathways"
"38","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Biosynthesis of secondary metabolites"
"39","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Microbial metabolism in diverse environments"
"40","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Carbon metabolism"
"41","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Biosynthesis of amino acids"
"42","pgn:PGN_0038  (GenBank) serine hydroxymethyltransferase","Biosynthesis of cofactors"
"43","pgn:PGN_0039  (GenBank) beta-hexosaminidase","Other glycan degradation"
"44","pgn:PGN_0039  (GenBank) beta-hexosaminidase","Amino sugar and nucleotide sugar metabolism"
"45","pgn:PGN_0039  (GenBank) beta-hexosaminidase","Sphingolipid metabolism"
"46","pgn:PGN_0039  (GenBank) beta-hexosaminidase","Metabolic pathways"
"47","pgn:PGN_0042  (GenBank) probable phosphatidate cytidylyltransferase","Glycerophospholipid metabolism"
